Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Калтанская городская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120					
1	"Число избирателей, внесенных в списки"	18086	1951	1740	1779	1917	1840	2052	1610	1423	1582	1179	1013					
2	"Число бюллетеней, полученных участковыми комиссиями"	17986	1970	1700	1800	1900	1830	2020	1630	1456	1530	1150	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8807	981	953	867	953	843	1032	754	807	764	459	394					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	747	81	34	69	52	97	102	44	39	68	70	91					
6	Число погашенных бюллетеней	8432	908	713	864	895	890	886	832	610	698	621	515					
7	Число бюллетеней в переносных ящиках для голосования	747	81	34	69	52	97	102	44	39	68	70	91					
8	Число бюллетеней в стационарных ящиках для голосования	8807	981	953	867	953	843	1032	754	807	764	459	394					
9	Число недействительных бюллетеней	105	8	8	20	10	12	12	10	4	8	13	0					
10	Число действительных бюллетеней	9449	1054	979	916	995	928	1122	788	842	824	516	485					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	28	28	28	28	28	28	28	28	28	28	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	33	3	1	3	4	2	8	0	4	6	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	8	7	1	5	1	3	4	2	3	6	6					
14	Число погашенных открепительных удостоверений	267	25	27	25	24	26	20	28	24	22	27	19					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	103	19	13	8	7	5	12	9	5	4	13	8					
		1.07%	1.78%	1.31%	0.85%	0.69%	0.53%	1.05%	1.12%	0.59%	0.48%	2.45%	1.64%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	85	15	17	5	7	11	11	4	3	4	2	6					
		0.88%	1.41%	1.72%	0.53%	0.69%	1.17%	0.97%	0.50%	0.35%	0.48%	0.37%	1.23%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	171	27	21	9	21	16	17	17	10	14	14	5					
		1.78%	2.54%	2.12%	0.96%	2.08%	1.70%	1.49%	2.13%	1.18%	1.68%	2.64%	1.03%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	251	32	38	37	13	39	31	14	15	17	0	15					
		2.62%	3.01%	3.85%	3.95%	1.29%	4.14%	2.73%	1.75%	1.77%	2.04%	0.0%	3.09%					
22	"5. ""За Русь Святую"""	36	4	4	5	5	6	5	0	3	1	1	2					
		0.37%	0.37%	0.40%	0.53%	0.49%	0.63%	0.44%	0.0%	0.35%	0.12%	0.18%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	3	1	5	2	3	2	1	1	1	0	3					
		0.23%	0.28%	0.10%	0.53%	0.19%	0.31%	0.17%	0.12%	0.11%	0.12%	0.0%	0.61%					
24	"7. ""Новый курс - Автомобильная Россия"""	63	6	12	5	7	9	5	2	7	6	2	2					
		0.65%	0.56%	1.21%	0.53%	0.69%	0.95%	0.44%	0.25%	0.82%	0.72%	0.37%	0.41%					
25	"8. ""Народно-республиканская партия России"""	5	0	1	0	0	0	0	1	1	0	0	2					
		0.05%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.12%	0.11%	0.0%	0.0%	0.41%					
26	"9. ""Российская экологическая партия ""Зеленые"""	19	3	5	3	3	0	1	1	1	1	0	1					
		0.19%	0.28%	0.50%	0.32%	0.29%	0.0%	0.08%	0.12%	0.11%	0.12%	0.0%	0.20%					
27	"10. ""Аграрная партия России"""	159	27	11	10	16	9	29	16	16	19	2	4					
		1.66%	2.54%	1.11%	1.06%	1.59%	0.95%	2.55%	2.00%	1.89%	2.28%	0.37%	0.82%					
28	"11. ""Истинные патриоты России"""	5	0	0	0	0	0	0	2	0	2	0	1					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.24%	0.0%	0.20%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	56	5	2	7	9	7	2	8	5	7	3	1					
		0.58%	0.47%	0.20%	0.74%	0.89%	0.74%	0.17%	1.00%	0.59%	0.84%	0.56%	0.20%					
30	"13. ""Демократическая партия России"""	10	2	1	0	1	0	0	0	0	2	2	2					
		0.10%	0.18%	0.10%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.24%	0.37%	0.41%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	1	1	1	0	0	2	1	0	1	1	0					
		0.08%	0.09%	0.10%	0.10%	0.0%	0.0%	0.17%	0.12%	0.0%	0.12%	0.18%	0.0%					
32	"15. ""Партия СЛОН"""	9	1	1	1	2	0	0	0	2	0	1	1					
		0.09%	0.09%	0.10%	0.10%	0.19%	0.0%	0.0%	0.0%	0.23%	0.0%	0.18%	0.20%					
33	"16. ""Родина"" (народно-патриотический союз)"""	694	86	115	77	100	49	87	60	45	32	10	33					
		7.26%	8.09%	11.65%	8.22%	9.95%	5.21%	7.67%	7.51%	5.31%	3.84%	1.89%	6.80%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	2	0	1	1	1	0	2	0	1	0	0					
		0.08%	0.18%	0.0%	0.10%	0.09%	0.10%	0.0%	0.25%	0.0%	0.12%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1268	125	127	110	126	149	180	115	88	111	74	63					
		13.27%	11.77%	12.86%	11.75%	12.53%	15.85%	15.87%	14.41%	10.40%	13.34%	13.98%	12.98%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	81	6	10	5	12	9	2	8	13	10	5	1					
		0.84%	0.56%	1.01%	0.53%	1.19%	0.95%	0.17%	1.00%	1.53%	1.20%	0.94%	0.20%					
37	"20. ""Политическая партия ""Единая Россия"""	5291	577	487	532	571	532	591	420	513	450	324	294					
		55.37%	54.33%	49.34%	56.83%	56.81%	56.59%	52.11%	52.63%	60.63%	54.08%	61.24%	60.61%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	2	1	3	0	3	1	1	1	0	3	1					
		0.16%	0.18%	0.10%	0.32%	0.0%	0.31%	0.08%	0.12%	0.11%	0.0%	0.56%	0.20%					
39	"22. ""Развитие предпринимательства"""	21	0	1	3	3	4	1	1	2	4	0	2					
		0.21%	0.0%	0.10%	0.32%	0.29%	0.42%	0.08%	0.12%	0.23%	0.48%	0.0%	0.41%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	752	71	76	57	68	43	77	82	91	114	45	28					
		7.87%	6.68%	7.70%	6.08%	6.76%	4.57%	6.79%	10.27%	10.75%	13.70%	8.50%	5.77%					
																		
41	Против всех	316	40	34	32	21	33	66	23	20	23	14	10					
		3.30%	3.76%	3.44%	3.41%	2.08%	3.51%	5.82%	2.88%	2.36%	2.76%	2.64%	2.06%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
