Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Лихославльская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22937	826	1530	1349	1190	764	1421	1305	1354	546	872	1444	1225	1186	652	515	652	652	794	665	427	311	342	454	359	305	218	196	424	202	232	120	163	242									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22250	800	1500	1350	1150	700	1400	1300	1350	500	850	1400	1200	1150	650	500	600	600	750	650	400	300	350	450	350	300	200	200	400	200	200	100	150	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9342	295	663	579	456	281	694	510	646	268	375	396	410	439	266	251	363	210	377	303	152	121	157	169	125	157	66	100	223	46	77	31	54	82									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1560	67	21	7	39	11	17	13	27	12	18	66	45	19	81	60	73	112	45	100	101	34	31	31	50	50	47	53	69	91	82	28	40	20									
6	Число погашенных избирательных бюллетеней	11348	438	816	764	655	408	689	777	677	220	457	938	745	692	303	189	164	278	328	247	147	145	162	250	175	93	87	47	108	63	41	41	56	148									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1560	67	21	7	39	11	17	13	27	12	18	66	45	19	81	60	73	112	45	100	101	34	31	31	50	50	47	53	69	91	82	28	40	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9315	295	663	579	456	281	694	497	641	263	375	396	410	436	266	251	363	210	377	302	152	121	157	169	125	157	66	100	223	46	77	31	54	82									
9	Число недействительных избирательных бюллетеней	227	9	18	26	11	1	18	17	13	7	11	14	6	21	8	0	4	7	2	3	2	1	6	10	3	2	1	1	2	3	0	0	0	0									
10	Число действительных избирательных бюллетеней	10648	353	666	560	484	291	693	493	655	268	382	448	449	434	339	311	432	315	420	399	251	154	182	190	172	205	112	152	290	134	159	59	94	102									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	700	40	25	30	25	10	20	20	20	25	15	20	15	15	25	25	40	15	35	30	15	20	20	25	10	20	15	10	35	10	20	10	10	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	326	18	10	15	9	5	5	4	12	4	7	6	3	2	4	25	12	3	12	6	10	11	20	14	3	12	15	10	11	10	20	10	0	18									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	237	8	13	10	5	10	12	5	2	17	7	4	0	4	2	18	19	15	26	4	6	2	4	1	2	2	13	0	9	2	10	2	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	374	22	15	15	16	5	15	16	8	21	8	14	12	13	21	0	28	12	23	24	5	9	0	11	7	8	0	0	24	0	0	0	10	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	2	5	3	3	5	4	2	2	0	1	3	2	1	6	0	2	1	1	2	0	0	0	0	0	1	0	3	1	0	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	133	4	11	7	6	6	9	7	9	8	8	8	2	4	4	3	3	5	0	7	4	1	2	4	0	3	0	1	6	1	0	0	0	0									
		1.22%	1.10%	1.61%	1.19%	1.21%	2.05%	1.27%	1.37%	1.35%	2.91%	2.04%	1.73%	0.44%	0.88%	1.15%	0.96%	0.69%	1.55%	0.00%	1.74%	1.58%	0.65%	1.06%	2.00%	0.00%	1.45%	0.00%	0.65%	2.05%	0.73%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	224	10	18	7	17	3	10	9	8	3	12	18	14	15	5	2	3	4	5	7	8	2	4	7	5	4	1	2	5	3	5	1	4	3									
		2.06%	2.76%	2.63%	1.19%	3.43%	1.03%	1.41%	1.76%	1.20%	1.09%	3.05%	3.90%	3.08%	3.30%	1.44%	0.64%	0.69%	1.24%	1.18%	1.74%	3.16%	1.29%	2.13%	3.50%	2.86%	1.93%	0.88%	1.31%	1.71%	2.19%	3.14%	1.69%	4.26%	2.94%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	251	6	14	13	13	4	18	13	19	7	11	13	15	16	32	1	10	5	7	3	3	2	5	2	5	2	0	0	6	3	0	1	1	1									
		2.31%	1.66%	2.05%	2.22%	2.63%	1.37%	2.53%	2.55%	2.84%	2.55%	2.80%	2.81%	3.30%	3.52%	9.22%	0.32%	2.29%	1.55%	1.66%	0.75%	1.19%	1.29%	2.66%	1.00%	2.86%	0.97%	0.00%	0.00%	2.05%	2.19%	0.00%	1.69%	1.06%	0.98%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5869	212	314	259	253	121	340	198	310	135	196	195	213	191	202	208	321	211	257	249	158	104	106	126	107	142	77	126	174	95	97	34	70	68									
		53.97%	58.56%	45.91%	44.20%	51.11%	41.44%	47.82%	38.82%	46.41%	49.09%	49.87%	42.21%	46.81%	41.98%	58.21%	66.88%	73.62%	65.53%	60.90%	61.94%	62.45%	67.10%	56.38%	63.00%	61.14%	68.60%	68.14%	82.35%	59.59%	69.34%	61.01%	57.63%	74.47%	66.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	60	2	4	6	4	0	7	3	8	2	0	6	5	1	0	1	2	1	2	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0									
		0.55%	0.55%	0.58%	1.02%	0.81%	0.00%	0.98%	0.59%	1.20%	0.73%	0.00%	1.30%	1.10%	0.22%	0.00%	0.32%	0.46%	0.31%	0.47%	0.00%	0.00%	0.65%	0.00%	0.00%	0.57%	0.48%	0.88%	0.00%	0.34%	0.00%	0.63%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	0	2	1	3	2	1	1	1	0	0	3	2	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	2	0	0	0									
		0.21%	0.00%	0.29%	0.17%	0.61%	0.68%	0.14%	0.20%	0.15%	0.00%	0.00%	0.65%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.53%	0.00%	0.57%	0.00%	1.77%	0.00%	0.00%	0.00%	1.26%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1721	57	119	108	94	60	112	97	128	33	65	81	86	78	36	56	43	36	61	65	37	19	30	26	15	29	12	11	49	19	27	8	12	12									
		15.83%	15.75%	17.40%	18.43%	18.99%	20.55%	15.75%	19.02%	19.16%	12.00%	16.54%	17.53%	18.90%	17.14%	10.37%	18.01%	9.86%	11.18%	14.45%	16.17%	14.62%	12.26%	15.96%	13.00%	8.57%	14.01%	10.62%	7.19%	16.78%	13.87%	16.98%	13.56%	12.77%	11.76%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	75	7	4	2	2	6	9	4	4	2	5	3	4	6	1	1	1	3	1	0	1	0	2	1	3	0	0	0	0	2	0	0	0	1									
		0.69%	1.93%	0.58%	0.34%	0.40%	2.05%	1.27%	0.78%	0.60%	0.73%	1.27%	0.65%	0.88%	1.32%	0.29%	0.32%	0.23%	0.93%	0.24%	0.00%	0.40%	0.00%	1.06%	0.50%	1.71%	0.00%	0.00%	0.00%	0.00%	1.46%	0.00%	0.00%	0.00%	0.98%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	79	0	8	5	4	3	9	6	6	5	6	1	2	3	2	1	0	2	1	1	1	0	2	1	1	0	1	1	2	0	2	1	0	2									
		0.73%	0.00%	1.17%	0.85%	0.81%	1.03%	1.27%	1.18%	0.90%	1.82%	1.53%	0.22%	0.44%	0.66%	0.58%	0.32%	0.00%	0.62%	0.24%	0.25%	0.40%	0.00%	1.06%	0.50%	0.57%	0.00%	0.88%	0.65%	0.68%	0.00%	1.26%	1.69%	0.00%	1.96%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	3	1	3	0	0	0	3	0	1	0	2	0	1	1	0	2	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0									
		0.22%	0.83%	0.15%	0.51%	0.00%	0.00%	0.00%	0.59%	0.00%	0.36%	0.00%	0.43%	0.00%	0.22%	0.29%	0.00%	0.46%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.88%	0.00%	0.00%	0.00%	0.63%	0.00%	2.13%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	89	1	12	9	4	8	8	6	5	2	2	4	4	4	2	1	1	3	3	2	1	0	0	1	2	0	0	0	0	0	3	0	0	1									
		0.82%	0.28%	1.75%	1.54%	0.81%	2.74%	1.13%	1.18%	0.75%	0.73%	0.51%	0.87%	0.88%	0.88%	0.58%	0.32%	0.23%	0.93%	0.71%	0.50%	0.40%	0.00%	0.00%	0.50%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	1.89%	0.00%	0.00%	0.98%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1315	42	89	86	44	44	81	80	94	43	47	73	67	92	41	31	21	26	55	36	24	18	17	17	21	15	16	7	40	8	16	10	4	10									
		12.09%	11.60%	13.01%	14.68%	8.89%	15.07%	11.39%	15.69%	14.07%	15.64%	11.96%	15.80%	14.73%	20.22%	11.82%	9.97%	4.82%	8.07%	13.03%	8.96%	9.49%	11.61%	9.04%	8.50%	12.00%	7.25%	14.16%	4.58%	13.70%	5.84%	10.06%	16.95%	4.26%	9.80%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	0	4	7	1	1	3	2	2	0	0	2	3	0	1	1	3	0	0	1	0	1	0	0	2	0	1	0	2	0	1	1	0	0									
		0.36%	0.00%	0.58%	1.19%	0.20%	0.34%	0.42%	0.39%	0.30%	0.00%	0.00%	0.43%	0.66%	0.00%	0.29%	0.32%	0.69%	0.00%	0.00%	0.25%	0.00%	0.65%	0.00%	0.00%	1.14%	0.00%	0.88%	0.00%	0.68%	0.00%	0.63%	1.69%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	746	9	66	47	39	33	86	64	61	27	30	39	32	23	12	5	22	19	25	28	14	6	13	5	9	8	0	4	5	3	4	3	1	4									
