Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Инсарская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11089	1451	1337	1049	1326	877	717	276	419	106	218	380	245	228	239	296	105	408	159	180	203	284	240	164	182									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11469	1492	1392	1073	1348	919	741	285	429	109	226	389	257	245	245	306	114	412	176	184	209	298	242	181	197									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9282	1235	1015	963	907	733	619	252	387	92	193	334	227	170	211	273	93	339	149	144	188	248	196	149	165									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	881	154	65	73	91	68	41	12	27	7	21	32	16	50	17	9	8	57	10	14	5	36	42	15	11									
6	Число погашенных избирательных бюллетеней	1306	103	312	37	350	118	81	21	15	10	12	23	14	25	17	24	13	16	17	26	16	14	4	17	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	881	154	65	73	91	68	41	12	27	7	21	32	16	50	17	9	8	57	10	14	5	36	42	15	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9282	1235	1015	963	907	733	619	252	387	92	193	334	227	170	211	273	93	339	149	144	188	248	196	149	165									
9	Число недействительных избирательных бюллетеней	34	0	0	0	7	5	4	0	0	0	2	14	0	0	0	0	0	0	0	2	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	10129	1389	1080	1036	991	796	656	264	414	99	212	352	243	220	228	282	101	396	159	156	193	284	238	164	176									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	171	18	17	18	12	10	10	5	5	3	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	115	18	17	18	10	10	9	0	2	0	0	2	0	5	4	1	2	1	0	1	5	3	0	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	4	3	2	5	0	0	2	0	0	2	1	0	0	1	1	0	5	0	1	2	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	56	0	0	0	2	0	1	5	3	3	5	3	5	0	1	4	1	4	5	4	0	2	5	2	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	4	5	4	4	3	1	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	7	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
		0.07%	0.00%	0.00%	0.10%	0.30%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	45	0	0	1	8	14	0	2	0	0	1	0	0	0	0	0	0	0	6	1	1	11	0	0	0									
		0.44%	0.00%	0.00%	0.10%	0.80%	1.75%	0.00%	0.76%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.77%	0.63%	0.52%	3.87%	0.00%	0.00%	0.00%									
