Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Петрозаводская городская №2																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130					
1	"Число избирателей, внесенных в списки"	86352	1492	2413	1689	1976	1033	1818	1543	1977	1917	1674	1624	1747	1646	1772	2039	1889	1757	1818	1824	1782	1665	1638	1801	1618	1574	1702	1804	1746	1640	1741	1534	1730	1655	1627	1253	2239	1692	1578	1570	1581	1780	1517	1619	1396	1511	1715	1590	1657	2670	983	58	259	93	357	61	66	52	150					
2	"Число бюллетеней, полученных участковыми комиссиями"	81547	1400	2362	1600	1800	2000	1700	1400	1800	1800	1500	1500	1600	1500	1600	1700	1700	1600	1700	1700	1700	1600	1500	1700	1500	1500	1600	1700	1600	1500	1600	1400	1600	1500	1500	1200	2000	1600	1500	1500	1500	1600	1400	1500	1300	1400	1600	1500	1500	2500	900	100	600	100	250	80	90	55	310					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	43835	741	637	826	730	1016	793	703	901	966	857	878	1021	919	888	1090	901	938	956	922	831	965	851	1031	933	837	937	1029	993	881	1018	901	993	724	788	544	771	929	848	850	849	919	726	837	710	802	812	678	870	1230	461	34	156	52	111	19	61	52	119					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1930	15	622	12	9	17	18	9	22	25	16	32	28	29	25	16	141	19	21	20	15	18	15	19	15	22	15	13	27	17	9	12	16	8	21	13	25	18	15	15	21	18	23	20	15	26	24	11	12	33	40	24	103	31	65	35	5	0	0					
6	Число погашенных бюллетеней	35782	644	1103	762	1061	967	889	688	877	809	627	590	551	552	687	594	658	643	723	758	854	617	634	650	552	641	648	658	580	602	573	487	591	768	691	643	1204	653	637	635	630	663	651	643	575	572	764	811	618	1237	399	42	341	17	74	26	24	3	191					
7	Число бюллетеней в переносных ящиках для голосования	1929	15	622	12	9	17	18	9	22	25	16	32	28	29	25	16	141	19	21	20	15	18	15	19	15	22	15	13	27	17	9	12	16	8	21	13	25	18	15	15	21	18	23	20	15	26	24	11	12	33	40	24	102	31	65	35	5	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	43764	741	637	826	727	1016	793	702	900	965	855	878	1021	917	885	1077	901	936	955	922	830	965	851	1031	928	837	928	1028	992	881	1017	901	993	724	788	544	771	928	848	849	849	919	715	836	709	802	812	678	868	1224	461	34	156	52	111	19	61	52	118					
9	Число недействительных бюллетеней	361	8	3	4	5	8	7	10	2	5	7	6	11	3	5	7	14	15	8	5	8	7	2	6	9	9	5	3	11	3	9	11	2	6	4	3	4	8	5	8	7	4	4	9	12	9	2	2	2	2	28	1	10	1	6	0	5	0	1					
10	Число действительных бюллетеней	45332	748	1256	834	731	1025	804	701	920	985	864	904	1038	943	905	1086	1028	940	968	937	837	976	864	1044	934	850	938	1038	1008	895	1017	902	1007	726	805	554	792	938	858	856	863	933	734	847	712	819	834	687	878	1255	473	57	248	82	170	54	61	52	117					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1260	25	25	25	25	25	25	25	25	35	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	407	6	6	9	13	7	5	7	10	26	4	8	9	10	7	22	14	8	8	7	6	5	9	10	6	7	4	5	8	10	11	8	8	5	9	9	9	6	5	5	7	4	7	6	4	8	4	8	9	16	3	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	383	4	4	6	3	12	3	6	3	6	8	4	10	16	6	13	8	4	9	5	5	2	6	7	9	2	7	6	2	10	9	5	0	2	6	8	12	4	4	5	3	4	6	8	4	2	5	7	7	3	16	0	30	9	18	0	4	7	9					
14	Число погашенных открепительных удостоверений	853	19	19	16	12	18	20	18	15	9	21	17	16	15	18	3	11	17	17	18	19	20	16	15	19	18	21	20	17	15	14	17	17	20	16	16	16	19	20	20	18	21	18	19	21	17	21	17	16	9	22	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	19	0	2	0	2	0	0	1	0	0	0	1	0	0	0	1	2	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	"1. ""ЕДИНЕНИЕ"""	291	3	10	6	6	2	2	3	5	5	6	4	8	7	6	9	9	5	6	0	6	4	4	3	6	4	1	6	7	4	0	7	2	4	4	3	4	6	4	9	12	11	8	6	9	6	8	9	7	9	2	3	4	1	4	0	0	0	2					
		0.63%	0.39%	0.79%	0.71%	0.81%	0.19%	0.24%	0.42%	0.54%	0.50%	0.68%	0.43%	0.76%	0.73%	0.65%	0.82%	0.86%	0.52%	0.61%	0.0%	0.71%	0.40%	0.46%	0.28%	0.63%	0.46%	0.10%	0.57%	0.68%	0.44%	0.0%	0.76%	0.19%	0.54%	0.49%	0.53%	0.50%	0.63%	0.46%	1.04%	1.37%	1.17%	1.08%	0.70%	1.24%	0.72%	0.95%	1.30%	0.79%	0.71%	0.39%	5.17%	1.55%	1.20%	2.27%	0.0%	0.0%	0.0%	1.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3458	78	90	77	68	86	63	73	68	72	81	53	63	68	74	81	49	60	86	87	77	87	59	123	78	69	72	100	108	74	80	76	73	69	85	43	38	51	94	43	70	57	45	39	35	40	60	49	44	53	46	2	14	2	10	7	2	5	2					
