Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Брасовская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34					
1	"Число избирателей, внесенных в список"	18314	1202	252	372	375	563	193	82	56	421	126	203	465	1357	341	129	340	252	116	341	153	297	286	73	798	136	170	154	1898	1683	1269	1215	1762	836	398					
2	Число полученных избирательных бюллетеней	18100	1200	250	380	370	560	190	80	60	430	130	250	460	1300	350	120	350	250	120	350	160	300	300	80	800	140	170	160	1900	1600	1200	1150	1700	850	390					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9253	548	160	227	165	288	120	53	39	219	76	177	218	653	206	59	233	147	63	144	52	202	178	55	374	34	97	90	830	823	641	592	867	350	273					
5	"Число избирательных бюллетеней, выданных вне помещения"	2092	121	22	55	57	86	29	14	6	91	8	26	108	85	62	53	42	62	28	79	52	59	52	12	154	72	47	38	112	133	73	58	79	105	12					
6	Число погашенных избирательных бюллетеней	6755	531	68	98	148	186	41	13	15	120	46	47	134	562	82	8	75	41	29	127	56	39	70	13	272	34	26	32	958	644	486	500	754	395	105					
7	Число избирательных бюллетеней в переносных ящиках	2092	121	22	55	57	86	29	14	6	91	8	26	108	85	62	53	42	62	28	79	52	59	52	12	154	72	47	38	112	133	73	58	79	105	12					
8	Число бюллетеней в стационарных ящиках для голосования	9253	548	160	227	165	288	120	53	39	219	76	177	218	653	206	59	233	147	63	144	52	202	178	55	374	34	97	90	830	823	641	592	867	350	273					
9	Число недействительных избирательных бюллетеней	127	8	1	0	4	12	2	2	0	0	2	8	5	16	4	0	3	1	1	3	0	0	0	0	5	0	4	5	15	9	5	2	5	4	1					
10	Число действительных избирательных бюллетеней	11218	661	181	282	218	362	147	65	45	310	82	195	321	722	264	112	272	208	90	220	104	261	230	67	523	106	140	123	927	947	709	648	941	451	284					
11	Число полученных открепительных  удостоверений	398	10	5	5	5	5	5	5	5	5	5	10	10	20	5	5	10	10	5	5	5	5	10	5	10	5	5	5	40	40	50	30	25	20	8					
12	Число выданных открепительных удостоверений	136	3	4	5	1	1	0	0	0	5	0	1	0	4	0	0	3	0	0	0	0	3	7	5	3	2	1	0	13	28	17	14	12	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	146	8	4	1	3	2	4	2	1	4	3	4	2	6	2	2	0	2	1	3	2	2	2	7	6	2	1	2	8	11	11	13	11	3	11					
14	Число неиспользованных открепительных удостоверений	262	7	1	0	4	4	5	5	5	0	5	9	10	16	5	5	7	10	5	5	5	2	3	0	7	3	4	5	27	12	33	16	13	18	6					
