Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																													
																																																																													
Наименование Избирательной комиссии:    Гулькевичская																																																																													
																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																													
																																																																													
		Сумма	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116	УИК  1117	УИК  1118	УИК  1119	УИК  1120	УИК  1121	УИК  1122	УИК  1123	УИК  1124	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150	УИК  1151	УИК  1152	УИК  1153	УИК  1154	УИК  1155	УИК  1156	УИК  1157	УИК  1158	УИК  1159	УИК  1160	УИК  1161	УИК  1162	УИК  1163	УИК  1164	УИК  1165	УИК  1166	УИК  1167	УИК  1168	УИК  1169	УИК  1170					
1	"Число избирателей, внесенных в списки"	73559	1163	1976	2276	2424	1003	1646	916	1622	2374	692	1619	2270	902	2360	1863	592	962	1370	1161	126	2130	1662	863	592	851	2058	1432	654	1496	1537	362	360	394	748	400	864	830	2061	750	466	231	681	489	679	1632	925	118	913	618	312	209	244	1113	1467	1621	161	1158	2381	1314	353	968	242	1954	251	428	539	311	878	1325	217					
2	"Число бюллетеней, полученных участковыми комиссиями"	69484	900	1900	2000	2100	900	1500	900	1500	2200	600	1500	2300	800	2300	1800	520	900	1200	1050	120	2400	1300	700	470	800	1900	1300	600	1400	1500	350	350	400	700	390	850	850	2000	700	450	235	660	480	650	1500	850	135	900	600	312	221	244	1100	1400	1600	172	1100	2200	1300	353	950	238	1900	275	448	550	314	880	1300	217					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	42417	638	961	1211	1189	511	780	505	807	1212	356	832	1207	452	1211	875	358	638	746	560	93	1061	725	506	320	516	1253	873	435	778	922	243	226	242	501	266	606	530	1261	430	331	182	424	340	505	1220	579	97	687	417	231	172	153	848	974	1118	93	571	1146	755	286	558	177	989	126	265	335	211	686	958	147					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1872	22	31	63	44	65	74	19	60	82	9	30	22	26	54	51	11	26	58	44	0	145	55	15	50	16	8	35	0	38	14	0	0	5	0	0	11	32	73	20	10	6	42	0	0	0	0	0	0	0	0	0	2	4	5	18	21	40	93	74	0	87	13	57	27	48	6	11	0	0	0					
6	Число погашенных бюллетеней	25195	240	908	726	867	324	646	376	633	906	235	638	1071	322	1035	874	151	236	396	446	27	1194	520	179	100	268	639	392	165	584	564	107	124	153	199	124	233	288	666	250	109	47	194	140	145	280	271	38	213	183	81	49	89	248	421	464	58	489	961	471	67	305	48	854	122	135	209	92	194	342	70					
7	Число бюллетеней в переносных ящиках для голосования	1872	22	31	63	44	65	74	19	60	82	9	30	22	26	54	51	11	26	58	44	0	145	55	15	50	16	8	35	0	38	14	0	0	5	0	0	11	32	73	20	10	6	42	0	0	0	0	0	0	0	0	0	2	4	5	18	21	40	93	74	0	87	13	57	27	48	6	11	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	42410	638	961	1211	1189	511	780	505	807	1212	356	832	1207	452	1211	868	358	638	746	560	93	1061	725	506	320	516	1253	873	435	778	922	243	226	242	501	266	606	530	1261	430	331	182	424	340	505	1220	579	97	687	417	231	172	153	848	974	1118	93	571	1146	755	286	558	177	989	126	265	335	211	686	958	147					
9	Число недействительных бюллетеней	435	6	6	9	11	3	12	5	9	7	4	6	8	1	11	4	4	3	8	8	0	7	13	11	0	2	8	4	4	7	14	0	1	6	6	5	15	9	10	3	0	0	5	0	1	23	16	0	2	0	2	0	0	6	7	17	4	17	21	8	7	17	3	7	0	6	1	1	2	9	3					
10	Число действительных бюллетеней	43847	654	986	1265	1222	573	842	519	858	1287	361	856	1221	477	1254	915	365	661	796	596	93	1199	767	510	370	530	1253	904	431	809	922	243	225	241	495	261	602	553	1324	447	341	188	461	340	504	1197	563	97	685	417	229	172	155	846	972	1119	110	594	1218	821	279	628	187	1039	153	307	340	221	684	949	144					
