Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Павинская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3952	834	919	677	244	69	209	106	274	233	387									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3619	759	837	614	221	74	187	108	249	214	356									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1364	331	307	175	79	38	46	55	98	100	135									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	338	51	26	45	23	3	50	24	44	24	48									
6	Число погашенных избирательных бюллетеней	1917	377	504	394	119	33	91	29	107	90	173									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	338	51	26	45	23	3	50	24	44	24	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1364	331	307	175	79	38	46	55	98	100	135									
9	Число недействительных избирательных бюллетеней	24	6	5	6	0	0	0	0	1	2	4									
10	Число действительных избирательных бюллетеней	1678	376	328	214	102	41	96	79	141	122	179									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	53	5	5	5	5	5	5	5	5	5	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	16	5	1	2	0	0	0	1	1	0	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	9	0	1	2	0	0	2	1	0	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	37	0	4	3	5	5	5	4	4	5	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	6	8	8	2	4	0	0	1	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	19	4	6	5	0	0	3	0	0	0	1									
		1.12%	1.05%	1.80%	2.27%	0.00%	0.00%	3.13%	0.00%	0.00%	0.00%	0.55%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	72	10	14	13	3	1	7	4	2	10	8									
		4.23%	2.62%	4.20%	5.91%	2.94%	2.44%	7.29%	5.06%	1.41%	8.06%	4.37%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	40	13	1	5	0	1	5	2	4	2	7									
		2.35%	3.40%	0.30%	2.27%	0.00%	2.44%	5.21%	2.53%	2.82%	1.61%	3.83%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	635	143	115	67	48	12	43	31	38	64	74									
		37.31%	37.43%	34.53%	30.45%	47.06%	29.27%	44.79%	39.24%	26.76%	51.61%	40.44%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	5	0	1	2	0	0	0	0	0	1	1									
		0.29%	0.00%	0.30%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	1	0	0	0	0	0	0	0	0									
		0.06%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	376	76	70	58	17	16	21	25	35	21	37									
		22.09%	19.90%	21.02%	26.36%	16.67%	39.02%	21.88%	31.65%	24.65%	16.94%	20.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	2	2	1	0	1	0	0	1	0	0									
		0.41%	0.52%	0.60%	0.45%	0.00%	2.44%	0.00%	0.00%	0.70%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	4	2	0	3	0	0	0	0	0	0									
		0.53%	1.05%	0.60%	0.00%	2.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	1	0	0	0	0	0	0	0	0	0									
		0.06%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	9	1	4	1	0	0	0	0	2	0	1									
		0.53%	0.26%	1.20%	0.45%	0.00%	0.00%	0.00%	0.00%	1.41%	0.00%	0.55%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	454	110	105	52	29	10	13	15	56	19	45									
		26.67%	28.80%	31.53%	23.64%	28.43%	24.39%	13.54%	18.99%	39.44%	15.32%	24.59%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	2	0	2	1	0	0	0	1	0	0									
		0.35%	0.52%	0.00%	0.91%	0.98%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	44	10	7	8	1	0	4	2	2	5	5									
		2.59%	2.62%	2.10%	3.64%	0.98%	0.00%	4.17%	2.53%	1.41%	4.03%	2.73%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
