Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Сафоновская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44837	2457	940	2311	654	1373	2361	1752	1861	1030	2041	2475	1132	1593	1465	1120	1440	966	921	834	798	1785	1778	1623	180	892	341	300	329	671	293	258	794	428	483	221	312	312	1395	516	445	557	456	604	340									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45054	2458	947	2309	641	1362	2378	1762	1862	1043	2055	2485	1136	1604	1478	1119	1433	967	926	839	806	1792	1781	1630	180	897	346	299	330	673	293	273	805	395	490	224	315	313	1431	521	448	571	472	628	337									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19066	973	376	925	264	543	935	591	734	406	781	1015	361	584	598	497	583	290	261	232	283	632	759	617	73	590	221	144	229	308	111	202	384	215	312	150	169	146	616	420	226	429	201	468	212									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1294	18	20	13	9	7	13	8	9	10	6	8	13	4	10	1	6	1	12	9	1	7	7	15	19	59	26	11	57	12	18	24	117	65	88	36	24	67	51	41	30	92	100	65	85									
6	Число погашенных избирательных бюллетеней	24694	1467	551	1371	368	812	1430	1163	1119	627	1268	1462	762	1016	870	621	844	676	653	598	522	1153	1015	998	88	248	99	144	44	353	164	47	304	115	90	38	122	100	764	60	192	50	171	95	40									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1294	18	20	13	9	7	13	8	9	10	6	8	13	4	10	1	6	1	12	9	1	7	7	15	19	59	26	11	57	12	18	24	117	65	88	36	24	67	51	41	30	92	100	65	85									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19065	972	376	925	264	543	935	591	734	406	781	1015	361	584	598	497	583	290	261	232	283	632	759	617	73	590	221	144	229	308	111	202	384	215	312	150	169	146	616	420	226	429	201	468	212									
9	Число недействительных избирательных бюллетеней	383	26	10	30	3	8	26	22	19	11	16	31	10	12	13	14	10	4	5	6	6	14	14	14	5	0	0	1	3	24	0	0	2	0	0	0	1	3	9	0	2	1	1	6	1									
10	Число действительных избирательных бюллетеней	19976	964	386	908	270	542	922	577	724	405	771	992	364	576	595	484	579	287	268	235	278	625	752	618	87	649	247	154	283	296	129	226	499	280	400	186	192	210	658	461	254	520	300	527	296									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	921	36	20	30	15	25	30	25	25	25	30	30	25	25	25	25	25	20	20	20	20	25	25	25	10	20	15	15	15	20	15	15	20	15	15	15	15	15	25	20	15	20	15	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	261	0	2	14	1	6	8	8	5	5	13	6	4	6	7	4	4	3	4	0	6	3	7	8	5	4	3	5	1	0	1	15	10	1	5	3	5	2	18	3	6	20	15	15	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	158	3	3	11	3	5	3	7	9	2	4	5	1	6	3	3	12	1	0	1	2	2	9	2	5	3	2	4	1	3	0	0	5	2	1	2	1	3	9	3	3	6	0	2	6									
14	Число погашенных неиспользованных открепительных удостоверений	660	36	18	16	14	19	22	17	20	20	17	24	21	19	18	21	21	17	16	20	14	22	18	17	5	16	12	10	14	20	14	0	10	14	10	12	10	13	7	17	9	0	0	5	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	54	6	0	4	0	1	3	2	2	1	0	3	1	2	1	1	0	0	2	0	4	2	0	1	0	2	4	0	0	2	0	0	2	1	0	0	0	0	1	1	0	0	0	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	216	12	1	17	2	9	10	3	6	8	13	11	4	3	8	12	11	5	3	2	4	6	7	9	0	4	0	0	0	2	0	2	4	4	4	2	0	2	11	1	0	8	3	1	2									
