Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
"Наименование Избирательной комиссии:    Новосибирск, Центральная"																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  1961	УИК  1962	УИК  1963	УИК  1964	УИК  1965	УИК  1966	УИК  1967	УИК  1968	УИК  1969	УИК  1970	УИК  1971	УИК  1972	УИК  1973	УИК  1974	УИК  1975	УИК  1976	УИК  1977	УИК  1978	УИК  1979	УИК  1980	УИК  1981	УИК  1982	УИК  1983	УИК  1984	УИК  1985	УИК  1986					
1	"Число избирателей, внесенных в списки"	55815	1858	2283	1894	1478	1883	2214	2287	1651	1754	1532	2042	2104	2206	2583	2364	2372	1640	2257	1526	2473	2529	1458	2613	2992	2838	2984					
2	"Число бюллетеней, полученных участковыми комиссиями"	54300	1800	2100	1900	1400	1900	2200	2400	1500	1700	1500	1900	2100	2200	2500	2400	2300	1600	2200	1500	2100	2500	1400	2600	2900	2700	3000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	32507	1129	1427	1232	902	1061	1306	1399	1064	1089	940	1034	1180	1320	1568	1154	1411	1230	1354	875	1562	1503	675	1481	1616	1311	1684					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1216	21	148	41	26	28	80	25	28	47	36	86	60	37	39	17	39	42	49	22	13	42	10	42	50	163	25					
6	Число погашенных бюллетеней	20577	650	525	627	472	811	814	976	408	564	524	780	860	843	893	1229	850	328	797	603	525	955	715	1077	1234	1226	1291					
7	Число бюллетеней в переносных ящиках для голосования	1213	21	145	41	26	28	80	25	28	47	36	86	60	37	39	17	39	42	49	22	13	42	10	42	50	163	25					
8	Число бюллетеней в стационарных ящиках для голосования	32387	1128	1402	1227	900	1059	1302	1350	1064	1087	940	1034	1180	1318	1568	1154	1410	1226	1354	875	1559	1501	672	1476	1616	1303	1682					
9	Число недействительных бюллетеней	356	16	17	8	7	18	13	9	8	12	14	28	11	11	17	6	22	13	10	12	7	12	7	7	28	25	18					
10	Число действительных бюллетеней	33244	1133	1530	1260	919	1069	1369	1366	1084	1122	962	1092	1229	1344	1590	1165	1427	1255	1393	885	1565	1531	675	1511	1638	1441	1689					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	547	20	30	20	15	20	30	35	20	15	15	20	25	20	20	15	15	15	27	15	15	20	15	30	25	30	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	429	10	23	17	8	13	25	29	16	12	6	11	23	18	19	14	12	10	18	9	15	19	12	30	24	21	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	445	7	15	27	13	10	11	156	11	5	13	12	26	12	19	9	4	8	12	7	6	17	3	13	9	6	14					
14	Число погашенных открепительных удостоверений	118	10	7	3	7	7	5	6	4	3	9	9	2	2	1	1	3	5	9	6	0	1	3	0	1	9	5					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	452	17	20	14	18	33	22	17	15	13	14	16	11	11	25	12	19	21	25	10	20	17	6	15	11	32	18					
		1.34%	1.47%	1.29%	1.10%	1.94%	3.03%	1.59%	1.23%	1.37%	1.14%	1.43%	1.42%	0.88%	0.81%	1.55%	1.02%	1.31%	1.65%	1.78%	1.11%	1.27%	1.10%	0.87%	0.98%	0.66%	2.18%	1.05%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3539	123	171	200	102	115	167	211	143	131	168	85	110	142	149	117	121	134	139	102	130	147	53	146	136	108	189					
		10.53%	10.70%	11.05%	15.77%	11.01%	10.57%	12.08%	15.34%	13.09%	11.55%	17.21%	7.58%	8.87%	10.47%	9.27%	9.99%	8.35%	10.56%	9.90%	11.37%	8.26%	9.52%	7.77%	9.61%	8.16%	7.36%	11.07%					
