Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Кыринская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223					
1	"Число избирателей, внесенных в список избирателей"	11056	184	654	518	191	2133	1429	321	449	605	69	656	353	1557	523	783	213	287	131					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10615	162	650	500	190	2100	1450	300	450	600	60	650	350	1300	500	750	200	270	133					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5440	91	333	269	92	938	645	160	232	256	28	296	195	900	256	392	105	185	67					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	643	49	29	28	12	47	45	20	44	25	11	131	26	57	39	37	4	34	5					
6	Число погашенных избирательных бюллетеней	4532	22	288	203	86	1115	760	120	174	319	21	223	129	343	205	321	91	51	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	643	49	29	28	12	47	45	20	44	25	11	131	26	57	39	37	4	34	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5438	91	332	269	92	938	645	160	232	256	28	295	195	900	256	392	105	185	67					
9	Число недействительных избирательных бюллетеней	98	1	5	2	0	19	7	0	3	9	0	7	8	22	3	4	4	4	0					
10	Число действительных избирательных бюллетеней	5983	139	356	295	104	966	683	180	273	272	39	419	213	935	292	425	105	215	72					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	147	8	8	7	2	17	18	6	9	8	5	6	4	26	6	9	3	3	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	105	4	5	7	1	17	15	4	8	5	5	2	0	22	6	3	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	4	5	1	2	11	13	2	2	1	1	2	2	6	4	4	0	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	42	4	3	0	1	0	3	2	1	3	0	4	4	4	0	6	2	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	669	12	48	34	8	125	72	15	20	47	2	38	43	79	41	39	13	20	13					
		11.00%	8.57%	13.30%	11.45%	7.69%	12.69%	10.43%	8.33%	7.25%	16.73%	5.13%	8.92%	19.46%	8.25%	13.90%	9.09%	11.93%	9.13%	18.06%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1049	32	61	53	23	222	119	42	49	40	10	52	27	125	39	83	8	52	12					
		17.25%	22.86%	16.90%	17.85%	22.12%	22.54%	17.25%	23.33%	17.75%	14.23%	25.64%	12.21%	12.22%	13.06%	13.22%	19.35%	7.34%	23.74%	16.67%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	65	0	3	3	2	11	5	2	0	3	0	4	3	15	2	11	0	1	0					
		1.07%	0.00%	0.83%	1.01%	1.92%	1.12%	0.72%	1.11%	0.00%	1.07%	0.00%	0.94%	1.36%	1.57%	0.68%	2.56%	0.00%	0.46%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1367	14	131	79	14	234	186	20	79	42	12	96	20	190	60	89	16	56	29					
		22.48%	10.00%	36.29%	26.60%	13.46%	23.76%	26.96%	11.11%	28.62%	14.95%	30.77%	22.54%	9.05%	19.85%	20.34%	20.75%	14.68%	25.57%	40.28%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	43	0	3	1	0	8	14	1	1	1	1	2	1	7	0	2	1	0	0					
		0.71%	0.00%	0.83%	0.34%	0.00%	0.81%	2.03%	0.56%	0.36%	0.36%	2.56%	0.47%	0.45%	0.73%	0.00%	0.47%	0.92%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2773	81	109	125	57	361	286	100	124	139	14	227	117	517	148	200	66	85	17					
		45.60%	57.86%	30.19%	42.09%	54.81%	36.65%	41.45%	55.56%	44.93%	49.47%	35.90%	53.29%	52.94%	54.02%	50.17%	46.62%	60.55%	38.81%	23.61%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	17	0	1	0	0	5	1	0	0	0	0	0	2	2	2	1	1	1	1					
		0.28%	0.00%	0.28%	0.00%	0.00%	0.51%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.21%	0.68%	0.23%	0.92%	0.46%	1.39%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
