Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Осинская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223					
1	"Число избирателей, внесенных в список избирателей"	14170	67	144	728	149	275	520	273	275	394	593	845	1140	1135	455	643	186	510	247	528	113	827	211	243	1261	741	58	550	97	94	744	124					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13991	81	145	762	154	265	494	266	272	380	593	821	1075	1128	443	617	179	519	238	509	119	838	208	246	1284	721	53	550	89	93	703	146					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7716	59	114	381	130	189	390	134	126	194	230	357	450	476	156	346	136	383	155	366	80	495	97	198	681	339	46	355	82	84	400	87					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	680	3	10	50	10	32	25	18	15	29	46	35	42	55	39	25	3	11	23	12	4	42	31	7	21	33	5	9	0	5	20	20					
6	Число погашенных избирательных бюллетеней	5587	19	21	331	14	44	79	106	131	157	317	429	583	597	248	246	40	125	60	131	35	301	80	41	582	349	2	186	7	4	283	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	688	3	10	50	10	32	25	26	15	29	46	35	42	55	39	25	3	11	23	12	4	42	31	7	21	33	5	9	0	5	20	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7716	59	114	381	130	189	390	134	126	194	230	357	450	476	156	346	136	383	155	366	80	495	97	198	681	339	46	355	82	84	400	87					
9	Число недействительных избирательных бюллетеней	82	0	0	1	1	1	15	0	2	0	1	3	8	1	5	3	1	7	2	1	1	5	4	1	10	2	0	0	0	0	6	1					
10	Число действительных избирательных бюллетеней	8322	62	124	430	139	220	400	160	139	223	275	389	484	530	190	368	138	387	176	377	83	532	124	204	692	370	51	364	82	89	414	106					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	296	5	5	10	5	5	15	5	5	3	10	20	20	35	10	5	2	15	5	10	0	15	10	5	30	5	5	10	5	5	10	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	194	4	0	6	2	1	8	3	1	1	4	12	17	35	3	5	0	12	1	6	0	14	1	5	30	2	0	10	0	1	4	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	82	1	1	5	0	0	2	2	1	5	4	8	11	5	1	2	1	1	6	4	1	5	0	2	2	4	3	0	2	2	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	102	1	5	4	3	4	7	2	4	2	6	8	3	0	7	0	2	3	4	4	0	1	9	0	0	3	5	0	5	4	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	669	3	4	38	4	11	27	11	14	24	32	39	48	52	14	21	5	57	9	27	4	44	10	8	59	30	4	24	3	5	31	7					
		7.96%	4.84%	3.23%	8.82%	2.86%	4.98%	6.51%	6.88%	9.93%	10.76%	11.59%	9.95%	9.76%	9.79%	7.18%	5.66%	3.60%	14.47%	5.06%	7.14%	4.76%	8.19%	7.81%	3.90%	8.40%	8.06%	7.84%	6.59%	3.66%	5.62%	7.38%	6.54%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	697	1	13	21	20	31	40	10	3	4	60	33	56	54	33	34	7	16	40	4	8	13	11	4	154	7	0	6	1	1	6	6					
		8.29%	1.61%	10.48%	4.87%	14.29%	14.03%	9.64%	6.25%	2.13%	1.79%	21.74%	8.42%	11.38%	10.17%	16.92%	9.16%	5.04%	4.06%	22.47%	1.06%	9.52%	2.42%	8.59%	1.95%	21.94%	1.88%	0.00%	1.65%	1.22%	1.12%	1.43%	5.61%					
