Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																		
Дата голосования: 04.12.2011																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Белокалитвинская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №131	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №1713	УИК №2481	УИК №2574	УИК №2581	УИК №2591					
1	"Число избирателей, внесенных в список избирателей"	86201	2254	2117	914	2644	1365	1139	2105	1941	1717	1479	1893	1674	1598	1702	2050	1510	2670	2098	645	562	953	1542	1213	1414	592	224	179	1448	1210	1311	705	595	685	196	2456	2306	2023	1569	1870	1746	1168	2369	620	114	896	491	225	558	1629	1593	482	704	855	379	797	1977	768	376	429	497	944	82	859	402	615	1058	1084	490	787	166	2612	220	221	1122	298					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	87587	2270	2050	880	2610	1360	1120	2030	1940	1740	1450	1910	1670	1600	1680	1960	1510	2670	2110	660	570	970	1570	1230	1430	590	223	181	1460	1240	1340	730	600	690	206	2550	2370	2050	1550	1910	1770	2010	2390	650	122	930	490	229	570	1660	1650	490	710	920	400	810	1970	780	390	440	490	960	81	870	390	620	1060	1090	480	780	166	2640	224	231	1150	294					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	45919	1216	985	419	1662	768	525	937	1016	1004	919	1066	1024	898	904	1098	865	1417	1025	271	255	535	730	497	557	251	132	102	580	473	512	293	363	381	139	1450	1338	1086	820	962	895	1015	1374	310	48	542	288	126	306	854	946	243	301	486	208	398	969	394	189	291	397	610	61	576	281	438	525	474	269	459	94	1123	109	137	558	150					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4654	35	33	117	156	35	43	137	36	18	40	39	60	37	25	24	35	47	46	67	10	88	53	46	102	30	27	9	74	52	57	78	27	43	20	143	180	144	106	107	104	153	19	103	58	90	49	12	38	129	128	53	55	84	17	63	52	115	64	30	48	99	9	87	9	39	72	104	39	48	17	48	23	19	125	26					
6	Число погашенных избирательных бюллетеней	37014	1019	1032	344	792	557	552	956	888	718	491	805	586	665	751	838	610	1206	1039	322	305	347	787	687	771	309	64	70	806	715	771	359	210	266	47	957	852	820	624	841	771	842	997	237	16	298	153	91	226	677	576	194	354	350	175	349	949	271	137	119	45	251	11	207	100	143	463	512	172	273	55	1469	92	75	467	118					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4654	35	33	117	156	35	43	137	36	18	40	39	60	37	25	24	35	47	46	67	10	88	53	46	102	30	27	9	74	52	57	78	27	43	20	143	180	144	106	107	104	153	19	103	58	90	49	12	38	129	128	53	55	84	17	63	52	115	64	30	48	99	9	87	9	39	72	104	39	48	17	48	23	19	125	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45916	1214	985	419	1662	768	525	937	1016	1004	919	1066	1024	898	904	1098	865	1417	1024	271	255	535	730	497	557	251	132	102	580	473	512	293	363	381	139	1450	1338	1086	820	962	895	1015	1374	310	48	542	288	126	306	854	946	243	301	486	208	398	969	394	189	291	397	610	61	576	281	438	525	474	269	459	94	1123	109	137	558	150					
9	Число недействительных избирательных бюллетеней	555	17	12	4	10	9	3	12	16	11	22	16	26	14	8	13	15	18	18	2	3	1	5	4	1	2	1	0	7	7	6	7	4	14	0	9	19	30	9	4	2	9	14	4	0	8	5	2	2	12	5	0	8	2	5	9	11	3	3	0	5	26	1	0	0	0	7	8	1	7	2	10	0	1	4	0					
10	Число действительных избирательных бюллетеней	50015	1232	1006	532	1808	794	565	1062	1036	1011	937	1089	1058	921	921	1109	885	1446	1052	336	262	622	778	539	658	279	158	111	647	518	563	364	386	410	159	1584	1499	1200	917	1065	997	1159	1379	409	106	624	332	136	342	971	1069	296	348	568	220	452	1010	506	250	321	440	683	69	663	290	477	590	570	307	500	109	1161	132	155	679	176					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1960	50	40	20	40	20	10	32	30	42	25	25	32	20	20	40	31	40	34	20	10	20	40	30	30	10	5	5	35	30	30	20	10	20	5	90	85	70	30	51	50	50	50	20	8	31	10	8	10	40	40	10	10	60	20	20	40	20	10	10	10	20	2	20	5	13	20	20	10	20	5	45	5	6	40	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1928	50	40	17	40	20	10	31	30	42	25	24	32	20	20	40	31	33	34	20	10	20	40	30	30	7	5	5	35	30	30	20	10	20	5	90	85	70	30	51	50	50	43	20	8	31	10	8	10	40	40	10	10	60	20	20	40	13	10	10	10	20	2	20	2	13	20	20	10	20	5	45	5	6	40	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	879	34	13	14	27	22	11	27	36	8	45	20	24	28	33	22	20	22	19	7	2	8	21	6	9	5	7	6	6	5	5	6	8	7	1	11	23	4	31	21	23	16	22	4	7	4	7	2	1	5	4	3	3	2	7	5	20	1	2	1	4	5	5	1	0	12	6	19	15	2	6	17	2	3	12	7					
14	Число погашенных неиспользованных открепительных удостоверений	32	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0					
