Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Цильнинская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19691	363	262	1916	1460	605	575	266	1171	288	449	2335	1797	469	211	60	503	403	277	144	90	585	286	421	220	441	392	215	98	424	536	104	157	83	693	865	527									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19500	350	270	1700	1400	650	600	250	1200	300	500	2200	1700	450	240	71	509	400	270	143	97	600	300	450	230	450	400	200	100	400	520	120	191	89	700	900	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12215	227	174	959	770	324	341	206	741	163	317	1476	1080	338	178	53	367	314	202	111	75	402	160	287	135	305	264	137	65	261	313	81	127	60	444	509	249									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1517	45	17	36	78	56	56	16	103	27	32	59	107	35	14	5	51	34	38	3	5	60	23	34	24	50	32	17	5	89	54	2	16	2	56	141	95									
6	Число погашенных избирательных бюллетеней	5768	78	79	705	552	270	203	28	356	110	151	665	513	77	48	13	91	52	30	29	17	138	117	129	71	95	104	46	30	50	153	37	48	27	200	250	206									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1517	45	17	36	78	56	56	16	103	27	32	59	107	35	14	5	51	34	38	3	5	60	23	34	24	50	32	17	5	89	54	2	16	2	56	141	95									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12215	227	174	959	770	324	341	206	741	163	317	1476	1080	338	178	53	367	314	202	111	75	402	160	287	135	305	264	137	65	261	313	81	127	60	444	509	249									
9	Число недействительных избирательных бюллетеней	229	1	4	38	11	4	0	1	15	3	5	18	26	4	3	0	5	9	1	5	0	5	6	7	1	0	0	5	0	3	6	2	1	1	4	7	28									
10	Число действительных избирательных бюллетеней	13503	271	187	957	837	376	397	221	829	187	344	1517	1161	369	189	58	413	339	239	109	80	457	177	314	158	355	296	149	70	347	361	81	142	61	496	643	316									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1069	15	20	45	40	35	35	15	64	25	50	40	60	25	30	8	30	25	25	10	7	45	20	48	15	30	30	15	10	30	25	15	35	2	25	80	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1069	15	20	45	40	35	35	15	64	25	50	40	60	25	30	8	30	25	25	10	7	45	20	48	15	30	30	15	10	30	25	15	35	2	25	80	40									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	107	8	3	3	6	0	1	0	3	1	5	18	8	3	1	1	2	4	3	1	1	6	3	6	2	0	1	0	0	3	1	3	0	0	2	4	4									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
