Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Шемуршинская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10165	1278	945	380	41	599	605	456	312	304	235	997	525	290	205	587	881	353	616	477	79									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9836	1240	900	340	48	580	590	440	300	280	240	940	490	280	210	580	900	340	600	455	83									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8121	966	647	253	38	418	496	323	247	259	206	803	467	267	174	514	741	312	509	406	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	936	35	61	64	3	57	53	69	23	20	22	124	23	13	23	64	122	28	80	49	3									
6	Число погашенных избирательных бюллетеней	779	239	192	23	7	105	41	48	30	1	12	13	0	0	13	2	37	0	11	0	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	936	35	61	64	3	57	53	69	23	20	22	124	23	13	23	64	122	28	80	49	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8121	966	647	253	38	418	496	323	247	259	206	803	467	267	174	514	741	312	509	406	75									
9	Число недействительных избирательных бюллетеней	142	35	3	13	0	9	20	11	12	1	1	8	0	4	0	10	0	2	2	11	0									
10	Число действительных избирательных бюллетеней	8915	966	705	304	41	466	529	381	258	278	227	919	490	276	197	568	863	338	587	444	78									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	241	37	17	7	5	15	17	9	6	8	10	20	10	10	2	23	16	13	1	12	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	241	37	17	7	5	15	17	9	6	8	10	20	10	10	2	23	16	13	1	12	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	7	1	0	1	2	0	0	1	0	0	2	0	1	1	2	2	3	0	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	259	38	24	2	0	15	9	3	6	3	25	8	5	9	5	8	67	6	23	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	22	5	4	1	0	2	0	1	1	2	2	2	1	0	0	0	0	1	0	0	0									
		0.24%	0.50%	0.56%	0.32%	0.00%	0.42%	0.00%	0.26%	0.37%	0.72%	0.88%	0.22%	0.20%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	117	26	16	4	2	13	9	9	6	4	6	5	3	2	0	3	0	1	1	3	4									
		1.29%	2.60%	2.26%	1.26%	4.88%	2.74%	1.64%	2.30%	2.22%	1.43%	2.63%	0.54%	0.61%	0.71%	0.00%	0.52%	0.00%	0.29%	0.17%	0.66%	5.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	90	23	13	1	0	13	3	3	4	3	0	8	6	2	0	3	0	3	3	2	0									
		0.99%	2.30%	1.84%	0.32%	0.00%	2.74%	0.55%	0.77%	1.48%	1.08%	0.00%	0.86%	1.22%	0.71%	0.00%	0.52%	0.00%	0.88%	0.51%	0.44%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7353	630	523	252	39	279	450	303	184	220	189	838	425	257	187	533	751	276	540	415	62									
		81.19%	62.94%	73.87%	79.50%	95.12%	58.74%	81.97%	77.30%	68.15%	78.85%	82.89%	90.40%	86.73%	91.79%	94.92%	92.21%	87.02%	81.18%	91.68%	91.21%	79.49%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	3	0	2	0	2	0	0	1	2	1	2	1	0	0	0	0	0	1	0	0									
		0.17%	0.30%	0.00%	0.63%	0.00%	0.42%	0.00%	0.00%	0.37%	0.72%	0.44%	0.22%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	0	4	2	0	2	0	2	0	1	0	1	1	0	0	0	0	2	0	0	0									
		0.17%	0.00%	0.56%	0.63%	0.00%	0.42%	0.00%	0.51%	0.00%	0.36%	0.00%	0.11%	0.20%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	384	82	25	15	0	50	18	25	10	13	9	11	19	5	4	13	35	19	19	7	5									
		4.24%	8.19%	3.53%	4.73%	0.00%	10.53%	3.28%	6.38%	3.70%	4.66%	3.95%	1.19%	3.88%	1.79%	2.03%	2.25%	4.06%	5.59%	3.23%	1.54%	6.41%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	1	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0									
		0.07%	0.10%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.11%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	14	5	0	0	0	2	0	1	1	2	0	2	0	0	0	0	0	0	0	1	0									
