Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Нижневартовская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567					
1	"Число избирателей, внесенных в список избирателей"	21849	317	1171	775	949	347	690	370	463	409	164	1361	1458	1378	1362	91	1430	344	1191	1523	1370	1901	1262	1523					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19774	360	1220	820	1080	335	700	375	445	435	165	1200	1200	1200	1000	99	1000	320	1000	1200	1140	1980	1050	1450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2335	42	528	301	0	11	320	55	0	0	67	0	0	0	0	0	0	0	0	0	102	587	5	317					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11897	233	493	369	656	283	320	248	396	327	48	687	767	735	824	56	870	254	692	864	710	643	758	664					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	262	7	13	6	9	7	9	12	9	26	0	26	10	12	20	3	4	5	6	26	12	12	13	15					
6	Число погашенных избирательных бюллетеней	5280	78	186	144	415	34	51	60	40	82	50	487	423	453	156	40	126	61	302	310	316	738	274	454					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2597	49	541	307	9	18	329	67	9	26	67	26	10	12	20	3	4	5	6	26	114	599	18	332					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11891	233	493	369	656	283	319	248	396	327	48	686	766	735	824	56	870	254	691	864	710	643	756	664					
9	Число недействительных избирательных бюллетеней	311	39	44	18	7	3	8	3	4	7	1	7	10	15	11	1	7	5	15	18	17	24	23	24					
10	Число действительных избирательных бюллетеней	14177	243	990	658	658	298	640	312	401	346	114	705	766	732	833	58	867	254	682	872	807	1218	751	972					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	880	30	20	20	50	30	30	20	20	20	10	50	50	50	50	20	50	20	50	50	60	60	60	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	398	30	13	14	39	21	30	12	2	12	3	22	17	13	23	0	13	1	16	25	23	21	27	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	675	5	6	74	35	18	15	6	29	11	1	48	24	16	52	11	70	21	30	156	11	13	15	8					
14	Число погашенных неиспользованных открепительных удостоверений	482	0	7	6	11	9	0	8	18	8	7	28	33	37	27	20	37	19	34	25	37	39	33	39					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	101	1	13	5	12	1	0	2	2	43	2	1	1	3	0	0	3	2	3	2	2	0	2	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2191	16	63	66	73	21	60	37	52	70	10	175	166	141	172	10	163	18	139	187	136	175	132	109					
