Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Приморская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784					
1	"Число избирателей, внесенных в список избирателей"	22406	613	1574	77	377	1670	959	266	426	1439	1682	217	626	492	1061	307	812	258	127	175	112	181	52	1485	1182	508	153	116	1253	1173	313	477	521	386	520	295	437	84					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20306	621	1300	79	300	1600	850	250	400	1300	1700	200	582	500	1000	300	800	266	118	182	115	178	54	1300	1000	500	153	100	850	750	311	500	500	350	500	270	440	87					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	461	0	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0	2	0	0	0	28	0	0	0	0	0	13	196	166	10	0	1	0	18	0	9	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9658	271	840	35	153	740	347	151	236	549	691	63	376	237	508	103	407	105	48	110	58	86	38	719	525	233	59	49	468	211	136	211	192	151	198	179	146	29					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	826	17	16	4	12	64	46	5	11	43	36	15	21	44	61	49	10	9	24	5	2	5	1	6	4	3	8	0	12	105	27	18	30	24	53	5	19	12					
6	Число погашенных избирательных бюллетеней	9361	333	444	40	135	796	456	94	153	708	973	105	185	219	431	148	383	150	46	67	55	59	15	575	471	264	86	38	174	268	138	271	277	175	231	86	266	46					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1287	17	16	4	12	64	47	5	11	43	36	32	21	44	61	49	10	11	24	5	2	33	1	6	4	3	8	13	208	271	37	18	31	24	71	5	28	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9657	271	840	35	153	739	347	151	236	549	691	63	376	237	508	103	407	105	48	110	58	86	38	719	525	233	59	49	468	211	136	211	192	151	198	179	146	29					
9	Число недействительных избирательных бюллетеней	141	5	12	1	0	11	7	0	7	7	11	0	8	4	7	3	5	0	0	2	0	0	0	12	7	4	0	1	9	7	0	2	5	3	0	1	0	0					
10	Число действительных избирательных бюллетеней	10803	283	844	38	165	792	387	156	240	585	716	95	389	277	562	149	412	116	72	113	60	119	39	713	522	232	67	61	667	475	173	227	218	172	269	183	174	41					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	317	5	15	5	5	15	10	5	5	15	20	5	10	5	10	10	15	5	10	5	5	10	5	15	10	5	5	5	10	5	5	10	10	7	10	15	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	196	3	15	2	5	12	4	2	3	11	14	1	8	3	9	8	14	1	7	1	0	8	0	12	7	2	1	2	4	2	0	9	4	7	5	9	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	250	5	5	4	3	28	11	2	2	8	3	0	2	6	16	1	12	1	2	1	0	6	0	9	3	2	0	0	36	18	1	0	3	8	1	50	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	121	2	0	3	0	3	6	3	2	4	6	4	2	2	1	2	1	4	3	4	5	2	5	3	3	3	4	3	6	3	5	1	6	0	5	6	4	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3035	105	286	8	42	266	80	53	68	191	226	22	63	81	197	52	103	29	3	19	11	20	2	220	146	86	17	5	161	89	34	52	71	46	77	48	55	1					
		27.73%	36.46%	33.41%	20.51%	25.45%	33.13%	20.30%	33.97%	27.53%	32.26%	31.09%	23.16%	15.87%	28.83%	34.62%	34.21%	24.70%	25.00%	4.17%	16.52%	18.33%	16.81%	5.13%	30.34%	27.60%	36.44%	25.37%	8.06%	23.82%	18.46%	19.65%	22.71%	31.84%	26.29%	28.62%	26.09%	31.61%	2.44%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2128	59	155	7	32	128	67	36	42	120	127	20	122	46	83	37	100	13	14	18	19	28	10	130	120	36	8	19	180	119	31	41	23	35	39	31	31	2					
		19.44%	20.49%	18.11%	17.95%	19.39%	15.94%	17.01%	23.08%	17.00%	20.27%	17.47%	21.05%	30.73%	16.37%	14.59%	24.34%	23.98%	11.21%	19.44%	15.65%	31.67%	23.53%	25.64%	17.93%	22.68%	15.25%	11.94%	30.65%	26.63%	24.69%	17.92%	17.90%	10.31%	20.00%	14.50%	16.85%	17.82%	4.88%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	141	4	9	0	3	7	5	1	6	9	15	1	9	7	5	1	3	1	0	2	1	1	0	7	0	3	2	2	9	5	4	2	5	2	4	2	4	0					
		1.29%	1.39%	1.05%	0.00%	1.82%	0.87%	1.27%	0.64%	2.43%	1.52%	2.06%	1.05%	2.27%	2.49%	0.88%	0.66%	0.72%	0.86%	0.00%	1.74%	1.67%	0.84%	0.00%	0.97%	0.00%	1.27%	2.99%	3.23%	1.33%	1.04%	2.31%	0.87%	2.24%	1.14%	1.49%	1.09%	2.30%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1498	32	130	9	23	111	64	11	28	73	101	8	56	40	97	23	69	11	6	16	2	1	5	93	73	28	9	4	109	86	18	32	24	19	11	43	21	12					
		13.69%	11.11%	15.19%	23.08%	13.94%	13.82%	16.24%	7.05%	11.34%	12.33%	13.89%	8.42%	14.11%	14.23%	17.05%	15.13%	16.55%	9.48%	8.33%	13.91%	3.33%	0.84%	12.82%	12.83%	13.80%	11.86%	13.43%	6.45%	16.12%	17.84%	10.40%	13.97%	10.76%	10.86%	4.09%	23.37%	12.07%	29.27%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	368	6	37	0	6	39	10	3	3	27	21	0	13	7	23	3	19	3	0	1	0	3	1	23	13	15	2	2	35	14	7	5	3	2	7	11	2	2					
		3.36%	2.08%	4.32%	0.00%	3.64%	4.86%	2.54%	1.92%	1.21%	4.56%	2.89%	0.00%	3.27%	2.49%	4.04%	1.97%	4.56%	2.59%	0.00%	0.87%	0.00%	2.52%	2.56%	3.17%	2.46%	6.36%	2.99%	3.23%	5.18%	2.90%	4.05%	2.18%	1.35%	1.14%	2.60%	5.98%	1.15%	4.88%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3564	77	221	14	58	239	160	52	93	163	220	44	122	94	152	31	114	59	48	56	27	65	21	237	168	61	28	27	166	159	78	94	92	68	131	43	58	24					
		32.57%	26.74%	25.82%	35.90%	35.15%	29.76%	40.61%	33.33%	37.65%	27.53%	30.26%	46.32%	30.73%	33.45%	26.71%	20.39%	27.34%	50.86%	66.67%	48.70%	45.00%	54.62%	53.85%	32.69%	31.76%	25.85%	41.79%	43.55%	24.56%	32.99%	45.09%	41.05%	41.26%	38.86%	48.70%	23.37%	33.33%	58.54%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	69	0	6	0	1	2	1	0	0	2	6	0	4	2	5	2	4	0	1	1	0	1	0	3	2	3	1	2	7	3	1	1	0	0	0	5	3	0					
