Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
"Наименование Избирательной комиссии:    Самара, Красноглинская"																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №1756					
1	"Число избирателей, внесенных в списки избирателей"	69658	1361	2486	2109	2128	1584	2218	2263	1615	2078	1551	1892	309	1636	2015	2025	1806	1830	2070	1713	2289	2686	2823	2252	820	2514	1624	2498	2468	2478	2273	2322	2145	2218	2508	1023	28					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	69290	1350	2450	2100	2100	1550	2200	2250	1600	2050	1550	1900	290	1600	1900	2000	1750	1850	2050	1700	2300	2700	2800	2200	800	2500	1600	2500	2450	2500	2300	2350	2150	2200	2500	1000	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	29271	259	946	817	713	586	919	1051	692	840	651	830	181	714	816	931	807	915	989	550	1047	1030	1196	818	360	1210	721	1058	998	1211	1099	937	776	803	1049	723	28					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1348	41	86	37	35	40	47	34	18	36	20	31	100	25	74	33	64	20	23	54	24	39	45	30	24	21	35	57	40	74	42	27	18	29	14	11	0					
6	Число погашенных избирательных бюллетеней	38671	1050	1418	1246	1352	924	1234	1165	890	1174	879	1039	9	861	1010	1036	879	915	1038	1096	1229	1631	1559	1352	416	1269	844	1385	1412	1215	1159	1386	1356	1368	1437	266	172					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1347	41	86	37	35	40	47	34	18	36	20	31	100	25	74	33	63	20	23	54	24	39	45	30	24	21	35	57	40	74	42	27	18	29	14	11	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29271	259	946	817	713	586	919	1051	692	840	651	830	181	714	816	931	807	915	989	550	1047	1030	1196	818	360	1210	721	1058	998	1211	1099	937	776	803	1049	723	28					
9	Число недействительных избирательных бюллетеней	264	0	5	8	8	0	8	6	4	6	8	4	1	9	8	2	10	13	13	5	12	10	13	12	4	11	7	10	8	11	9	7	11	3	13	4	1					
10	Число действительных избирательных бюллетеней	30354	300	1027	846	740	626	958	1079	706	870	663	857	280	730	882	962	860	922	999	599	1059	1059	1228	836	380	1220	749	1105	1030	1274	1132	957	783	829	1050	730	27					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1287	25	45	38	39	28	40	41	29	38	28	34	8	30	35	37	32	33	37	31	42	49	51	38	14	45	29	45	44	45	41	42	39	40	45	50	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	638	2	9	21	23	11	24	19	16	17	10	23	1	19	22	26	17	23	28	23	25	24	42	12	6	14	9	13	11	24	21	21	25	9	13	35	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	391	10	11	10	9	9	13	23	6	8	2	6	14	6	24	17	4	10	14	5	12	4	10	18	11	9	13	7	13	22	5	9	4	5	9	11	28					
14	Число погашенных неиспользованных открепительных удостоверений	649	23	36	17	16	17	16	22	13	21	18	11	7	11	13	11	15	10	9	8	17	25	9	26	8	31	20	32	33	21	20	21	14	31	32	15	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	2	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	1.Политическая партия «Аграрная партия России»	696	9	27	12	17	17	24	24	12	13	23	22	3	17	14	26	14	19	23	16	24	19	28	21	9	13	15	19	26	36	19	30	24	31	39	8	3					
		2.27%	3.00%	2.62%	1.41%	2.27%	2.72%	2.48%	2.21%	1.69%	1.48%	3.43%	2.56%	1.07%	2.30%	1.57%	2.70%	1.61%	2.03%	2.27%	2.65%	2.24%	1.78%	2.26%	2.48%	2.34%	1.06%	1.98%	1.70%	2.50%	2.80%	1.67%	3.11%	3.02%	3.73%	3.67%	1.09%	10.71%					
