Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
"Наименование Избирательной комиссии:    Красноярск, Центральная"																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №2298	УИК №2339	УИК №2344									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52571	1111	1260	1011	1115	1618	1276	1359	597	1154	2145	1528	1496	780	1537	1195	887	1034	1197	1690	1172	1114	1711	2481	1627	1317	1384	2187	2534	2345	2639	762	2309	2665	2334									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44100	1000	1000	800	1000	1500	1000	1100	500	1000	2000	1200	1200	700	1200	1000	700	800	1000	1500	1000	1000	1500	2000	1500	1000	1100	2000	2000	2100	2000	600	2100	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16412	501	555	421	436	629	526	537	272	421	813	595	458	306	686	481	341	434	522	642	392	371	394	525	272	232	226	514	589	704	683	214	574	563	583									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	611	8	13	7	28	23	43	23	9	8	10	15	5	8	58	94	6	6	8	10	9	25	11	29	23	11	9	8	23	1	59	7	6	4	4									
6	Число погашенных избирательных бюллетеней	27077	491	432	372	536	848	431	540	219	571	1177	590	737	386	456	425	353	360	470	848	599	604	1095	1446	1205	757	865	1478	1388	1395	1258	379	1520	1433	1413									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	610	8	13	7	28	23	43	23	9	8	10	15	5	8	58	94	6	6	8	10	9	25	11	28	23	11	9	8	23	1	59	7	6	4	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16387	501	554	421	435	628	526	536	271	421	812	595	458	306	686	481	341	433	521	642	381	371	394	525	271	232	226	513	589	703	682	214	574	563	581									
9	Число недействительных избирательных бюллетеней	452	20	14	21	10	16	21	19	4	14	24	10	12	16	15	10	7	11	10	14	13	17	13	14	3	7	4	14	19	22	18	2	16	9	13									
10	Число действительных избирательных бюллетеней	16545	489	553	407	453	635	548	540	276	415	798	600	451	298	729	565	340	428	519	638	377	379	392	539	291	236	231	507	593	682	723	219	564	558	572									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2600	80	80	80	80	80	80	80	50	80	80	80	80	50	80	80	50	80	80	80	80	80	80	80	80	80	80	80	80	80	80	50	80	80	80									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	440	10	8	9	12	11	12	15	4	11	32	16	20	9	15	8	7	5	11	11	11	6	11	16	10	4	4	6	12	24	44	1	19	20	26									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	444	15	12	4	11	24	5	9	19	13	0	12	21	13	15	37	18	41	47	12	11	10	4	0	5	4	0	16	0	8	15	7	2	18	16									
14	Число погашенных неиспользованных открепительных удостоверений	2160	70	72	71	68	69	68	65	46	69	48	64	60	41	65	72	43	75	69	69	69	74	69	64	70	76	76	74	68	56	36	49	61	60	54									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	0	0	0	1	0	3	1	0	1	0	3	2	1	1	1	0	1	2	1	1	1	1	0	2	1	0	1	1	1	5	2	0	5	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	504	7	24	16	13	16	19	12	16	16	22	23	17	12	23	21	10	11	22	13	20	11	13	15	11	8	4	12	13	14	17	8	17	14	14									
		2.97%	1.38%	4.23%	3.74%	2.81%	2.46%	3.34%	2.15%	5.71%	3.73%	2.68%	3.77%	3.67%	3.82%	3.09%	3.65%	2.88%	2.51%	4.16%	1.99%	5.13%	2.78%	3.21%	2.71%	3.74%	3.29%	1.70%	2.30%	2.12%	1.99%	2.29%	3.62%	2.93%	2.47%	2.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	436	16	20	7	12	20	13	9	7	5	20	11	8	7	23	20	12	14	9	14	13	6	15	13	6	5	6	13	27	15	20	6	17	11	16									
		2.57%	3.14%	3.53%	1.64%	2.59%	3.07%	2.28%	1.61%	2.50%	1.17%	2.43%	1.80%	1.73%	2.23%	3.09%	3.48%	3.46%	3.19%	1.70%	2.15%	3.33%	1.52%	3.70%	2.35%	2.04%	2.06%	2.55%	2.50%	4.41%	2.13%	2.70%	2.71%	2.93%	1.94%	2.74%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	324	5	13	5	8	10	8	19	10	12	22	16	4	3	15	11	6	4	13	10	6	5	10	11	3	6	0	11	17	11	12	3	14	7	14									
		1.91%	0.98%	2.29%	1.17%	1.73%	1.54%	1.41%	3.40%	3.57%	2.80%	2.68%	2.62%	0.86%	0.96%	2.02%	1.91%	1.73%	0.91%	2.46%	1.53%	1.54%	1.26%	2.47%	1.99%	1.02%	2.47%	0.00%	2.11%	2.78%	1.56%	1.62%	1.36%	2.41%	1.23%	2.39%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5718	163	179	138	159	236	164	198	79	142	324	210	160	108	256	155	101	133	171	208	117	141	153	197	105	83	95	152	197	246	258	79	187	216	208									
		33.64%	32.02%	31.57%	32.24%	34.34%	36.25%	28.82%	35.42%	28.21%	33.10%	39.42%	34.43%	34.56%	34.39%	34.41%	26.96%	29.11%	30.30%	32.33%	31.90%	30.00%	35.61%	37.78%	35.62%	35.71%	34.16%	40.43%	29.17%	32.19%	34.94%	34.82%	35.75%	32.24%	38.10%	35.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	408	16	14	13	14	11	12	10	6	14	18	10	15	8	15	11	7	12	16	8	12	10	5	7	3	8	3	13	9	24	15	5	27	21	16									
		2.40%	3.14%	2.47%	3.04%	3.02%	1.69%	2.11%	1.79%	2.14%	3.26%	2.19%	1.64%	3.24%	2.55%	2.02%	1.91%	2.02%	2.73%	3.02%	1.23%	3.08%	2.53%	1.23%	1.27%	1.02%	3.29%	1.28%	2.50%	1.47%	3.41%	2.02%	2.26%	4.66%	3.70%	2.74%									
24	"6. Политическая партия ""Гражданская Платформа"""	44	1	1	0	0	2	2	2	0	3	1	2	3	1	2	2	3	1	0	1	1	2	1	0	0	0	2	3	0	1	0	0	2	1	4									
		0.26%	0.20%	0.18%	0.00%	0.00%	0.31%	0.35%	0.36%	0.00%	0.70%	0.12%	0.33%	0.65%	0.32%	0.27%	0.35%	0.86%	0.23%	0.00%	0.15%	0.26%	0.51%	0.25%	0.00%	0.00%	0.00%	0.85%	0.58%	0.00%	0.14%	0.00%	0.00%	0.34%	0.18%	0.68%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2397	59	68	47	58	81	69	56	34	77	70	61	58	39	104	60	44	53	47	99	46	49	60	99	53	49	36	115	119	132	135	30	85	93	112									
		14.10%	11.59%	11.99%	10.98%	12.53%	12.44%	12.13%	10.02%	12.14%	17.95%	8.52%	10.00%	12.53%	12.42%	13.98%	10.43%	12.68%	12.07%	8.88%	15.18%	11.79%	12.37%	14.81%	17.90%	18.03%	20.16%	15.32%	22.07%	19.44%	18.75%	18.22%	13.57%	14.66%	16.40%	19.15%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	343	13	7	8	12	12	24	11	3	4	12	18	12	9	13	8	16	12	9	12	6	7	1	12	8	2	5	11	5	8	18	6	10	17	12									
		2.02%	2.55%	1.23%	1.87%	2.59%	1.84%	4.22%	1.97%	1.07%	0.93%	1.46%	2.95%	2.59%	2.87%	1.75%	1.39%	4.61%	2.73%	1.70%	1.84%	1.54%	1.77%	0.25%	2.17%	2.72%	0.82%	2.13%	2.11%	0.82%	1.14%	2.43%	2.71%	1.72%	2.99%	2.05%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	453	14	18	9	13	17	17	20	10	14	28	21	14	14	31	21	10	18	9	10	10	16	4	10	3	3	5	8	6	12	14	7	17	20	10									
		2.67%	2.75%	3.17%	2.10%	2.81%	2.61%	2.99%	3.58%	3.57%	3.26%	3.41%	3.44%	3.02%	4.46%	4.17%	3.65%	2.88%	4.10%	1.70%	1.53%	2.56%	4.04%	0.99%	1.81%	1.02%	1.23%	2.13%	1.54%	0.98%	1.70%	1.89%	3.17%	2.93%	3.53%	1.71%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	0	0	0	0	0	1	1	2	0	2	0	0	0	1	0	1	1	0	2	2	0	0	2	0	0	0	2	1	1	0	0	0	0	0									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.18%	0.71%	0.00%	0.24%	0.00%	0.00%	0.00%	0.13%	0.00%	0.29%	0.23%	0.00%	0.31%	0.51%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.38%	0.16%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	689	23	24	18	18	30	24	18	16	23	44	42	25	12	26	33	22	20	40	19	14	18	8	15	6	9	2	15	9	23	19	16	17	23	18									
		4.05%	4.52%	4.23%	4.21%	3.89%	4.61%	4.22%	3.22%	5.71%	5.36%	5.35%	6.89%	5.40%	3.82%	3.49%	5.74%	6.34%	4.56%	7.56%	2.91%	3.59%	4.55%	1.98%	2.71%	2.04%	3.70%	0.85%	2.88%	1.47%	3.27%	2.56%	7.24%	2.93%	4.06%	3.08%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2204	77	75	53	59	105	81	71	34	44	86	80	55	45	107	115	65	76	68	105	49	43	56	70	39	21	35	65	70	81	81	33	57	50	53									
		12.97%	15.13%	13.23%	12.38%	12.74%	16.13%	14.24%	12.70%	12.14%	10.26%	10.46%	13.11%	11.88%	14.33%	14.38%	20.00%	18.73%	17.31%	12.85%	16.10%	12.56%	10.86%	13.83%	12.66%	13.27%	8.64%	14.89%	12.48%	11.44%	11.51%	10.93%	14.93%	9.83%	8.82%	9.06%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1960	59	52	58	56	59	67	76	34	35	93	69	47	25	67	75	28	42	60	74	46	54	53	63	38	39	36	65	94	74	95	16	86	61	64									
		11.53%	11.59%	9.17%	13.55%	12.10%	9.06%	11.78%	13.60%	12.14%	8.16%	11.31%	11.31%	10.15%	7.96%	9.01%	13.04%	8.07%	9.57%	11.34%	11.35%	11.79%	13.64%	13.09%	11.39%	12.93%	16.05%	15.32%	12.48%	15.36%	10.51%	12.82%	7.24%	14.83%	10.76%	10.94%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1046	36	58	35	31	36	47	37	25	26	56	37	33	15	46	33	15	31	55	63	35	17	13	25	16	3	2	22	26	40	39	10	28	24	31									
		6.15%	7.07%	10.23%	8.18%	6.70%	5.53%	8.26%	6.62%	8.93%	6.06%	6.81%	6.07%	7.13%	4.78%	6.18%	5.74%	4.32%	7.06%	10.40%	9.66%	8.97%	4.29%	3.21%	4.52%	5.44%	1.23%	0.85%	4.22%	4.25%	5.68%	5.26%	4.52%	4.83%	4.23%	5.30%									
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
