Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    Осипенковская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №666	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674					
1	"Число избирателей, внесенных в список избирателей"	4407	85	452	650	195	1879	964	65	117					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4200	80	450	540	200	1817	923	67	123					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	110	0	0	78	2	6	24	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2261	69	211	243	142	1060	414	45	77					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	308	4	39	51	9	94	93	3	15					
6	Число погашенных избирательных бюллетеней	1521	7	200	168	47	657	392	19	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	417	4	39	129	11	100	117	3	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2260	69	211	243	142	1060	413	45	77					
9	Число недействительных избирательных бюллетеней	36	0	4	6	0	8	15	0	3					
10	Число действительных избирательных бюллетеней	2641	73	246	366	153	1152	515	48	88					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	5	7	10	8	20	15	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	16	0	0	5	0	11	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	1	5	5	0	10	2	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	64	5	7	5	8	9	15	10	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	367	13	37	65	8	172	61	5	6					
		13.71%	17.81%	14.80%	17.47%	5.23%	14.83%	11.51%	10.42%	6.59%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	529	8	43	73	12	243	118	10	22					
		19.76%	10.96%	17.20%	19.62%	7.84%	20.95%	22.26%	20.83%	24.18%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	40	2	5	4	1	15	6	4	3					
		1.49%	2.74%	2.00%	1.08%	0.65%	1.29%	1.13%	8.33%	3.30%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	348	12	21	34	18	176	72	4	11					
		12.99%	16.44%	8.40%	9.14%	11.76%	15.17%	13.58%	8.33%	12.09%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	67	0	3	9	6	27	18	1	3					
		2.50%	0.00%	1.20%	2.42%	3.92%	2.33%	3.40%	2.08%	3.30%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1279	38	137	180	107	515	235	24	43					
		47.78%	52.05%	54.80%	48.39%	69.93%	44.40%	44.34%	50.00%	47.25%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	0	0	1	1	4	5	0	0					
		0.41%	0.00%	0.00%	0.27%	0.65%	0.34%	0.94%	0.00%	0.00%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
