Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва												
Дата голосования: 04.12.2011												
												
Наименование Избирательной комиссии:    Малышевская поселковая												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579					
1	"Число избирателей, внесенных в список избирателей"	9920	1450	2166	2078	2013	2213					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10000	1500	2200	2100	2000	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4459	466	1076	1013	955	949					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	224	48	32	50	51	43					
6	Число погашенных избирательных бюллетеней	5317	986	1092	1037	994	1208					
7	Число избирательных бюллетеней в переносных ящиках для голосования	224	48	32	50	51	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4458	465	1076	1013	955	949					
9	Число недействительных избирательных бюллетеней	124	10	30	30	20	34					
10	Число действительных избирательных бюллетеней	4558	503	1078	1033	986	958					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	145	17	32	32	32	32					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	56	9	18	10	10	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	0	9	3	5	5					
14	Число погашенных неиспользованных открепительных удостоверений	89	8	14	22	22	23					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	0	1	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1709	165	409	387	407	341					
		36.50%	32.16%	36.91%	36.41%	40.46%	34.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	676	105	164	132	136	139					
		14.44%	20.47%	14.80%	12.42%	13.52%	14.01%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	2	10	6	3	11					
		0.68%	0.39%	0.90%	0.56%	0.30%	1.11%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	580	43	139	145	123	130					
		12.39%	8.38%	12.55%	13.64%	12.23%	13.10%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	131	4	41	31	26	29					
		2.80%	0.78%	3.70%	2.92%	2.58%	2.92%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1389	181	307	318	285	298					
		29.67%	35.28%	27.71%	29.92%	28.33%	30.04%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	41	3	8	14	6	10					
		0.88%	0.58%	0.72%	1.32%	0.60%	1.01%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
