Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    Малышевская поселковая												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579					
1	"Число избирателей, внесенных в списки избирателей"	10103	1416	2248	2134	2086	2219					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10200	1400	2280	2150	2120	2250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5102	534	1205	1170	1088	1105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	308	57	43	65	99	44					
6	Число погашенных избирательных бюллетеней	4790	809	1032	915	933	1101					
7	Число избирательных бюллетеней в переносных ящиках для голосования	308	57	43	65	99	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5102	534	1205	1170	1088	1105					
9	Число недействительных избирательных бюллетеней	30	6	9	6	3	6					
10	Число действительных избирательных бюллетеней	5380	585	1239	1229	1184	1143					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	143	23	30	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	104	5	24	23	30	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	46	8	11	10	4	13					
14	Число погашенных неиспользованных открепительных удостоверений	39	18	6	7	0	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	0	2	1	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	96	10	20	23	28	15					
		1.77%	1.69%	1.60%	1.86%	2.36%	1.31%					
19	2.Всероссийская политическая партия «Гражданская Сила»	259	43	55	80	37	44					
		4.79%	7.28%	4.41%	6.48%	3.12%	3.83%					
20	3.Политическая партия «Демократическая партия России»	2	0	0	1	1	0					
		0.04%	0.00%	0.00%	0.08%	0.08%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	536	40	130	152	111	103					
		9.91%	6.77%	10.42%	12.31%	9.35%	8.96%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	50	1	16	11	14	8					
		0.92%	0.17%	1.28%	0.89%	1.18%	0.70%					
23	6.Политическая партия «Партия социальной справедливости»	12	0	2	3	6	1					
		0.22%	0.00%	0.16%	0.24%	0.51%	0.09%					
24	7.Политическая партия «Либерально-демократическая партия России»	623	75	150	134	130	134					
		11.52%	12.69%	12.02%	10.85%	10.95%	11.66%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	398	28	86	99	91	94					
		7.36%	4.74%	6.89%	8.02%	7.67%	8.18%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	36	2	5	8	12	9					
		0.67%	0.34%	0.40%	0.65%	1.01%	0.78%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3290	381	749	701	740	719					
		60.81%	64.47%	60.02%	56.76%	62.34%	62.58%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	78	5	26	17	14	16					
		1.44%	0.85%	2.08%	1.38%	1.18%	1.39%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
