Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    Кинельская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252					
1	"Число избирателей, внесенных в список избирателей"	24043	783	1359	884	1323	370	2940	490	145	295	114	1785	367	1364	294	2714	129	166	216	114	1421	1835	1086	610	675	1677	887					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22330	700	1200	800	1000	300	2900	400	130	250	120	1700	300	1200	280	2700	100	150	200	100	1400	1800	1000	500	600	1600	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12031	459	649	390	696	221	1369	202	83	97	68	895	212	789	113	1096	71	85	108	61	659	1038	679	280	344	932	435					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1766	57	185	49	88	22	280	74	16	56	8	80	30	38	68	84	13	19	27	4	226	114	46	39	43	65	35					
6	Число погашенных избирательных бюллетеней	8533	184	366	361	216	57	1251	124	31	97	44	725	58	373	99	1520	16	46	65	35	515	648	275	181	213	603	430					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1766	57	185	49	88	22	280	74	16	56	8	80	30	38	68	84	13	19	27	4	226	114	46	39	43	65	35					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12027	459	649	390	696	221	1368	202	83	97	68	894	212	789	113	1094	71	85	108	61	659	1038	679	280	344	932	435					
9	Число недействительных избирательных бюллетеней	320	19	19	11	28	10	33	8	4	4	6	27	4	8	26	27	5	5	2	3	18	3	7	9	13	15	6					
10	Число действительных избирательных бюллетеней	13473	497	815	428	756	233	1615	268	95	149	70	947	238	819	155	1151	79	99	133	62	867	1149	718	310	374	982	464					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	478	10	25	15	23	10	35	13	12	10	20	40	5	25	10	40	5	5	10	5	25	35	30	10	10	35	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	351	3	25	15	7	10	32	13	10	1	20	40	2	19	10	32	0	4	4	0	9	35	8	10	2	25	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	372	10	75	12	26	8	9	6	2	4	3	19	8	83	5	11	3	3	7	3	15	26	4	3	9	8	10					
14	Число погашенных неиспользованных открепительных удостоверений	127	7	0	0	16	0	3	0	2	9	0	0	3	6	0	8	5	1	6	5	16	0	22	0	8	10	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	2	3	1	0	1	1	0	1	1	0	0	1	0	2	0	0	0	0	3	0	0	3	1	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1486	57	96	43	86	33	150	47	13	14	14	111	33	59	14	103	8	21	17	6	91	178	70	27	35	125	35					
		10.77%	11.05%	11.51%	9.79%	10.97%	13.58%	9.10%	17.03%	13.13%	9.15%	18.42%	11.40%	13.64%	7.13%	7.73%	8.74%	9.52%	20.19%	12.59%	9.23%	10.28%	15.45%	9.66%	8.46%	9.04%	12.54%	7.45%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2018	62	150	131	150	18	180	31	14	26	12	161	32	89	21	143	8	16	30	6	150	158	91	33	42	186	78					
		14.63%	12.02%	17.99%	29.84%	19.13%	7.41%	10.92%	11.23%	14.14%	16.99%	15.79%	16.53%	13.22%	10.76%	11.60%	12.14%	9.52%	15.38%	22.22%	9.23%	16.95%	13.72%	12.55%	10.34%	10.85%	18.66%	16.60%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	134	6	13	6	7	1	10	2	3	0	1	12	2	6	1	16	0	0	2	1	7	12	9	3	1	8	5					
		0.97%	1.16%	1.56%	1.37%	0.89%	0.41%	0.61%	0.72%	3.03%	0.00%	1.32%	1.23%	0.83%	0.73%	0.55%	1.36%	0.00%	0.00%	1.48%	1.54%	0.79%	1.04%	1.24%	0.94%	0.26%	0.80%	1.06%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3335	118	179	103	163	37	313	69	16	26	13	228	49	327	55	331	11	18	21	11	168	226	195	110	125	322	101					
		24.18%	22.87%	21.46%	23.46%	20.79%	15.23%	18.99%	25.00%	16.16%	16.99%	17.11%	23.41%	20.25%	39.54%	30.39%	28.10%	13.10%	17.31%	15.56%	16.92%	18.98%	19.62%	26.90%	34.48%	32.30%	32.30%	21.49%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	188	7	10	12	3	2	22	3	0	1	0	13	2	19	5	20	1	3	0	0	6	21	8	4	5	14	7					
		1.36%	1.36%	1.20%	2.73%	0.38%	0.82%	1.33%	1.09%	0.00%	0.65%	0.00%	1.33%	0.83%	2.30%	2.76%	1.70%	1.19%	2.88%	0.00%	0.00%	0.68%	1.82%	1.10%	1.25%	1.29%	1.40%	1.49%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6272	246	364	131	343	140	938	116	48	82	29	416	118	316	58	535	51	41	63	38	443	552	345	132	163	326	238					
		45.47%	47.67%	43.65%	29.84%	43.75%	57.61%	56.92%	42.03%	48.48%	53.59%	38.16%	42.71%	48.76%	38.21%	32.04%	45.42%	60.71%	39.42%	46.67%	58.46%	50.06%	47.92%	47.59%	41.38%	42.12%	32.70%	50.64%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	40	1	3	2	4	2	2	0	1	0	1	6	2	3	1	3	0	0	0	0	2	2	0	1	3	1	0					
