Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Заполярного района																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41					
1	"Число избирателей, внесенных в списки избирателей"	17246	251	39	90	860	24	61	518	80	553	106	145	69	38	436	134	351	537	106	110	162	44	237	162	361	380	241	92	1173	560	181	36	514	530	550	400	275	373	3085	1719	770	893					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17970	251	45	97	747	25	64	410	74	432	115	128	69	40	401	109	322	477	101	104	207	53	226	140	317	324	217	92	872	568	163	37	405	461	448	392	239	376	4529	2228	892	773					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1758	0	0	0	23	0	0	0	0	0	0	0	0	0	19	7	0	0	0	0	0	0	16	0	0	0	0	0	106	29	0	0	0	11	14	0	0	0	952	109	311	161					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7679	177	30	69	414	24	47	317	69	288	78	64	37	25	251	91	161	267	49	69	99	39	101	81	164	187	100	40	401	399	74	24	220	157	259	221	149	218	950	738	186	345					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	261	14	0	0	12	0	3	4	0	4	3	0	0	0	9	0	7	22	0	3	5	0	0	4	6	8	0	0	22	4	13	0	55	2	10	10	5	0	6	29	1	0					
6	Число погашенных избирательных бюллетеней	8270	60	15	28	298	1	14	89	5	140	34	64	32	15	122	11	152	188	52	32	103	14	109	55	147	129	117	52	343	136	76	13	130	291	165	161	85	158	2621	1352	394	267					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2019	14	0	0	35	0	3	4	0	4	3	0	0	0	28	7	7	22	0	3	5	0	16	4	6	8	0	0	128	33	13	0	55	13	24	10	5	0	958	138	312	161					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7678	177	30	69	414	24	47	317	69	288	78	64	37	25	251	91	161	267	49	69	99	39	101	81	164	187	100	40	401	399	74	24	220	157	259	221	149	218	950	738	186	344					
9	Число недействительных избирательных бюллетеней	115	0	0	0	6	0	0	6	0	1	1	0	0	0	2	1	1	6	0	0	0	0	0	0	4	3	0	0	8	3	0	0	3	3	0	0	1	5	25	19	8	9					
10	Число действительных избирательных бюллетеней	9582	191	30	69	443	24	50	315	69	291	80	64	37	25	277	97	167	283	49	72	104	39	117	85	166	192	100	40	521	429	87	24	272	167	283	231	153	213	1883	857	490	496					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	250	5	2	3	10	2	3	10	2	10	5	5	3	2	10	5	10	10	5	5	5	3	5	5	5	5	5	3	10	10	5	2	10	10	10	5	5	10	10	10	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	52	0	0	3	5	0	0	5	0	0	0	2	0	0	8	0	1	3	0	2	0	0	0	0	0	1	0	0	0	5	0	0	0	0	6	0	0	6	0	4	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	210	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	116	7	45	29					
14	Число погашенных неиспользованных открепительных удостоверений	198	5	2	0	5	2	3	5	2	10	5	3	3	2	2	5	9	7	5	3	5	3	5	5	5	4	5	3	10	5	5	2	10	10	4	5	5	4	10	6	5	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	1.Политическая партия «Аграрная партия России»	370	3	0	2	13	0	1	14	7	8	6	1	1	0	4	3	42	19	3	1	2	1	5	0	13	9	10	2	43	7	9	0	11	5	10	2	3	3	44	28	11	24					
		3.82%	1.57%	0.00%	2.90%	2.90%	0.00%	2.00%	4.36%	10.14%	2.74%	7.41%	1.56%	2.70%	0.00%	1.43%	3.06%	25.00%	6.57%	6.12%	1.39%	1.92%	2.56%	4.27%	0.00%	7.65%	4.62%	10.00%	5.00%	8.13%	1.62%	10.34%	0.00%	4.00%	2.94%	3.53%	0.87%	1.95%	1.38%	2.31%	3.20%	2.21%	4.75%					
19	2.Всероссийская политическая партия «Гражданская Сила»	113	0	0	0	6	0	0	3	0	3	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	2	0	0	5	0	0	0	5	2	2	1	0	2	36	21	4	17					
		1.17%	0.00%	0.00%	0.00%	1.34%	0.00%	0.00%	0.93%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	1.39%	1.92%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	1.82%	1.18%	0.71%	0.43%	0.00%	0.92%	1.89%	2.40%	0.80%	3.37%					
20	3.Политическая партия «Демократическая партия России»	15	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	2	2	1	1	1					
		0.15%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	2.04%	0.00%	0.00%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%	0.38%	0.23%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.92%	0.10%	0.11%	0.20%	0.20%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	914	10	0	14	28	6	16	63	3	34	18	4	0	4	11	13	21	22	10	0	18	0	10	13	29	25	5	0	52	22	15	0	12	3	8	7	3	18	176	126	57	38					
