Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Иркутская городская № 1																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529					
1	"Число избирателей, внесенных в список"	106332	2269	2291	1625	1865	1992	1288	1957	2281	1523	2378	1995	1394	1685	2382	2080	2220	2250	2260	545	2346	2337	2134	2768	904	1959	2377	2233	2516	2169	1255	1807	1834	1593	1706	1466	2362	1838	2660	2650	2696	2827	3025	2668	2792	2744	394	2218	1224	1585	1653	1290	895	704	1053	910	460					
2	Число полученных избирательных бюллетеней	102450	2200	2200	1500	1800	1900	1300	1900	2200	1400	2300	1900	1300	1400	2300	2000	2100	2200	2200	500	2300	2300	2000	2700	850	1900	2300	2200	2500	2100	1200	1700	1800	1500	1600	1400	2300	1800	2600	2600	2700	2800	2800	2650	2800	2700	390	2200	1000	1500	1600	1200	860	650	1000	900	450					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	48941	1142	1271	821	1002	1024	764	1139	1224	828	1277	1128	677	663	1246	1099	1091	1225	1031	231	881	989	944	1422	360	763	1091	862	975	1009	542	684	920	697	770	644	1092	916	1153	1178	1329	1241	1221	1221	1230	1272	160	1040	341	613	674	468	322	174	350	337	173					
5	"Число избирательных бюллетеней, выданных вне помещения"	2502	60	31	69	27	48	41	24	13	23	32	23	31	193	74	80	30	21	13	28	24	30	121	34	21	29	31	38	49	44	52	64	13	60	29	28	36	15	16	34	20	192	154	27	47	13	9	40	167	44	34	15	24	26	37	16	8					
6	Число погашенных избирательных бюллетеней	51007	998	898	610	771	828	495	737	963	549	991	749	592	544	980	821	979	954	1156	241	1395	1281	935	1244	469	1108	1178	1300	1476	1047	606	952	867	743	801	728	1172	869	1431	1388	1351	1367	1425	1402	1523	1415	221	1120	492	843	892	717	514	450	613	547	269					
7	Число избирательных бюллетеней в переносных ящиках	2502	60	31	69	27	48	41	24	13	23	32	23	31	193	74	80	30	21	13	28	24	30	121	34	21	29	31	38	49	44	52	64	13	60	29	28	36	15	16	34	20	192	154	27	47	13	9	40	167	44	34	15	24	26	37	16	8					
8	Число бюллетеней в стационарных ящиках для голосования	48933	1142	1267	821	1002	1024	764	1139	1224	828	1277	1128	677	662	1246	1099	1091	1225	1031	231	881	989	944	1422	360	763	1091	862	975	1009	542	684	920	696	770	643	1092	916	1152	1178	1329	1241	1221	1221	1230	1272	160	1040	341	613	674	468	322	174	350	337	173					
9	Число недействительных избирательных бюллетеней	412	7	11	4	7	12	4	7	12	7	1	7	9	6	10	12	12	5	11	2	2	9	6	4	6	10	6	11	11	5	3	0	6	6	9	3	10	12	15	10	12	18	6	4	1	13	3	24	6	4	10	7	1	4	4	5	0					
10	Число действительных избирательных бюллетеней	51023	1195	1287	886	1022	1060	801	1156	1225	844	1308	1144	699	849	1310	1167	1109	1241	1033	257	903	1010	1059	1452	375	782	1116	889	1013	1048	591	748	927	750	790	668	1118	919	1153	1202	1337	1415	1369	1244	1276	1272	166	1056	502	653	698	476	345	196	383	348	181					
11	Число полученных открепительных  удостоверений	1570	30	30	20	30	30	25	30	30	20	30	30	20	20	30	30	35	30	30	10	30	30	30	40	30	30	30	30	30	30	20	30	30	20	30	20	40	30	40	40	40	40	40	40	40	30	10	30	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	813	7	16	12	19	11	22	15	25	14	17	19	7	11	12	14	29	16	10	0	15	17	11	27	2	17	20	14	15	14	12	11	17	15	15	13	28	17	17	17	26	28	23	21	25	22	2	15	3	12	13	8	7	1	4	10	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	657	13	11	5	16	12	4	21	7	9	4	11	7	7	8	7	8	13	8	7	9	37	19	23	12	13	21	4	20	10	5	11	14	19	9	15	5	7	17	18	16	25	57	9	11	9	8	10	3	7	4	3	4	8	10	4	3					
14	Число неиспользованных открепительных удостоверений	757	23	14	8	11	19	3	15	5	6	13	11	13	9	18	16	6	14	20	10	15	13	19	13	28	13	10	16	15	16	8	19	13	5	15	7	12	13	23	23	14	12	17	19	15	8	8	15	17	8	7	12	13	19	16	10	17					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																															
18	. Глазьев Сергей Юрьевич	5224	136	163	94	84	90	78	129	123	94	195	129	47	69	136	111	137	150	117	14	64	82	103	151	26	80	93	72	129	135	70	69	89	58	97	51	164	106	136	120	167	135	143	145	145	160	6	90	17	37	47	17	30	19	39	20	16					
		10.16%	11.31%	12.56%	10.56%	8.16%	8.40%	9.69%	11.09%	9.94%	11.05%	14.90%	11.21%	6.64%	8.07%	10.30%	9.41%	12.22%	12.04%	11.21%	5.41%	7.07%	8.05%	9.67%	10.37%	6.82%	10.10%	8.29%	8.00%	12.60%	12.82%	11.78%	9.22%	9.54%	7.67%	12.14%	7.60%	14.54%	11.39%	11.64%	9.90%	12.38%	9.42%	10.40%	11.62%	11.35%	12.45%	3.55%	8.33%	3.35%	5.63%	6.64%	3.52%	8.67%	9.50%	10.08%	5.67%	8.84%					
