Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Североуральская городская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2567	УИК №2568	УИК №2615	УИК №2616	УИК №2617	УИК №2618									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36519	1887	1925	2068	1743	1913	1729	1818	1734	1630	1473	1021	475	1446	1868	2051	1644	1479	257	184	1528	1909	209	217	1975	1613	723									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35050	1800	2000	2000	1700	1900	1700	1800	1700	1600	1400	900	400	1400	1800	2000	1600	1400	250	150	1500	1800	250	200	1700	1500	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15140	741	820	815	841	751	759	822	747	699	684	302	142	563	769	861	697	521	97	62	649	809	109	89	840	645	306									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	521	14	20	36	57	31	33	11	10	13	10	24	24	12	33	14	14	27	21	6	22	12	28	0	26	16	7									
6	Число погашенных избирательных бюллетеней	19389	1045	1160	1149	802	1118	908	967	943	888	706	574	234	825	998	1125	889	852	132	82	829	979	113	111	834	839	287									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	521	14	20	36	57	31	33	11	10	13	10	24	24	12	33	14	14	27	21	6	22	12	28	0	26	16	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15133	741	820	815	835	751	759	822	747	699	684	302	142	563	769	861	697	521	97	62	648	809	109	89	840	645	306									
9	Число недействительных избирательных бюллетеней	578	28	30	35	38	22	27	40	15	16	22	15	4	27	25	43	18	21	8	4	19	16	23	1	33	30	18									
10	Число действительных избирательных бюллетеней	15076	727	810	816	854	760	765	793	742	696	672	311	162	548	777	832	693	527	110	64	651	805	114	88	833	631	295									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	930	50	50	50	40	50	40	40	40	40	40	30	10	40	50	50	40	40	10	10	40	50	10	10	40	40	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	269	18	14	7	18	7	15	17	14	12	18	11	6	2	9	7	13	6	0	4	18	23	0	3	19	4	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	176	12	3	11	15	2	11	10	8	3	7	4	4	6	5	6	4	2	4	4	6	15	14	4	7	3	6									
