Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
"Наименование Избирательной комиссии:    Хабаровск, Краснофлотская"																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189					
1	"Число избирателей, внесенных в списки избирателей"	67363	835	1777	1914	2015	2240	1686	1103	2454	2036	2661	2538	2824	1037	2893	2891	2485	2761	2097	2640	338	1248	1636	2221	2783	2582	2554	2403	1952	2943	2874	2762	180					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	62600	700	1700	1700	1700	2000	1500	1000	2400	2000	2500	2300	2800	900	2800	2600	2400	2600	2000	2500	500	1100	1500	2000	2500	2500	2500	2200	1500	2800	2500	2500	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	38470	407	1625	1250	1363	1275	1062	642	1440	1092	1433	1497	1525	491	1572	1511	1488	1642	1271	1550	115	641	831	1209	1651	1117	1507	1297	1059	1649	1641	1447	170					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2016	58	1	63	149	59	33	21	39	56	53	47	55	93	51	75	16	32	46	34	214	47	51	72	45	156	47	120	98	39	50	86	10					
6	Число погашенных избирательных бюллетеней	22114	235	74	387	188	666	405	337	921	852	1014	756	1220	316	1177	1014	896	926	683	916	171	412	618	719	804	1227	946	783	343	1112	809	967	220					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2016	58	1	63	149	59	33	21	39	56	53	47	55	93	51	75	16	32	46	34	214	47	51	72	45	156	47	120	98	39	50	86	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38460	407	1625	1250	1363	1275	1062	642	1439	1092	1432	1497	1523	488	1572	1511	1488	1642	1271	1547	115	641	831	1209	1651	1117	1507	1297	1059	1649	1641	1447	170					
9	Число недействительных избирательных бюллетеней	450	5	32	19	19	11	21	5	10	7	15	13	18	3	26	21	13	11	20	24	4	4	8	20	8	14	11	13	13	15	26	19	2					
10	Число действительных избирательных бюллетеней	40026	460	1594	1294	1493	1323	1074	658	1468	1141	1470	1531	1560	578	1597	1565	1491	1663	1297	1557	325	684	874	1261	1688	1259	1543	1404	1144	1673	1665	1514	178					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	966	20	115	60	87	30	33	35	23	17	23	30	30	25	37	35	25	22	23	18	0	20	20	23	32	20	23	22	30	25	40	23	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	950	20	115	60	86	30	33	35	20	17	23	30	29	21	37	34	25	22	20	18	0	20	20	22	31	20	23	22	29	25	40	23	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	642	8	41	22	32	24	16	8	12	18	23	12	24	14	23	23	19	22	21	13	25	9	13	23	15	16	11	8	44	8	33	24	38					
14	Число погашенных неиспользованных открепительных удостоверений	16	0	0	0	1	0	0	0	3	0	0	0	1	4	0	1	0	0	3	0	0	0	0	1	1	0	0	0	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	0	0	0	0	0	0	0	0	3	1	3	0	1	3	0	0	1	0	1	4	1	4	4	2	4	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	1.Политическая партия «Аграрная партия России»	683	4	17	16	27	23	21	14	36	29	30	29	26	4	24	34	26	25	25	30	7	8	18	17	30	28	24	24	18	22	29	15	3					
		1.69%	0.86%	1.05%	1.22%	1.79%	1.72%	1.92%	2.11%	2.44%	2.53%	2.02%	1.88%	1.65%	0.69%	1.48%	2.14%	1.73%	1.49%	1.90%	1.90%	2.13%	1.16%	2.04%	1.33%	1.77%	2.20%	1.54%	1.69%	1.56%	1.30%	1.71%	0.98%	1.67%					
19	2.Всероссийская политическая партия «Гражданская Сила»	621	3	23	22	57	18	14	8	27	18	31	29	29	4	25	23	27	33	25	22	4	4	15	17	30	11	13	21	11	20	7	29	1					
		1.53%	0.65%	1.41%	1.68%	3.77%	1.35%	1.28%	1.21%	1.83%	1.57%	2.09%	1.88%	1.84%	0.69%	1.54%	1.45%	1.80%	1.97%	1.90%	1.39%	1.22%	0.58%	1.70%	1.33%	1.77%	0.86%	0.84%	1.48%	0.95%	1.18%	0.41%	1.89%	0.56%					
20	3.Политическая партия «Демократическая партия России»	86	1	6	7	4	3	4	2	2	2	5	2	3	1	4	1	4	5	3	4	0	0	2	3	7	0	1	2	2	1	1	4	0					
		0.21%	0.22%	0.37%	0.53%	0.26%	0.22%	0.37%	0.30%	0.14%	0.17%	0.34%	0.13%	0.19%	0.17%	0.25%	0.06%	0.27%	0.30%	0.23%	0.25%	0.00%	0.00%	0.23%	0.23%	0.41%	0.00%	0.06%	0.14%	0.17%	0.06%	0.06%	0.26%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3855	37	75	147	164	161	122	74	144	122	133	180	153	37	166	124	171	157	139	154	64	46	86	127	169	88	149	117	81	160	152	135	21					
		9.52%	7.96%	4.61%	11.20%	10.85%	12.07%	11.14%	11.16%	9.74%	10.63%	8.96%	11.66%	9.70%	6.37%	10.23%	7.82%	11.37%	9.38%	10.55%	9.74%	19.45%	6.69%	9.75%	9.91%	9.96%	6.91%	9.59%	8.26%	7.00%	9.48%	8.99%	8.81%	11.67%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	400	7	9	16	31	9	9	5	6	21	27	17	21	3	25	16	20	14	17	18	4	4	11	7	13	5	10	10	15	9	13	8	0					
		0.99%	1.51%	0.55%	1.22%	2.05%	0.67%	0.82%	0.75%	0.41%	1.83%	1.82%	1.10%	1.33%	0.52%	1.54%	1.01%	1.33%	0.84%	1.29%	1.14%	1.22%	0.58%	1.25%	0.55%	0.77%	0.39%	0.64%	0.71%	1.30%	0.53%	0.77%	0.52%	0.00%					
