Выборы Президента Российской Федерации																																																				
																																																				
"Наименование Избирательной комиссии:    Кемерово, Ленинская"																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298					
1	"Число избирателей, внесенных в список"	100042	2173	2747	2510	2357	2184	2126	2821	2895	2284	2743	2797	2329	2266	2293	1833	2599	2419	2624	2240	2175	1899	2285	2193	2357	2287	2153	2223	2284	2548	1881	2310	2154	2100	1262	2170	1501	2306	1892	1178	950	2311	2817	2659	2143	1764					
2	Число полученных избирательных бюллетеней	100000	2200	2700	2500	2200	2200	2200	2900	2900	2300	2700	2800	2200	2200	2200	1800	2500	2400	2600	2200	2200	2000	2300	2200	2300	2300	2100	2100	2200	2600	2000	2500	2200	2200	1100	2300	1400	2300	1800	1500	850	2550	2700	2600	2200	1800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	63920	1479	1496	1368	1381	1444	1616	1419	2058	1335	1555	1854	1650	1853	1538	937	1439	1308	1414	1232	1441	1057	1363	1180	1834	1655	1789	1285	1548	1704	1399	1812	1522	1563	838	1480	1084	1271	1428	797	691	1575	1463	1766	1070	929					
5	"Число избирательных бюллетеней, выданных вне помещения"	3298	49	65	33	55	26	93	82	70	64	61	62	41	31	40	25	33	31	33	48	65	43	86	120	38	57	142	502	148	170	75	151	44	54	34	49	50	33	22	166	58	37	67	37	60	48					
6	Число погашенных избирательных бюллетеней	32780	672	1139	1099	764	730	489	1399	772	901	1084	884	509	316	622	838	1028	1061	1153	920	694	900	851	900	428	588	169	313	504	726	526	537	634	583	228	771	266	996	350	537	101	938	1170	797	1070	823					
7	Число избирательных бюллетеней в переносных ящиках	3298	49	65	33	55	26	93	82	70	64	61	62	41	31	40	25	33	31	33	48	65	43	86	120	38	57	142	502	148	170	75	151	44	54	34	49	50	33	22	166	58	37	67	37	60	48					
8	Число бюллетеней в стационарных ящиках для голосования	63759	1479	1496	1368	1372	1444	1616	1415	2058	1335	1552	1792	1650	1853	1534	936	1423	1308	1414	1232	1441	1057	1363	1180	1834	1655	1789	1285	1548	1704	1399	1812	1522	1513	838	1480	1084	1271	1428	796	691	1572	1461	1760	1070	929					
9	Число недействительных избирательных бюллетеней	336	5	9	9	0	0	10	12	15	8	9	6	16	9	0	5	6	12	6	9	1	2	9	5	11	0	0	16	11	8	3	17	3	4	8	4	7	9	9	13	8	6	5	12	9	10					
10	Число действительных избирательных бюллетеней	66721	1523	1552	1392	1427	1470	1699	1485	2113	1391	1604	1848	1675	1875	1574	956	1450	1327	1441	1271	1505	1098	1440	1295	1861	1712	1931	1771	1685	1866	1471	1946	1563	1563	864	1525	1127	1295	1441	949	741	1603	1523	1785	1121	967					
11	Число полученных открепительных  удостоверений	2770	60	50	40	50	50	210	60	80	50	80	57	52	30	70	40	39	31	30	50	50	40	65	100	30	40	40	40	60	60	60	80	50	50	70	100	80	50	50	111	50	150	50	55	50	60					
12	Число выданных открепительных удостоверений	2531	52	36	38	50	50	208	50	80	50	75	57	52	28	37	37	39	31	30	50	50	40	56	87	30	40	40	32	56	42	60	80	43	36	70	100	80	50	50	111	50	92	40	55	47	44					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1114	25	8	12	40	36	238	5	4	29	16	16	13	14	25	18	12	31	14	13	27	11	21	5	20	13	8	13	24	17	46	33	8	13	26	17	28	13	24	31	33	18	34	39	8	15					
14	Число неиспользованных открепительных удостоверений	239	8	14	2	0	0	2	10	0	0	5	0	0	2	33	3	0	0	0	0	0	0	9	13	0	0	0	8	4	18	0	0	7	14	0	0	0	0	0	0	0	58	10	0	3	16					
