Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Мостовская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51423	1797	1803	1531	2317	1551	1560	1667	1576	1825	1139	1582	770	1767	827	832	1326	1010	1319	1208	492	1880	728	2286	2286	487	299	1321	973	354	1031	2317	485	1276	824	153	188	1428	1278	842	1039	1515	534									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51665	1800	1820	1540	2340	1560	1565	1665	1590	1795	1145	1590	770	1770	825	830	1325	1010	1315	1210	495	1885	740	2325	2310	485	290	1335	980	355	1040	2325	480	1295	840	150	185	1440	1290	845	1045	1535	530									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19729	486	600	397	757	474	463	409	356	524	285	554	179	952	493	419	722	574	547	632	215	948	357	1024	1143	172	106	502	308	145	477	917	146	463	400	77	81	322	626	171	463	637	206									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3334	91	61	32	22	27	57	89	58	103	118	102	124	72	56	61	68	32	127	75	61	111	28	163	108	86	21	99	184	24	72	120	103	68	41	17	26	144	97	131	76	84	95									
6	Число погашенных избирательных бюллетеней	28596	1223	1159	1111	1561	1059	1045	1167	1176	1168	742	934	467	746	276	350	535	404	641	503	213	826	355	1138	1059	227	163	734	488	186	491	1288	231	764	399	56	78	974	567	543	506	814	229									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3340	91	61	32	22	27	57	89	58	103	118	102	124	72	56	61	68	32	127	75	67	111	28	163	108	86	21	99	184	24	72	120	103	68	41	17	26	144	97	131	76	84	95									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19667	486	600	397	757	474	463	409	356	518	285	554	179	947	493	419	722	574	547	632	210	948	357	1007	1143	172	106	502	308	145	477	917	146	463	400	77	81	322	597	171	463	637	206									
9	Число недействительных избирательных бюллетеней	396	6	12	6	16	12	9	0	5	17	3	15	3	35	9	3	20	3	12	6	7	10	12	14	17	7	2	9	17	1	8	24	2	11	12	0	0	7	14	4	11	13	2									
10	Число действительных избирательных бюллетеней	22611	571	649	423	763	489	511	498	409	604	400	641	300	984	540	477	770	603	662	701	270	1049	373	1156	1234	251	125	592	475	168	541	1013	247	520	429	94	107	459	680	298	528	708	299									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	456	15	15	15	20	10	15	10	8	12	15	15	5	15	8	10	8	5	8	8	5	10	20	30	10	5	3	15	5	5	10	20	5	10	10	5	5	12	12	5	12	20	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	382	15	15	8	20	9	6	7	8	12	11	15	5	15	7	0	2	5	8	8	5	10	13	30	10	1	0	13	5	5	10	15	5	10	5	3	2	12	12	5	12	20	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	196	2	6	7	13	5	4	3	5	11	3	14	2	5	7	2	6	2	4	1	4	4	3	6	9	1	4	1	2	0	4	11	4	2	1	5	3	6	9	2	6	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	74	0	0	7	0	1	9	3	0	0	4	0	0	0	1	10	6	0	0	0	0	0	7	0	0	4	3	2	0	0	0	5	0	0	5	2	3	0	0	0	0	0	2									
