Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
"Наименование Избирательной комиссии:    Владикавказ, Правобережная"																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260					
1	"Число избирателей, внесенных в списки"	92171	1399	1413	72	2480	744	2355	1343	1804	1128	1319	1036	243	1076	1920	530	2181	854	34	2179	1515	1813	2800	1957	2374	2514	1075	2055	792	764	1867	806	96	123	995	1148	83	1152	2040	1320	163	203	91	3272	1562	1328	1293	2658	1564	1885	2438	788	1235	1109	1769	1510	1861	294	1448	3211	2728	2634	2675	2666	387					
2	"Число бюллетеней, полученных участковыми комиссиями"	83056	1200	1196	80	2098	647	2000	1189	1700	1800	1202	1000	399	2000	1600	450	1860	800	50	2072	1300	1500	2490	1600	2100	2199	1000	2100	629	600	1697	700	100	125	900	1000	100	899	1801	1100	200	200	100	2800	1410	1199	1100	2406	1400	1692	2112	700	1099	1000	1500	1300	1599	350	1400	2701	2315	2200	2190	2400	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	861	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	43953	768	636	69	1176	296	799	620	865	876	501	514	195	1061	918	317	1389	424	34	1157	688	621	1400	863	1089	967	469	1592	374	396	913	354	96	119	540	495	83	525	815	538	163	191	91	2048	989	614	586	1153	665	835	1147	315	552	552	697	691	813	294	685	1198	952	924	949	1049	248					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1440	21	20	0	15	13	37	24	44	31	21	14	0	15	19	14	24	26	0	43	26	12	5	3	27	22	36	95	32	19	62	12	0	0	15	39	0	22	43	17	0	0	0	26	37	29	12	34	43	48	52	11	18	11	33	23	25	0	5	34	40	37	49	2	3					
6	Число погашенных бюллетеней	36793	411	540	11	907	338	1164	545	791	672	680	472	204	924	663	119	447	350	16	872	586	867	1085	734	984	1210	495	413	223	185	722	334	4	6	345	466	17	352	943	545	37	9	9	726	384	556	502	1219	692	809	913	365	529	437	770	586	761	56	710	1469	1323	1239	1192	709	149					
7	Число бюллетеней в переносных ящиках для голосования	1658	21	20	0	15	13	37	21	44	252	21	14	0	15	19	14	24	26	0	43	26	12	5	3	27	22	36	95	32	19	62	12	0	0	15	39	0	22	43	17	0	0	0	26	37	29	12	34	43	48	52	11	18	11	33	23	25	0	5	34	40	37	49	2	3					
8	Число бюллетеней в стационарных ящиках для голосования	44510	768	635	69	1176	296	799	623	865	876	501	514	195	1061	922	317	1389	423	34	1156	640	621	1400	863	1062	967	469	1592	374	396	913	354	96	119	540	495	83	525	813	538	163	191	91	2048	989	614	586	1153	665	835	1147	306	552	550	697	691	813	294	685	1198	952	924	949	1690	248					
9	Число недействительных бюллетеней	759	0	17	6	23	11	2	9	27	21	11	15	1	27	21	8	9	9	0	24	2	12	21	4	0	0	10	0	3	13	7	9	6	3	11	18	2	26	12	8	4	9	5	4	46	20	14	19	35	7	37	8	11	7	7	18	18	14	23	0	0	4	38	1	2					
10	Число действительных бюллетеней	45409	789	638	63	1168	298	834	635	882	1107	511	513	194	1049	920	323	1404	440	34	1175	664	621	1384	862	1089	989	495	1687	403	402	968	357	90	116	544	516	81	521	844	547	159	182	86	2070	980	623	584	1168	673	876	1162	309	559	554	723	696	820	280	667	1232	992	957	960	1691	249					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2410	20	20	0	30	10	50	40	40	50	25	20	0	70	40	10	20	20	0	150	70	40	30	20	40	55	70	100	20	40	70	20	0	0	36	50	0	26	50	40	0	0	0	135	30	30	70	80	30	39	50	20	20	20	40	50	70	0	30	70	100	50	50	12	22					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1571	12	19	0	26	9	32	40	31	30	25	17	0	38	31	4	20	20	0	51	36	23	20	9	36	39	29	43	16	15	33	15	0	0	25	33	0	20	47	33	0	0	0	130	30	24	30	54	29	34	50	11	16	20	32	37	35	0	16	38	53	41	6	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1818	3	12	4	34	8	16	129	8	7	4	4	13	26	12	14	19	4	0	53	18	58	5	2	64	30	8	84	45	60	25	6	5	30	50	26	2	51	3	7	43	4	0	15	284	40	7	12	39	14	11	22	41	29	38	44	20	3	13	93	56	17	17	2	5					
14	Число погашенных открепительных удостоверений	839	8	1	0	4	1	18	0	9	20	0	3	0	32	9	6	0	0	0	99	34	17	10	11	4	16	41	57	4	25	37	5	0	0	11	17	0	6	3	7	0	0	0	5	0	6	40	26	1	5	0	9	4	0	8	13	35	0	14	32	47	9	44	5	21					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
