Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Ярковская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16076	489	490	406	507	330	393	1118	263	252	568	346	335	514	397	328	440	357	1014	315	338	160	645	209	1988	1719	2155									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16237	491	492	408	510	332	395	1124	264	253	573	347	335	516	398	330	442	361	1020	319	357	162	649	210	2001	1777	2171									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13208	425	459	369	476	309	374	725	232	217	518	295	298	412	341	204	273	259	909	299	324	159	590	183	1644	1472	1442									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1252	30	18	22	12	12	4	159	13	18	12	27	20	97	44	25	34	38	57	0	14	0	41	7	56	53	439									
6	Число погашенных избирательных бюллетеней	1777	36	15	17	22	11	17	240	19	18	43	25	17	7	13	101	135	64	54	20	19	3	18	20	301	252	290									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1252	30	18	22	12	12	4	159	13	18	12	27	20	97	44	25	34	38	57	0	14	0	41	7	56	53	439									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13208	425	459	369	476	309	374	725	232	217	518	295	298	412	341	204	273	259	909	299	324	159	590	183	1644	1472	1442									
9	Число недействительных избирательных бюллетеней	43	1	2	2	2	1	1	0	1	1	0	1	0	0	1	3	12	1	3	1	1	1	2	0	2	2	2									
10	Число действительных избирательных бюллетеней	14417	454	475	389	486	320	377	884	244	234	530	321	318	509	384	226	295	296	963	298	337	158	629	190	1698	1523	1879									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	850	25	20	40	35	20	20	70	15	15	15	15	15	15	25	15	25	15	75	10	25	10	20	10	100	100	100									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	88	0	0	0	0	10	0	11	15	1	3	1	0	0	6	0	5	1	2	0	6	0	1	1	9	8	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	5	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	762	25	20	40	35	10	20	59	0	14	12	14	15	15	19	15	20	14	73	10	19	10	19	9	91	92	92									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	6	12	9									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	1	1	0	0	1	0	1	0	0	1	0	0	0	0	3	4	5	0	2	1	1	1	1	1	1	1									
		0.18%	0.22%	0.21%	0.00%	0.00%	0.31%	0.00%	0.11%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	1.31%	1.30%	1.68%	0.00%	0.67%	0.30%	0.63%	0.16%	0.53%	0.06%	0.07%	0.05%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	74	0	0	2	1	1	1	4	0	4	0	1	5	1	1	11	7	23	0	1	0	1	1	6	1	1	1									
