Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Терновская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722	УИК №3723	УИК №3724	УИК №3725	УИК №3726	УИК №3727	УИК №3728	УИК №3729	УИК №3730					
1	"Число избирателей, внесенных в список"	19923	657	707	390	228	1192	1500	166	421	266	149	1264	933	1207	212	1073	669	289	372	126	711	280	877	380	455	307	2284	1615	969	87	137					
2	Число полученных избирательных бюллетеней	19695	650	710	390	220	1170	1500	155	420	270	145	1240	930	1190	210	1040	670	270	360	125	700	270	870	380	460	340	2250	1580	960	85	135					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11300	504	341	340	91	701	888	144	286	167	126	469	488	671	135	721	393	202	282	99	546	194	465	203	255	209	1092	709	431	61	87					
5	"Число избирательных бюллетеней, выданных вне помещения"	2611	92	166	14	96	96	185	6	66	49	12	249	133	134	51	183	136	63	54	21	88	39	126	76	98	98	70	94	73	15	28					
6	Число погашенных избирательных бюллетеней	5784	54	203	36	33	373	427	5	68	54	7	522	309	385	24	136	141	5	24	5	66	37	279	101	107	33	1088	777	456	9	20					
7	Число избирательных бюллетеней в переносных ящиках	2610	92	166	14	96	96	185	6	66	49	12	249	133	134	51	183	136	63	54	21	88	39	126	76	98	98	69	94	73	15	28					
8	Число бюллетеней в стационарных ящиках для голосования	11300	504	341	340	91	701	888	144	286	167	126	469	488	671	135	721	393	202	282	99	546	194	465	203	255	209	1092	709	431	61	87					
9	Число недействительных избирательных бюллетеней	106	4	4	4	1	15	2	1	0	1	0	15	3	8	0	1	2	2	1	0	2	5	5	1	4	3	13	4	3	2	0					
10	Число действительных избирательных бюллетеней	13804	592	503	350	186	782	1071	149	352	215	138	703	618	797	186	903	527	263	335	120	632	228	586	278	349	304	1148	799	501	74	115					
11	Число полученных открепительных  удостоверений	111	3	4	2	2	10	5	1	2	2	1	5	4	5	1	5	4	1	1	1	4	1	5	4	4	8	10	8	5	1	2					
12	Число выданных открепительных удостоверений	23	0	0	2	0	2	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	4	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	0	0	0	0	0	3	0	1	3	2	4	0	4	0	7	0	0	2	0	0	1	1	0	2	0	7	2	0	2	0					
14	Число неиспользованных открепительных удостоверений	88	3	4	0	2	8	4	1	1	1	1	5	4	5	1	4	4	1	1	1	4	1	5	4	3	1	6	8	2	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	221	11	6	8	5	13	21	1	15	0	1	12	29	11	2	5	6	5	4	1	12	1	7	2	2	3	17	17	3	0	1					
		1.59%	1.85%	1.18%	2.26%	2.67%	1.63%	1.96%	0.67%	4.26%	0.00%	0.72%	1.67%	4.67%	1.37%	1.08%	0.55%	1.13%	1.89%	1.19%	0.83%	1.89%	0.43%	1.18%	0.72%	0.57%	0.98%	1.46%	2.12%	0.60%	0.00%	0.87%					
19	. Малышкин Олег Александрович	240	18	8	25	2	12	12	0	3	9	0	10	25	9	1	7	3	4	12	5	5	5	9	4	6	7	19	16	3	1	0					
		1.73%	3.02%	1.58%	7.06%	1.07%	1.51%	1.12%	0.00%	0.85%	4.17%	0.00%	1.39%	4.03%	1.12%	0.54%	0.77%	0.57%	1.51%	3.57%	4.17%	0.79%	2.15%	1.52%	1.43%	1.70%	2.28%	1.64%	1.99%	0.60%	1.32%	0.00%					
20	. Миронов Сергей Михайлович	69	3	1	5	1	3	8	0	2	1	0	4	4	3	1	1	2	3	3	0	0	2	1	2	4	1	6	5	3	0	0					
		0.50%	0.50%	0.20%	1.41%	0.53%	0.38%	0.75%	0.00%	0.57%	0.46%	0.00%	0.56%	0.64%	0.37%	0.54%	0.11%	0.38%	1.13%	0.89%	0.00%	0.00%	0.86%	0.17%	0.72%	1.13%	0.33%	0.52%	0.62%	0.60%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10633	424	406	239	154	566	868	121	300	166	127	523	423	652	154	685	423	161	241	92	532	190	507	235	277	255	825	589	349	64	85					
		76.44%	71.14%	80.08%	67.51%	82.35%	71.02%	80.89%	80.67%	85.23%	76.85%	92.03%	72.84%	68.12%	80.99%	82.80%	75.77%	79.96%	60.75%	71.73%	76.67%	83.91%	81.55%	85.79%	84.23%	78.47%	83.06%	71.06%	73.35%	69.25%	84.21%	73.91%					
22	. Хакамада Ирина Муцуовна	130	8	3	1	1	7	15	2	1	1	0	4	3	9	0	8	7	2	4	1	1	1	3	1	6	1	16	16	6	1	1					
		0.93%	1.34%	0.59%	0.28%	0.53%	0.88%	1.40%	1.33%	0.28%	0.46%	0.00%	0.56%	0.48%	1.12%	0.00%	0.88%	1.32%	0.75%	1.19%	0.83%	0.16%	0.43%	0.51%	0.36%	1.70%	0.33%	1.38%	1.99%	1.19%	1.32%	0.87%					
23	. Харитонов Николай Михайлович	2362	126	75	65	21	174	140	24	28	36	10	148	128	108	26	189	84	78	68	21	80	27	57	33	48	32	238	138	128	6	26					
		16.98%	21.14%	14.79%	18.36%	11.23%	21.83%	13.05%	16.00%	7.95%	16.67%	7.25%	20.61%	20.61%	13.42%	13.98%	20.91%	15.88%	29.43%	20.24%	17.50%	12.62%	11.59%	9.64%	11.83%	13.60%	10.42%	20.50%	17.19%	25.40%	7.89%	22.61%					
																																					
24	Против всех	149	2	4	7	2	7	7	1	3	2	0	2	6	5	2	8	2	10	3	0	2	2	2	1	6	5	27	18	9	2	2					
		1.07%	0.34%	0.79%	1.98%	1.07%	0.88%	0.65%	0.67%	0.85%	0.93%	0.00%	0.28%	0.97%	0.62%	1.08%	0.88%	0.38%	3.77%	0.89%	0.00%	0.32%	0.86%	0.34%	0.36%	1.70%	1.63%	2.33%	2.24%	1.79%	2.63%	1.74%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
