Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Молоковская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708					
1	"Число избирателей, внесенных в список"	5428	1060	1067	190	275	138	143	253	308	240	321	252	186	348	207	172	268					
2	Число полученных избирательных бюллетеней	5308	1000	1000	188	280	136	151	253	294	238	331	250	182	359	207	170	269					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2623	610	566	115	121	58	62	113	147	120	80	119	98	108	60	85	161					
5	"Число избирательных бюллетеней, выданных вне помещения"	1327	69	95	48	99	56	32	94	115	66	143	75	36	207	74	44	74					
6	Число погашенных избирательных бюллетеней	1358	321	339	25	60	22	57	46	32	52	108	56	48	44	73	41	34					
7	Число избирательных бюллетеней в переносных ящиках	1327	69	95	48	99	56	32	94	115	66	143	75	36	207	74	44	74					
8	Число бюллетеней в стационарных ящиках для голосования	2623	610	566	115	121	58	62	113	147	120	80	119	98	108	60	85	161					
9	Число недействительных избирательных бюллетеней	11	1	4	2	0	0	0	1	0	3	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	3939	678	657	161	220	114	94	206	262	183	223	194	134	315	134	129	235					
11	Число полученных открепительных  удостоверений	220	30	30	10	10	10	25	15	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	101	15	17	3	5	2	17	11	2	0	4	7	2	10	0	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	6	4	3	0	3	1	2	4	3	1	1	1	3	2	1	1					
14	Число неиспользованных открепительных удостоверений	119	15	13	7	5	8	8	4	8	10	6	3	8	0	10	4	10					
15	"Число открепительных удостоверений, выданных в ТИК"	9	5	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	64	14	12	0	3	1	2	3	5	1	3	6	1	10	1	2	0					
		1.62%	2.06%	1.82%	0.00%	1.36%	0.88%	2.13%	1.45%	1.91%	0.54%	1.35%	3.09%	0.75%	3.17%	0.75%	1.55%	0.00%					
19	. Малышкин Олег Александрович	72	12	5	5	6	5	5	5	9	4	2	2	3	3	5	1	0					
		1.82%	1.77%	0.76%	3.07%	2.73%	4.39%	5.32%	2.42%	3.44%	2.15%	0.90%	1.03%	2.24%	0.95%	3.73%	0.78%	0.00%					
20	. Миронов Сергей Михайлович	25	8	3	0	3	2	0	0	2	0	1	1	0	1	0	0	4					
		0.63%	1.18%	0.45%	0.00%	1.36%	1.75%	0.00%	0.00%	0.76%	0.00%	0.45%	0.52%	0.00%	0.32%	0.00%	0.00%	1.70%					
21	. Путин Владимир Владимирович	2898	465	504	132	176	73	68	168	183	149	150	152	90	232	90	92	174					
		73.37%	68.48%	76.25%	80.98%	80.00%	64.04%	72.34%	81.16%	69.85%	80.11%	67.26%	78.35%	67.16%	73.65%	67.16%	71.32%	74.04%					
22	. Хакамада Ирина Муцуовна	65	11	17	4	2	1	1	1	4	1	6	5	1	5	4	1	1					
		1.65%	1.62%	2.57%	2.45%	0.91%	0.88%	1.06%	0.48%	1.53%	0.54%	2.69%	2.58%	0.75%	1.59%	2.99%	0.78%	0.43%					
23	. Харитонов Николай Михайлович	742	145	103	20	28	31	18	28	50	23	59	27	37	59	32	33	49					
		18.78%	21.35%	15.58%	12.27%	12.73%	27.19%	19.15%	13.53%	19.08%	12.37%	26.46%	13.92%	27.61%	18.73%	23.88%	25.58%	20.85%					
																							
24	Против всех	73	23	13	0	2	1	0	1	9	5	2	1	2	5	2	0	7					
		1.85%	3.39%	1.97%	0.00%	0.91%	0.88%	0.00%	0.48%	3.44%	2.69%	0.90%	0.52%	1.49%	1.59%	1.49%	0.00%	2.98%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
