Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Сысольская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633					
1	"Число избирателей, внесенных в списки избирателей"	12529	491	207	558	223	929	367	479	1186	1677	1021	312	1254	43	605	349	441	281	344	290	584	172	357	160	199					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12762	511	220	620	247	968	389	477	1068	1605	1022	332	1312	46	657	371	437	297	332	278	606	205	389	174	199					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7989	265	114	423	133	551	238	292	799	1164	636	225	814	30	327	185	263	159	238	184	348	96	240	125	140					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	873	42	6	22	9	34	32	41	124	69	85	15	47	3	89	46	28	21	38	32	23	11	18	9	29					
6	Число погашенных избирательных бюллетеней	3900	204	100	175	105	383	119	144	145	372	301	92	451	13	241	140	146	117	56	62	235	98	131	40	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	873	42	6	22	9	34	32	41	124	69	85	15	47	3	89	46	28	21	38	32	23	11	18	9	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7989	265	114	423	133	551	238	292	799	1164	636	225	814	30	327	185	263	159	238	184	348	96	240	125	140					
9	Число недействительных избирательных бюллетеней	72	2	1	5	1	5	6	2	5	13	7	1	7	0	0	1	2	4	2	1	5	1	1	0	0					
10	Число действительных избирательных бюллетеней	8790	305	119	440	141	580	264	331	918	1220	714	239	854	33	416	230	289	176	274	215	366	106	257	134	169					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	330	8	6	20	10	5	9	7	19	72	18	15	26	5	15	10	10	10	15	5	13	12	15	0	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	310	8	6	17	10	5	9	7	15	72	12	11	23	5	15	10	10	10	15	5	13	12	15	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	241	4	3	11	1	24	4	13	60	28	9	5	14	4	10	4	12	9	8	7	3	2	0	1	5					
14	Число погашенных неиспользованных открепительных удостоверений	20	0	0	3	0	0	0	0	4	0	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	135	1	0	29	0	1	10	1	9	24	6	0	10	0	20	0	0	0	2	0	0	15	0	7	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	1.Политическая партия «Аграрная партия России»	385	22	3	29	13	11	7	16	39	48	29	13	39	0	23	15	9	1	16	13	9	1	15	6	8					
		4.34%	7.17%	2.50%	6.52%	9.15%	1.88%	2.59%	4.80%	4.23%	3.89%	4.02%	5.42%	4.53%	0.00%	5.53%	6.49%	3.09%	0.56%	5.80%	6.02%	2.43%	0.93%	5.81%	4.48%	4.73%					
19	2.Всероссийская политическая партия «Гражданская Сила»	61	1	1	0	0	3	4	0	11	6	4	1	11	1	0	1	2	1	1	0	10	2	0	1	0					
