Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Шпаковская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245					
1	"Число избирателей, внесенных в списки избирателей"	75016	2052	1969	2007	1838	2064	1870	2052	1850	2131	2094	2046	1812	1687	2033	1888	1977	1948	1824	1946	2392	1982	225	1858	1523	421	331	1526	374	1188	101	243	1655	241	368	1457	1246	2504	1871	2010	1573	1530	1868	326	2734	1708	387	543	404	1767	103	1151	318					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	67030	1600	1800	1800	1600	1900	1700	1800	1700	1900	1800	1800	1700	1500	1900	1700	1800	1700	1600	1700	2100	1700	210	1600	1200	390	300	1300	340	1000	90	290	1500	240	330	1200	1800	2200	1700	1800	1400	1300	1600	310	2400	1500	360	480	380	1600	100	1000	310					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	44224	1490	1006	977	1077	1338	1023	1082	1012	958	1051	1059	1166	770	1392	915	1175	1120	1136	1120	1195	1006	167	1407	931	233	230	1055	281	763	86	220	1071	159	150	805	900	1447	962	1559	1183	1102	1284	229	1395	848	255	278	305	925	76	680	170					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3904	62	40	69	48	175	66	29	20	72	44	48	100	59	92	60	86	100	72	86	245	100	0	61	74	58	31	79	25	64	4	23	47	31	66	105	346	114	76	81	100	97	163	33	191	71	23	90	14	81	12	49	22					
6	Число погашенных избирательных бюллетеней	18902	48	754	754	475	387	611	689	668	870	705	693	434	671	416	725	539	480	392	494	660	594	43	132	195	99	39	166	34	173	0	47	382	50	114	290	554	639	662	160	117	101	153	48	814	581	82	112	61	594	12	271	118					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3904	62	40	69	48	175	66	29	20	72	44	48	100	59	92	60	86	100	72	86	245	100	0	61	74	58	31	79	25	64	4	23	47	31	66	105	346	114	76	81	100	97	163	33	191	71	23	90	14	81	12	49	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43940	1490	1006	977	1077	1338	1023	1082	1012	958	1051	1059	1166	770	1392	909	1175	964	1136	1120	1195	1006	167	1285	931	233	230	1055	281	763	86	220	1071	159	150	805	900	1447	962	1559	1183	1102	1284	229	1395	848	255	278	305	925	76	680	170					
9	Число недействительных избирательных бюллетеней	429	106	4	8	8	14	6	9	9	5	10	0	7	6	12	6	7	15	7	14	3	3	2	0	3	0	2	6	1	15	2	0	17	2	6	7	7	13	12	13	4	13	6	1	4	5	2	2	7	9	0	9	0					
10	Число действительных избирательных бюллетеней	47415	1446	1042	1038	1117	1499	1083	1102	1023	1025	1085	1107	1259	823	1472	963	1254	1049	1201	1192	1437	1103	165	1346	1002	291	259	1128	305	812	88	243	1101	188	210	903	1239	1548	1026	1627	1279	1186	1441	261	1582	914	276	366	312	997	88	720	192					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	686	16	16	16	21	20	16	16	16	20	20	16	26	15	16	16	15	17	16	16	36	16	2	15	16	6	1	15	5	15	2	3	16	3	5	13	16	20	16	16	15	15	14	6	14	15	3	4	3	10	2	15	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	499	7	11	16	17	12	12	11	16	7	17	14	26	13	14	14	11	17	16	11	25	16	1	15	14	3	1	15	5	11	2	0	7	3	0	13	6	15	6	9	7	8	14	6	6	9	0	3	3	4	0	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	323	4	8	3	10	9	12	9	2	6	10	31	5	6	11	8	4	1	16	8	26	8	3	3	10	4	8	11	1	7	2	0	0	1	7	10	12	3	5	5	1	2	2	2	4	4	0	7	1	5	2	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	187	9	5	0	4	8	4	5	0	13	3	2	0	2	2	2	4	0	0	5	11	0	1	0	2	3	0	0	0	4	0	3	9	0	5	0	10	5	10	7	8	7	0	0	8	6	3	1	0	6	2	5	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	0	0	1	1	0	1	1	2	3	2	2	3	0	1	1	3	3	0	1	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	2	2	1	2	0	2	5	0	2	0	0	0	0	2	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	1.Политическая партия «Аграрная партия России»	597	18	20	19	38	8	19	13	7	9	16	5	15	13	6	7	18	12	13	15	21	17	2	16	11	4	7	29	7	12	1	0	23	0	2	16	3	16	27	25	17	14	10	1	11	14	2	0	2	9	0	6	1					
