Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Заларинская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
1	"Число избирателей, внесенных в списки"	21347	1847	1065	1045	2370	872	711	184	367	128	152	279	104	171	91	540	585	891	246	137	137	119	443	274	75	134	548	99	317	180	476	441	177	638	211	129	808	480	240	1176	1836	118	409	97					
2	"Число бюллетеней, полученных участковыми комиссиями"	20579	1800	1000	1000	2200	850	650	186	350	130	141	250	100	162	86	500	550	900	221	133	134	187	450	250	79	162	500	98	300	177	450	450	178	600	199	125	750	450	212	1100	1900	121	400	98					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9470	789	333	381	922	344	204	93	177	90	88	149	72	90	75	268	210	362	162	92	103	119	255	170	41	87	299	71	124	72	242	254	127	236	117	75	370	217	92	367	762	83	230	56					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1098	26	12	40	32	10	338	21	32	10	3	23	0	11	7	17	50	14	0	6	0	0	13	2	3	21	0	3	56	52	50	24	5	55	11	5	26	13	7	40	28	5	22	5					
6	Число погашенных бюллетеней	10009	984	655	579	1246	496	107	72	141	30	50	78	28	61	4	215	290	524	59	35	31	68	182	78	35	54	201	24	120	53	158	172	46	309	71	45	354	220	113	693	1110	33	148	37					
7	Число бюллетеней в переносных ящиках для голосования	1098	26	12	40	32	10	338	21	32	10	3	23	0	11	7	17	50	14	0	6	0	0	13	2	3	21	0	3	56	52	50	24	5	55	11	5	26	13	7	40	28	5	22	5					
8	Число бюллетеней в стационарных ящиках для голосования	9469	789	333	381	922	344	204	93	177	90	88	149	72	90	75	268	210	362	162	92	103	119	255	170	41	87	299	71	123	72	242	254	127	236	117	75	370	217	92	367	762	83	230	56					
9	Число недействительных бюллетеней	140	6	8	9	5	1	2	1	2	5	0	0	1	2	0	9	4	1	2	0	0	4	5	2	2	6	3	0	1	1	4	2	1	5	2	1	13	2	5	7	5	1	9	1					
10	Число действительных бюллетеней	10427	809	337	412	949	353	540	113	207	95	91	172	71	99	82	276	256	375	160	98	103	115	263	170	42	102	296	74	178	123	288	276	131	286	126	79	383	228	94	400	785	87	243	60					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	17	10	10	23	8	7	2	3	1	1	2	1	1	1	5	6	8	2	1	1	2	4	3	1	1	5	1	3	2	4	5	2	6	2	1	7	5	2	11	17	1	4	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	47	3	2	3	5	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	5	2	0	1	14	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	3	2	1	3	1	1	0	0	1	0	4	0	0	1	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	3	2	0	0	5	2	0	0	0					
14	Число погашенных открепительных удостоверений	153	14	8	7	18	6	6	2	3	1	1	2	1	1	1	5	5	7	2	1	1	2	4	3	1	1	3	1	3	2	2	5	2	6	2	1	2	3	2	10	3	1	1	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
18	"1. ""ЕДИНЕНИЕ"""	163	9	3	3	19	6	5	5	9	1	1	5	1	1	1	5	5	3	0	6	0	2	3	7	0	0	5	5	0	2	6	4	6	2	2	1	3	2	2	5	11	1	5	1					
		1.54%	1.10%	0.86%	0.71%	1.99%	1.69%	0.92%	4.38%	4.30%	1.0%	1.09%	2.90%	1.38%	0.99%	1.21%	1.75%	1.92%	0.79%	0.0%	6.12%	0.0%	1.68%	1.11%	4.06%	0.0%	0.0%	1.67%	6.75%	0.0%	1.61%	2.05%	1.43%	4.54%	0.68%	1.56%	1.25%	0.75%	0.86%	2.02%	1.22%	1.39%	1.13%	1.98%	1.63%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	46	3	2	1	8	0	1	1	0	1	2	2	1	1	0	3	0	1	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	2	0	0	3	1	0	2	2	0	2	1					
