Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																								
Дата голосования: 18.09.2016																																																																																																																																								
																																																																																																																																								
Наименование Избирательной комиссии:    Сергиево-Посадская																																																																																																																																								
																																																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																								
																																																																																																																																								
		Сумма	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2864									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	202768	1710	2221	2082	2864	2576	2482	2721	2982	1964	1195	1236	501	1844	2098	2042	2338	2884	2302	2417	1268	1566	1517	633	736	1572	2244	2243	2323	1777	1767	1897	1255	1991	595	2151	2094	1875	2207	2010	1757	2474	537	1632	1340	1655	2395	288	1629	1110	1977	1711	1737	2364	2529	2919	2555	2587	1589	1555	1788	2133	1839	2081	2032	1977	1347	1594	1254	1785	1333	1106	1988	2069	1427	1562	1145	1665	406	171	742	1787	1906	1615	412	1411	2178	1646	1434	1623	2366	1422	559	1505	2709	1564	1267	1487	2814	1543	1460	1484	1452	75	1743	1106	476	2326	1871	522	875	505	269	1568	1612	763	779	1525	2228	1692	735	680	832	957	989	1032									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	183611	1550	2000	1900	2600	2250	2200	2500	2700	1800	1100	1150	500	1650	1900	1850	2000	2350	2100	2150	1150	1450	1400	600	700	1400	2050	2050	2100	1650	1600	1750	1150	1850	550	1900	1900	1700	2000	2000	1600	2150	500	1500	1050	1500	2150	326	1500	1010	1800	1550	1600	2150	2300	2200	2300	2350	1450	1400	1650	2000	1700	1900	1900	1800	1200	1450	1150	1600	1150	1100	1800	1900	1200	1400	1050	1500	400	150	700	1700	1700	1450	365	1250	2000	1500	1300	1500	2150	1300	500	1350	2450	1200	1200	1350	2550	1400	1350	1350	1300	60	1600	1000	500	2100	1700	500	800	500	250	1400	1450	700	700	1400	2000	1550	700	650	800	900	900	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	59579	578	763	578	717	616	818	710	608	532	303	235	131	350	596	568	858	1094	838	872	474	499	381	250	179	455	620	662	705	489	442	541	400	491	99	649	703	577	584	645	505	610	146	534	336	460	709	11	393	321	407	398	481	592	650	618	657	687	527	333	550	788	562	656	583	561	564	356	347	509	272	294	609	644	559	488	389	685	195	99	226	741	754	534	259	510	654	611	459	485	623	438	140	366	679	685	384	402	778	412	443	366	350	26	408	299	149	617	543	166	276	162	69	377	460	340	252	986	638	463	161	195	194	166	290	348									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3905	100	141	4	7	10	15	11	21	6	2	23	2	35	10	53	115	11	13	6	5	22	40	3	25	12	9	8	9	3	4	7	89	7	6	26	10	5	13	6	5	44	16	9	177	6	14	144	50	11	18	13	9	12	9	472	10	13	1	10	9	4	19	3	23	8	20	10	10	13	5	20	5	21	116	101	195	65	45	29	61	19	68	11	30	44	22	30	33	18	7	5	2	3	5	57	6	9	11	7	7	20	2	3	30	5	0	44	21	13	45	6	3	119	25	14	37	145	14	29	25	25	80	68	17	2									
6	Число погашенных избирательных бюллетеней	120127	872	1096	1318	1876	1624	1367	1779	2071	1262	795	892	367	1265	1294	1229	1027	1245	1249	1272	671	929	979	347	496	933	1421	1380	1386	1158	1154	1202	661	1352	445	1225	1187	1118	1403	1349	1090	1496	338	957	537	1034	1427	171	1057	678	1375	1139	1110	1546	1641	1110	1633	1650	922	1057	1091	1208	1119	1241	1294	1231	616	1084	793	1078	873	786	1186	1235	525	811	466	750	160	22	413	940	878	905	76	696	1324	859	808	997	1520	857	358	981	1766	458	810	939	1761	981	900	964	948	31	1162	696	351	1439	1136	321	479	332	178	904	965	346	411	269	1348	1058	514	430	526	666	593	600									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3905	100	141	4	7	10	15	11	21	6	2	23	2	35	10	53	115	11	13	6	5	22	40	3	25	12	9	8	9	3	4	7	89	7	6	26	10	5	13	6	5	44	16	9	177	6	14	144	50	11	18	13	9	12	9	472	10	13	1	10	9	4	19	3	23	8	20	10	10	13	5	20	5	21	116	101	195	65	45	29	61	19	68	11	30	44	22	30	33	18	7	5	2	3	5	57	6	9	11	7	7	20	2	3	30	5	0	44	21	13	45	6	3	119	25	14	37	145	14	29	25	25	80	68	17	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	59443	577	763	578	717	616	818	710	608	532	302	235	131	350	596	568	858	1094	831	872	466	499	341	249	179	455	620	661	697	489	439	541	400	491	99	646	702	577	575	645	498	610	146	534	326	460	709	11	393	316	407	396	481	592	649	617	654	687	525	333	550	788	562	655	583	561	564	356	347	509	268	294	609	644	559	487	389	684	195	99	226	741	754	533	257	510	654	611	459	484	623	438	140	366	679	685	384	401	774	412	443	366	350	26	408	299	149	617	543	166	276	162	69	377	459	338	252	986	638	463	161	195	194	166	290	345									
9	Число недействительных избирательных бюллетеней	2224	17	5	27	20	32	10	0	11	19	10	10	9	9	22	23	22	34	49	27	21	31	13	2	15	18	11	22	22	15	24	24	3	12	5	27	33	18	28	30	15	21	4	1	14	29	20	4	10	10	9	10	17	19	25	4	22	21	7	15	21	19	30	28	30	32	0	16	7	24	12	17	18	24	26	24	209	9	3	1	10	2	9	23	3	19	26	6	20	18	22	16	6	6	23	22	7	10	20	26	15	16	8	1	15	21	5	38	33	10	6	5	1	12	18	25	14	30	18	25	7	20	6	6	11	7									
10	Число действительных избирательных бюллетеней	61124	660	899	555	704	594	823	721	618	519	294	248	124	376	584	598	951	1071	795	851	450	490	368	250	189	449	618	647	684	477	419	524	486	486	100	645	679	564	560	621	488	633	158	542	489	437	703	151	433	317	416	399	473	585	633	1085	642	679	519	328	538	773	551	630	576	537	584	350	350	498	261	297	596	641	649	564	375	740	237	127	277	758	813	521	284	535	650	635	472	484	608	427	136	363	661	720	383	400	765	393	435	370	344	28	423	283	144	623	531	169	315	163	71	484	466	327	275	1101	634	467	179	200	268	228	296	340									
