Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Починковская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350					
1	"Число избирателей, внесенных в список избирателей"	26472	2280	539	2513	992	1179	550	308	401	159	420	189	160	236	349	193	166	2269	589	683	164	605	583	2208	620	657	215	808	305	891	856	198	210	687	217	601	728	553	180	157	352	166	336					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24326	2015	535	2318	894	1080	496	283	369	135	390	171	142	232	360	180	157	2056	521	620	158	554	453	2027	653	605	211	741	280	827	815	179	197	646	193	555	671	484	160	146	331	175	311					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11637	1088	250	1001	373	561	249	74	204	93	183	93	84	90	166	83	79	886	177	180	79	284	272	1174	288	301	80	315	172	433	378	72	71	310	86	230	281	316	80	67	163	77	194					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2226	64	25	76	27	38	58	87	42	18	75	30	14	82	101	54	24	91	72	145	31	52	65	19	78	59	48	99	22	21	132	38	34	22	17	69	61	36	30	28	47	34	61					
6	Число погашенных избирательных бюллетеней	10463	863	260	1241	494	481	189	122	123	24	132	48	44	60	93	43	54	1079	272	295	48	218	116	834	287	245	83	327	86	373	305	69	92	314	90	256	329	132	50	51	121	64	56					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2226	64	25	76	27	38	58	87	42	18	75	30	14	82	101	54	24	91	72	145	31	52	65	19	78	59	48	99	22	21	132	38	34	22	17	69	61	36	30	28	47	34	61					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11637	1088	250	1001	373	561	249	74	204	93	183	93	84	90	166	83	79	886	177	180	79	284	272	1174	288	301	80	315	172	433	378	72	71	310	86	230	281	316	80	67	163	77	194					
9	Число недействительных избирательных бюллетеней	169	13	6	7	8	12	6	2	4	1	5	0	3	2	1	0	0	15	3	1	0	2	3	20	1	7	1	3	11	6	4	1	0	2	3	5	3	3	2	0	2	0	1					
10	Число действительных избирательных бюллетеней	13694	1139	269	1070	392	587	301	159	242	110	253	123	95	170	266	137	103	962	246	324	110	334	334	1173	365	353	127	411	183	448	506	109	105	330	100	294	339	349	108	95	208	111	254					
