Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Починковская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364					
1	"Число избирателей, внесенных в списки избирателей"	27581	2751	2785	954	1205	532	211	455	174	142	411	600	187	623	211	733	564	851	198	207	176	368	191	345	1084	914	599	243	194	214	194	611	318	269	191	530	207	222	2835	534	716	2832					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27828	2645	2828	976	1188	532	196	497	165	146	418	616	208	741	214	777	594	894	211	207	184	398	224	341	1101	930	599	263	195	219	195	641	388	265	194	534	207	231	2896	539	745	2486					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15063	1493	1450	506	684	287	106	276	110	72	257	279	102	406	91	444	318	395	105	103	104	230	104	209	456	551	384	123	98	127	106	323	158	100	104	208	117	118	1409	286	345	1919					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2744	93	82	58	36	90	46	72	22	32	50	58	22	29	41	43	84	199	40	65	20	37	22	63	295	34	57	42	28	38	43	105	122	105	37	80	43	50	127	72	141	21					
6	Число погашенных избирательных бюллетеней	10021	1059	1296	412	468	155	44	149	33	42	111	279	84	306	82	290	192	300	66	39	60	131	98	69	350	345	158	98	69	54	46	213	108	60	53	246	47	63	1360	181	259	546					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2744	93	82	58	36	90	46	72	22	32	50	58	22	29	41	43	84	199	40	65	20	37	22	63	295	34	57	42	28	38	43	105	122	105	37	80	43	50	127	72	141	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15061	1493	1450	506	684	287	106	276	110	72	257	279	102	406	91	444	318	395	105	103	104	230	104	209	456	551	384	123	98	127	106	323	158	100	104	208	117	118	1407	286	345	1919					
9	Число недействительных избирательных бюллетеней	310	46	10	9	12	4	1	5	2	2	9	2	4	8	3	3	4	13	4	0	0	0	0	8	34	21	16	0	2	3	0	9	3	2	1	2	4	6	10	7	7	34					
10	Число действительных избирательных бюллетеней	17495	1540	1522	555	708	373	151	343	130	102	298	335	120	427	129	484	398	581	141	168	124	267	126	264	717	564	425	165	124	162	149	419	277	203	140	286	156	162	1524	351	479	1906					
