Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Петропавловская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9928	1138	1241	1313	1248	742	711	739	1249	999	548									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7150	800	900	950	900	550	500	550	900	700	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4040	446	452	505	565	311	278	353	470	446	214									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	479	59	32	56	42	65	23	36	73	43	50									
6	Число погашенных избирательных бюллетеней	2631	295	416	389	293	174	199	161	357	211	136									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	479	59	32	56	42	65	23	36	73	43	50									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4040	446	452	505	565	311	278	353	470	446	214									
9	Число недействительных избирательных бюллетеней	102	7	7	6	18	7	6	9	20	18	4									
10	Число действительных избирательных бюллетеней	4417	498	477	555	589	369	295	380	523	471	260									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	10	10	10	10	5	5	5	10	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	29	4	6	4	0	0	1	1	6	5	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	23	4	3	8	2	1	2	2	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	51	6	4	6	10	5	4	4	4	5	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	2	1	1	1	0	0	1	1	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	4	0	7	5	5	1	0	3	4	3									
		0.71%	0.79%	0.00%	1.25%	0.82%	1.33%	0.33%	0.00%	0.55%	0.82%	1.14%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	196	25	19	22	26	17	12	8	25	25	17									
		4.34%	4.95%	3.93%	3.92%	4.28%	4.52%	3.99%	2.06%	4.60%	5.11%	6.44%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	65	9	12	8	9	4	6	1	7	8	1									
		1.44%	1.78%	2.48%	1.43%	1.48%	1.06%	1.99%	0.26%	1.29%	1.64%	0.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1946	201	232	275	191	177	119	198	241	173	139									
		43.06%	39.80%	47.93%	49.02%	31.47%	47.07%	39.53%	50.90%	44.38%	35.38%	52.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	1	0	3	7	0	1	3	6	0	0									
		0.46%	0.20%	0.00%	0.53%	1.15%	0.00%	0.33%	0.77%	1.10%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	2	0	3	0	0	0	0	0	1									
		0.15%	0.20%	0.41%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	853	88	92	119	121	65	53	89	85	101	40									
		18.88%	17.43%	19.01%	21.21%	19.93%	17.29%	17.61%	22.88%	15.65%	20.65%	15.15%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	4	1	0	0	1	2	0	1	0	1									
		0.22%	0.79%	0.21%	0.00%	0.00%	0.27%	0.66%	0.00%	0.18%	0.00%	0.38%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	2	4	2	1	3	2	0	1	3	2									
		0.44%	0.40%	0.83%	0.36%	0.16%	0.80%	0.66%	0.00%	0.18%	0.61%	0.76%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	1	1	1	1	1	0	1	3	2	0									
		0.24%	0.20%	0.21%	0.18%	0.16%	0.27%	0.00%	0.26%	0.55%	0.41%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	10	4	5	5	5	0	4	11	4	4									
		1.15%	1.98%	0.83%	0.89%	0.82%	1.33%	0.00%	1.03%	2.03%	0.82%	1.52%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	683	74	48	63	133	69	59	37	84	78	38									
		15.11%	14.65%	9.92%	11.23%	21.91%	18.35%	19.60%	9.51%	15.47%	15.95%	14.39%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	0	2	2	1	1	0	1	3	2	1									
		0.29%	0.00%	0.41%	0.36%	0.16%	0.27%	0.00%	0.26%	0.55%	0.41%	0.38%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	508	78	60	48	86	21	40	38	53	71	13									
		11.24%	15.45%	12.40%	8.56%	14.17%	5.59%	13.29%	9.77%	9.76%	14.52%	4.92%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
