Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Ольховатская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522					
1	"Число избирателей, внесенных в списки"	20076	1724	2016	1470	1481	1332	1768	1281	1434	604	376	503	948	581	269	609	788	704	288	763	146	592	399					
2	"Число бюллетеней, полученных участковыми комиссиями"	18585	1650	1850	1350	1350	1200	1650	1199	1280	550	350	450	903	548	350	545	700	640	260	700	140	550	370					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9642	924	880	775	721	536	858	574	680	363	131	305	403	342	157	256	337	294	138	360	95	275	238					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2272	44	68	43	89	89	87	67	189	69	105	69	133	70	112	173	204	217	81	133	21	127	82					
6	Число погашенных бюллетеней	6671	682	902	532	540	575	705	558	411	118	114	76	367	136	81	116	159	129	41	207	24	148	50					
7	Число бюллетеней в переносных ящиках для голосования	2272	44	68	43	89	89	87	67	189	69	105	69	133	70	112	173	204	217	81	133	21	127	82					
8	Число бюллетеней в стационарных ящиках для голосования	9582	882	876	775	721	535	858	574	667	363	131	305	403	342	157	256	337	294	138	360	95	275	238					
9	Число недействительных бюллетеней	173	13	5	16	15	13	16	13	13	6	5	5	5	5	0	5	7	15	0	2	1	9	4					
10	Число действительных бюллетеней	11681	913	939	802	795	611	929	628	843	426	231	369	531	407	269	424	534	496	219	491	115	393	316					
