Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
"Наименование Избирательной комиссии:    Тверь, Пролетарская"																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1210	УИК №1211	УИК №1212	УИК №1213									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	74943	2295	2766	2162	1801	1367	1451	2387	2835	1573	2260	1529	2100	1262	1720	1175	2034	1921	2383	2292	2445	2287	1920	1978	1720	2235	1882	1900	1706	1926	1264	2886	2550	1645	1355	2380	2178	2508	396	171	192	16	47	43									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57225	1700	2000	1600	1400	1100	1100	1800	2100	1200	1700	1100	1600	1000	1300	1000	1600	1500	1800	1700	1900	1700	1500	1500	1300	1700	1500	1500	1200	1500	1000	2200	1900	1300	1100	1800	1700	1900	300	150	160	18	48	49									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26972	971	997	819	726	600	317	706	808	509	730	592	652	471	616	456	703	694	937	860	945	914	599	757	619	843	825	791	1013	625	326	931	720	475	384	981	897	740	105	134	84	14	45	41									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	487	10	15	8	1	4	7	17	17	6	5	5	22	7	2	3	3	10	10	33	16	22	8	6	8	9	12	21	34	19	26	6	24	12	10	4	3	2	14	0	45	0	0	1									
6	Число погашенных избирательных бюллетеней	29766	719	988	773	673	496	776	1077	1275	685	965	503	926	522	682	541	894	796	853	807	939	764	893	737	673	848	663	688	153	856	648	1263	1156	813	706	815	800	1158	181	16	31	4	3	7									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	487	10	15	8	1	4	7	17	17	6	5	5	22	7	2	3	3	10	10	33	16	22	8	6	8	9	12	21	34	19	26	6	24	12	10	4	3	2	14	0	45	0	0	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26940	963	997	819	726	600	317	706	808	509	727	592	652	471	616	456	703	694	937	860	945	909	598	755	619	842	824	791	1013	625	326	931	720	475	382	977	894	740	103	134	84	14	45	41									
9	Число недействительных избирательных бюллетеней	753	32	25	12	19	13	14	17	16	15	24	13	12	8	16	12	24	11	32	13	18	16	15	18	25	26	38	19	24	14	10	76	22	16	12	15	20	9	2	20	8	0	0	2									
10	Число действительных избирательных бюллетеней	26674	941	987	815	708	591	310	706	809	500	708	584	662	470	602	447	682	693	915	880	943	915	591	743	602	825	798	793	1023	630	342	861	722	471	380	966	877	733	115	114	121	14	45	40									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1140	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	35	15	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	633	22	20	14	25	20	8	16	16	12	19	20	14	2	13	5	20	14	24	24	16	21	15	17	11	22	9	12	34	16	9	18	15	13	12	25	25	35	0	0	0	0	0	0									
