Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Джанкойская																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	55420	1828	1186	1499	784	820	177	567	2064	334	613	169	1652	369	434	1539	1236	598	634	587	661	283	201	1284	1447	563	935	361	245	1880	378	769	233	1620	446	300	1318	413	1022	1530	565	619	864	278	147	851	188	1358	1257	606	627	491	263	361	418	510	781	555	271	272	1440	1186	445	743	1061	401	681	232	126	816	1371	231	1258	357	632	179									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52330	1550	950	1470	720	660	160	540	1680	310	590	150	1600	340	410	1490	1200	570	600	570	630	260	180	1240	1410	530	890	360	230	1830	360	730	210	1630	440	280	1280	400	980	1490	530	590	850	260	140	820	180	1320	1220	580	590	470	250	340	410	490	780	530	250	250	1400	1140	420	620	1010	390	670	240	110	680	1320	220	1230	330	600	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27589	725	486	554	416	469	95	250	945	172	360	103	609	99	171	707	543	325	320	331	360	152	95	871	844	256	569	223	145	915	179	212	67	1222	260	164	501	326	497	565	271	159	515	183	104	490	143	678	425	284	270	246	150	242	281	251	387	339	143	169	630	542	283	381	531	226	378	152	61	540	796	145	526	143	284	138									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2422	44	40	25	40	51	5	42	67	23	54	5	70	26	5	45	33	10	24	40	36	18	8	30	80	49	34	26	16	64	10	23	1	105	27	12	59	19	37	53	12	19	47	8	8	42	2	50	51	25	30	11	15	18	17	28	68	39	8	12	56	44	23	55	44	23	31	15	2	48	66	2	103	14	24	6									
6	Число погашенных избирательных бюллетеней	22319	781	424	891	264	140	60	248	668	115	176	42	921	215	234	738	624	235	256	199	234	90	77	339	486	225	287	111	69	851	171	495	142	303	153	104	720	55	446	872	247	412	288	69	28	288	35	592	744	271	290	213	85	80	112	211	325	152	99	69	714	554	114	184	435	141	261	73	47	92	458	73	601	173	292	36									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2422	44	40	25	40	51	5	42	67	23	54	5	70	26	5	45	33	10	24	40	36	18	8	30	80	49	34	26	16	64	10	23	1	105	27	12	59	19	37	53	12	19	47	8	8	42	2	50	51	25	30	11	15	18	17	28	68	39	8	12	56	44	23	55	44	23	31	15	2	48	66	2	103	14	24	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27586	725	486	554	416	469	95	250	945	172	360	103	609	99	171	707	543	325	320	331	360	152	95	871	844	256	569	223	144	915	179	212	67	1222	260	164	501	326	497	565	271	159	515	183	104	490	143	678	425	284	270	246	150	242	281	251	387	339	143	169	628	542	283	381	531	226	378	152	61	540	796	145	526	143	284	138									
9	Число недействительных избирательных бюллетеней	621	16	9	13	9	8	3	4	18	4	6	0	42	7	7	15	8	4	6	14	4	6	1	12	7	13	6	5	1	20	2	4	1	4	10	0	12	14	10	15	22	15	13	1	0	7	2	20	18	8	1	2	4	14	4	13	6	5	2	3	10	18	0	9	11	6	8	1	0	0	20	5	12	1	15	5									
10	Число действительных избирательных бюллетеней	29387	753	517	566	447	512	97	288	994	191	408	108	637	118	169	737	568	331	338	357	392	164	102	889	917	292	597	244	159	959	187	231	67	1323	277	176	548	331	524	603	261	163	549	190	112	525	143	708	458	301	299	255	161	246	294	266	449	373	149	178	674	568	306	427	564	243	401	166	63	588	842	142	617	156	293	139									
