Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Целинная 																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912					
1	"Число избирателей, внесенных в списки"	16500	1400	906	971	1298	313	75	564	339	258	571	196	20	521	132	173	233	677	150	155	605	117	76	823	100	129	81	85	61	158	66	423	191	376	361	881	169	53	274	629	115	157	139	812	166	111	106	240	44					
2	"Число бюллетеней, полученных участковыми комиссиями"	16604	1330	820	950	1200	320	80	580	350	260	580	200	20	500	120	180	230	680	150	150	624	125	100	820	105	135	90	90	70	170	70	630	200	380	370	890	175	60	280	620	120	160	140	800	170	110	110	250	40					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9519	589	474	476	609	160	59	257	222	201	296	137	14	298	25	114	161	319	119	91	349	89	56	494	89	90	46	56	46	105	54	400	136	269	245	521	123	44	188	412	74	116	79	427	108	54	68	133	27					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	320	24	23	21	16	5	6	17	32	8	12	0	0	12	5	17	10	0	0	9	0	0	0	0	0	0	0	0	0	0	0	23	5	0	17	11	0	0	0	8	0	0	2	18	0	0	4	15	0					
6	Число погашенных бюллетеней	6765	717	323	453	575	155	15	306	96	51	272	63	6	190	90	49	59	361	31	50	275	36	44	326	16	45	44	34	24	65	16	207	59	111	108	358	52	16	92	200	46	44	59	355	62	56	38	102	13					
7	Число бюллетеней в переносных ящиках для голосования	320	24	23	21	16	5	6	17	32	8	12	0	0	12	5	17	10	0	0	9	0	0	0	0	0	0	0	0	0	0	0	23	5	0	17	11	0	0	0	8	0	0	2	18	0	0	4	15	0					
8	Число бюллетеней в стационарных ящиках для голосования	9519	589	474	476	609	160	59	257	222	201	296	137	14	298	25	114	161	319	119	91	349	89	56	494	89	90	46	56	46	105	54	400	136	269	245	521	123	44	188	412	74	116	79	427	108	54	68	133	27					
9	Число недействительных бюллетеней	106	6	5	8	3	4	0	4	2	0	3	3	0	8	0	4	0	7	1	0	4	0	0	4	0	0	0	2	0	0	1	4	1	1	6	7	2	1	0	6	0	0	0	4	2	0	0	1	2					
10	Число действительных бюллетеней	9733	607	492	489	622	161	65	270	252	209	305	134	14	302	30	127	171	312	118	100	345	89	56	490	89	90	46	54	46	105	53	419	140	268	256	525	121	43	188	414	74	116	81	441	106	54	72	147	25					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	315	15	10	10	10	5	3	5	6	5	5	5	3	8	5	5	7	8	3	5	8	5	5	10	5	5	5	5	5	5	5	8	5	7	8	10	5	5	5	10	7	7	7	15	7	7	5	5	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	40	5	4	2	3	0	0	0	0	2	0	4	0	1	0	0	1	2	0	0	3	0	0	1	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	4	0	0	0	0	0	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	3	0	1	3	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	4					
14	Число погашенных открепительных удостоверений	275	10	6	8	7	5	3	5	6	3	5	1	3	7	5	5	6	6	3	5	5	5	5	9	5	5	5	5	5	5	5	6	5	5	8	9	5	5	5	6	7	7	7	15	7	7	5	2	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	"1. ""ЕДИНЕНИЕ"""	108	12	4	4	2	2	0	1	4	5	0	2	0	2	0	1	1	4	0	6	4	0	0	3	1	0	0	2	1	1	1	9	1	4	7	4	0	0	0	5	0	1	1	7	2	0	1	3	0					
		1.09%	1.95%	0.80%	0.80%	0.32%	1.21%	0.0%	0.36%	1.57%	2.39%	0.0%	1.45%	0.0%	0.64%	0.0%	0.76%	0.58%	1.25%	0.0%	6.0%	1.14%	0.0%	0.0%	0.60%	1.12%	0.0%	0.0%	3.57%	2.17%	0.95%	1.85%	2.12%	0.70%	1.48%	2.67%	0.75%	0.0%	0.0%	0.0%	1.19%	0.0%	0.86%	1.23%	1.57%	1.85%	0.0%	1.38%	2.02%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	45	3	0	5	8	1	2	3	1	0	2	0	0	2	0	0	0	0	0	1	3	0	0	2	0	0	1	0	1	0	0	3	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2					
		0.45%	0.48%	0.0%	1.00%	1.28%	0.60%	3.07%	1.09%	0.39%	0.0%	0.64%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.85%	0.0%	0.0%	0.40%	0.0%	0.0%	2.17%	0.0%	2.17%	0.0%	0.0%	0.70%	0.0%	0.74%	0.0%	0.37%	0.0%	2.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.40%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	218	18	7	12	15	4	1	4	2	2	5	0	1	1	0	8	0	10	2	0	9	0	0	11	3	8	0	2	0	3	0	11	4	10	9	11	3	1	7	9	4	2	1	12	3	1	0	0	2					
