Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Нолинская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836					
1	"Число избирателей, внесенных в списки избирателей"	18401	2568	2382	2443	1943	1604	197	336	200	179	310	278	958	674	339	170	638	329	851	111	138	102	729	770	152					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18100	2400	2400	2400	1900	1600	200	350	200	200	300	250	950	650	350	150	650	300	850	100	150	100	700	800	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11338	1602	1484	1682	1114	887	129	189	128	125	216	169	581	357	208	95	382	210	466	79	101	46	457	526	105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1582	149	97	93	122	150	21	66	28	12	40	38	129	123	35	23	105	21	114	12	21	33	80	61	9					
6	Число погашенных избирательных бюллетеней	5180	649	819	625	664	563	50	95	44	63	44	43	240	170	107	32	163	69	270	9	28	21	163	213	36					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1582	149	97	93	122	150	21	66	28	12	40	38	129	123	35	23	105	21	114	12	21	33	80	61	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11334	1600	1484	1680	1114	887	129	189	128	125	216	169	581	357	208	95	382	210	466	79	101	46	457	526	105					
9	Число недействительных избирательных бюллетеней	145	19	16	16	15	13	0	4	1	2	1	1	9	15	3	1	7	0	11	0	1	0	6	2	2					
10	Число действительных избирательных бюллетеней	12771	1730	1565	1757	1221	1024	150	251	155	135	255	206	701	465	240	117	480	231	569	91	121	79	531	585	112					
