Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Магарамкентская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163					
1	"Число избирателей, внесенных в списки"	40472	333	1271	774	601	394	1548	1658	1481	1557	1391	293	1650	2212	1258	3167	1093	2183	2014	287	372	626	1046	332	1175	1437	1331	605	981	1934	1080	2815	1199	374					
2	"Число бюллетеней, полученных участковыми комиссиями"	40472	333	1271	774	601	394	1548	1658	1481	1557	1391	293	1650	2212	1258	3167	1093	2183	2014	287	372	626	1046	332	1175	1437	1331	605	981	1934	1080	2815	1199	374					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	37936	330	1151	702	601	389	1348	1643	1479	1550	1389	254	1430	2096	1200	3070	988	2123	1944	277	360	548	1001	308	1150	1360	1231	605	840	1900	1000	2216	1119	334					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	288	3	51	0	0	0	0	0	0	0	0	0	7	38	0	50	12	0	0	0	0	50	0	0	0	38	27	0	12	0	0	0	0	0					
6	Число погашенных бюллетеней	2248	0	69	72	0	5	200	15	2	7	2	39	213	78	58	47	93	60	70	10	12	28	45	24	25	39	73	0	129	34	80	599	80	40					
7	Число бюллетеней в переносных ящиках для голосования	288	3	51	0	0	0	0	0	0	0	0	0	7	38	0	50	12	0	0	0	0	50	0	0	0	38	27	0	12	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	37936	330	1151	702	601	389	1348	1643	1479	1550	1389	254	1430	2104	1200	3062	988	2123	1944	277	360	548	1001	308	1150	1360	1231	605	840	1900	1000	2216	1119	334					
9	Число недействительных бюллетеней	90	2	0	29	0	0	0	0	0	0	0	3	0	9	0	2	0	0	0	0	0	1	0	0	0	17	0	0	0	0	0	7	17	3					
10	Число действительных бюллетеней	38134	331	1202	673	601	389	1348	1643	1479	1550	1389	251	1437	2133	1200	3110	1000	2123	1944	277	360	597	1001	308	1150	1381	1258	605	852	1900	1000	2209	1102	331					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	5	8	4	4	1	7	8	9	7	8	5	5	10	8	10	6	8	10	5	5	1	4	4	8	9	5	3	3	7	4	10	5	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	153	0	6	3	2	0	7	1	6	2	8	0	5	5	8	10	3	8	10	5	5	1	4	3	8	9	4	3	3	3	4	10	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0					
14	Число погашенных открепительных удостоверений	47	5	2	1	2	1	0	7	3	5	0	5	0	5	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1287	0	0	0	0	0	16	0	0	0	0	0	0	98	0	939	0	0	167	0	0	0	0	50	0	0	0	0	0	0	0	0	14	3					
		3.36%	0.0%	0.0%	0.0%	0.0%	0.0%	1.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.57%	0.0%	30.17%	0.0%	0.0%	8.59%	0.0%	0.0%	0.0%	0.0%	16.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.25%	0.89%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	14	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1					
		0.03%	1.20%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.29%					
