Выборы Президента Российской Федерации																																								
Дата голосования: 02.03.2008																																								
																																								
Наименование Избирательной комиссии:    Подольская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
	Число участковых избирательных комиссий	33																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	33																																						
																																								
		Сумма	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260					
1	"Число избирателей, включенных в списки избирателей"	64196	2490	2653	2014	2682	1991	2603	2459	2411	652	2042	2084	2565	653	2252	2100	469	908	855	1565	1715	2317	1992	2589	1299	1189	2525	2174	2262	2230	525	2162	2903	2866					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	60720	2500	2600	2000	2700	1900	2400	2200	2400	570	1800	2000	2300	600	2100	2100	460	900	800	1400	1600	2200	2000	2500	1200	1100	2100	2100	2100	2200	490	2100	2700	2600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	43473	1736	1898	1418	1883	1251	1602	1660	1619	411	1704	1576	1588	417	1486	1223	307	651	544	985	1139	1397	1365	1790	860	760	1791	1433	1462	1448	331	1511	2038	2189					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3736	38	115	59	52	132	276	270	97	117	16	146	154	70	186	325	77	81	162	38	43	112	172	100	80	88	154	61	127	161	27	77	56	67					
6	Число погашенных избирательных бюллетеней	13511	726	587	523	765	517	522	270	684	42	80	278	558	113	428	552	76	168	94	377	418	691	463	610	260	252	155	606	511	591	132	512	606	344					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3736	38	115	59	52	132	276	270	97	117	16	146	154	70	186	325	77	81	162	38	43	112	172	100	80	88	154	61	127	161	27	77	56	67					
8	Число бюллетеней в стационарных ящиках для голосования	43428	1736	1898	1418	1883	1251	1602	1619	1619	411	1704	1576	1584	417	1486	1223	307	651	544	985	1139	1397	1365	1790	860	760	1791	1433	1462	1448	331	1511	2038	2189					
9	Число недействительных избирательных бюллетеней	936	50	6	29	40	30	47	38	52	6	24	26	34	2	34	19	12	15	8	29	43	37	28	24	14	16	36	51	31	30	5	45	54	21					
10	Число действительных избирательных бюллетеней	46228	1724	2007	1448	1895	1353	1831	1851	1664	522	1696	1696	1704	485	1638	1529	372	717	698	994	1139	1472	1509	1866	926	832	1909	1443	1558	1579	353	1543	2040	2235					
11	Число полученных открепительных  удостоверений	1680	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	70	50	50	50	60	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1100	49	48	45	39	28	33	45	34	9	43	19	30	5	50	50	10	21	7	38	23	22	70	36	18	21	60	33	50	33	7	42	35	47					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1123	32	30	24	30	28	93	29	22	13	33	33	59	27	23	32	22	12	19	10	70	62	34	30	26	24	87	9	46	32	25	54	29	24					
14	Число неиспользованных открепительных удостоверений	580	1	2	5	11	22	17	5	16	41	7	31	20	45	0	0	40	29	43	12	27	28	0	14	32	29	0	17	0	17	43	8	15	3					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	19	1	1	0	1	1	0	0	2	1	1	0	0	0	0	1	0	0	2	1	0	0	0	1	1	1	0	0	1	0	2	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
