Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Левобережный район																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №3647	УИК №3648	УИК №8376									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32690	2123	2388	3014	2653	2687	2268	2478	2557	3067	2430	2632	2478	434	698	235	41	507									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33600	1700	1900	2400	2100	2100	1700	1900	2000	2500	1900	2100	1900	350	700	250	100	8000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11435	673	798	968	942	877	862	859	837	911	786	864	820	175	304	211	41	507									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	768	50	19	34	45	34	26	35	26	30	42	29	26	3	345	24	0	0									
6	Число погашенных избирательных бюллетеней	21397	977	1083	1398	1113	1189	812	1006	1137	1559	1072	1207	1054	172	51	15	59	7493									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	768	50	19	34	45	34	26	35	26	30	42	29	26	3	345	24	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11343	662	743	956	939	876	861	857	835	911	786	863	817	175	304	211	41	506									
9	Число недействительных избирательных бюллетеней	194	6	18	22	16	19	20	14	10	6	9	19	17	0	11	1	0	6									
10	Число действительных избирательных бюллетеней	11917	706	744	968	968	891	867	878	851	935	819	873	826	178	638	234	41	500									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	254	10	20	10	30	10	20	10	20	24	20	20	20	10	10	0	0	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	167	9	16	7	21	8	11	10	12	18	19	14	13	3	6	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	516	21	39	93	22	45	84	41	25	18	22	35	15	34	2	2	8	10									
14	Число погашенных неиспользованных открепительных удостоверений	87	1	4	3	9	2	9	0	8	6	1	6	7	7	4	0	0	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	2	4	4	0	3	5	2	3	5	1	4	1	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	469	36	26	40	40	41	36	21	46	34	28	42	35	5	13	1	0	25									
		3.87%	5.06%	3.41%	4.04%	4.07%	4.51%	4.06%	2.35%	5.34%	3.61%	3.38%	4.71%	4.15%	2.81%	2.00%	0.43%	0.00%	4.94%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	215	16	12	18	22	14	14	11	9	17	10	21	16	6	23	4	0	2									
		1.78%	2.25%	1.57%	1.82%	2.24%	1.54%	1.58%	1.23%	1.05%	1.81%	1.21%	2.35%	1.90%	3.37%	3.54%	1.70%	0.00%	0.40%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	317	17	21	26	25	19	18	16	25	29	33	22	26	3	24	4	3	6									
		2.62%	2.39%	2.76%	2.63%	2.54%	2.09%	2.03%	1.79%	2.90%	3.08%	3.99%	2.47%	3.08%	1.69%	3.70%	1.70%	7.32%	1.19%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4244	183	239	300	297	312	303	459	279	316	245	284	253	73	440	157	30	74									
		35.04%	25.70%	31.36%	30.30%	30.18%	34.29%	34.16%	51.46%	32.40%	33.58%	29.59%	31.84%	30.01%	41.01%	67.80%	66.81%	73.17%	14.62%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	223	22	30	17	18	13	14	9	12	19	17	18	11	5	6	2	0	10									
		1.84%	3.09%	3.94%	1.72%	1.83%	1.43%	1.58%	1.01%	1.39%	2.02%	2.05%	2.02%	1.30%	2.81%	0.92%	0.85%	0.00%	1.98%									
24	"6. Политическая партия ""Гражданская Платформа"""	40	3	3	5	2	0	5	2	1	3	1	4	3	0	2	1	0	5									
		0.33%	0.42%	0.39%	0.51%	0.20%	0.00%	0.56%	0.22%	0.12%	0.32%	0.12%	0.45%	0.36%	0.00%	0.31%	0.43%	0.00%	0.99%									
