Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Новоузенская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23730	648	221	791	838	916	933	982	640	291	714	260	945	957	905	822	830	809	232	540	954	134	115	195	85	301	83	792	95	95	613	126	89	359	124	131	218	469	1115	969	301	107	399	120	510	1096	178	79	153	235	216									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24152	658	223	798	849	891	951	981	631	297	723	259	974	979	907	822	848	818	231	543	977	142	119	197	87	318	87	801	98	99	641	135	89	390	126	133	224	484	1134	1004	305	107	405	132	531	1125	182	80	152	240	225									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15501	435	143	623	548	673	694	602	401	122	425	220	434	651	746	624	489	562	65	370	378	56	89	135	67	259	73	572	79	89	255	80	62	293	105	101	184	366	819	657	221	76	284	116	276	362	153	69	95	162	141									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1334	35	17	20	78	10	15	32	35	73	31	0	75	83	18	49	128	32	19	33	33	3	0	4	0	7	4	10	0	0	41	7	0	16	0	4	12	38	89	70	35	4	19	4	38	64	0	0	38	5	6									
6	Число погашенных избирательных бюллетеней	7310	188	63	155	223	208	242	347	195	102	267	39	465	245	143	142	231	224	147	140	566	83	30	58	20	52	10	219	19	10	345	48	27	81	21	28	28	80	226	277	49	27	102	12	217	699	29	11	19	73	78									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1334	35	17	20	78	10	15	32	35	73	31	0	75	83	18	49	128	32	19	33	33	3	0	4	0	7	4	10	0	0	41	7	0	16	0	4	12	38	89	70	35	4	19	4	38	64	0	0	38	5	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15492	435	143	623	548	673	694	602	401	122	425	220	434	651	746	615	489	562	65	370	378	56	89	135	67	259	73	572	79	89	255	80	62	293	105	101	184	366	819	657	221	76	284	116	276	362	153	69	95	162	141									
9	Число недействительных избирательных бюллетеней	151	0	1	1	0	10	6	9	0	1	13	4	13	0	18	9	4	0	1	0	18	1	2	0	0	0	0	0	0	0	9	1	0	3	1	0	2	0	0	0	0	0	1	6	6	6	0	0	0	4	1									
10	Число действительных избирательных бюллетеней	16675	470	159	642	626	673	703	625	436	194	443	216	496	734	746	655	613	594	83	403	393	58	87	139	67	266	77	582	79	89	287	86	62	306	104	105	194	404	908	727	256	80	302	114	308	420	153	69	133	163	146									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	376	12	3	5	8	12	12	5	5	3	10	2	17	10	7	12	15	5	1	10	20	4	4	4	1	10	2	10	1	3	25	6	1	1	1	2	1	12	16	12	3	1	9	6	25	20	7	3	2	4	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	320	5	2	5	8	11	12	4	1	3	10	0	17	5	4	8	15	5	0	8	19	2	4	3	0	10	2	8	0	2	25	6	0	1	0	0	1	12	16	12	3	0	7	6	25	20	7	0	1	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	101	1	2	2	4	16	1	3	1	1	0	1	1	0	1	5	0	1	1	4	4	0	3	1	0	1	1	3	1	1	1	2	1	1	1	1	0	0	0	4	2	0	4	1	5	0	5	4	6	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	56	7	1	0	0	1	0	1	4	0	0	2	0	5	3	4	0	0	1	2	1	2	0	1	1	0	0	2	1	1	0	0	1	0	1	2	0	0	0	0	0	1	2	0	0	0	0	3	1	1	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	120	8	1	6	5	7	6	4	1	1	2	0	4	3	4	3	2	3	0	0	5	3	3	2	4	1	0	1	2	0	1	0	0	3	0	0	0	2	4	12	0	0	3	1	1	4	1	2	1	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	56	0	1	0	0	1	2	5	0	4	2	0	4	0	11	5	3	1	0	0	2	0	0	2	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	1	1									
		0.33%	0.00%	0.63%	0.00%	0.00%	0.15%	0.28%	0.79%	0.00%	2.05%	0.44%	0.00%	0.79%	0.00%	1.44%	0.75%	0.49%	0.17%	0.00%	0.00%	0.49%	0.00%	0.00%	1.44%	0.00%	0.38%	0.00%	0.17%	0.00%	0.00%	0.68%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.32%	0.94%	0.00%	0.00%	0.00%	0.60%	0.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	370	7	6	62	4	12	8	15	6	1	16	0	18	2	8	12	8	5	1	12	18	8	1	3	0	4	0	16	3	2	13	4	1	13	2	4	13	0	1	0	4	2	5	1	14	22	2	0	3	5	3									
		2.20%	1.49%	3.75%	9.64%	0.64%	1.76%	1.13%	2.37%	1.38%	0.51%	3.51%	0.00%	3.54%	0.27%	1.05%	1.81%	1.30%	0.84%	1.19%	2.98%	4.38%	13.56%	1.12%	2.16%	0.00%	1.50%	0.00%	2.75%	3.80%	2.25%	4.39%	4.60%	1.61%	4.21%	1.90%	3.81%	6.63%	0.00%	0.11%	0.00%	1.56%	2.50%	1.65%	0.83%	4.46%	5.16%	1.31%	0.00%	2.26%	2.99%	2.04%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	154	0	2	8	3	7	10	26	5	1	1	0	8	5	5	16	3	2	0	0	7	0	1	5	0	0	0	4	0	3	4	0	0	1	3	0	2	0	1	0	5	0	1	0	5	10	0	0	0	0	0									
		0.92%	0.00%	1.25%	1.24%	0.48%	1.02%	1.41%	4.10%	1.15%	0.51%	0.22%	0.00%	1.57%	0.68%	0.65%	2.41%	0.49%	0.34%	0.00%	0.00%	1.70%	0.00%	1.12%	3.60%	0.00%	0.00%	0.00%	0.69%	0.00%	3.37%	1.35%	0.00%	0.00%	0.32%	2.86%	0.00%	1.02%	0.00%	0.11%	0.00%	1.95%	0.00%	0.33%	0.00%	1.59%	2.35%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12698	393	112	509	506	546	557	506	340	142	319	206	340	550	534	514	492	463	64	309	253	21	58	102	65	212	58	445	58	70	150	52	42	214	88	72	145	355	792	545	178	59	202	110	182	242	131	54	104	137	100									
		75.47%	83.62%	70.00%	79.16%	80.83%	79.94%	78.56%	79.81%	77.98%	72.82%	69.96%	93.64%	66.80%	74.93%	69.90%	77.41%	79.74%	77.95%	76.19%	76.67%	61.56%	35.59%	65.17%	73.38%	97.01%	79.70%	75.32%	76.46%	73.42%	78.65%	50.68%	59.77%	67.74%	69.26%	83.81%	68.57%	73.98%	87.87%	87.22%	74.97%	69.53%	73.75%	66.67%	91.67%	57.96%	56.81%	85.62%	78.26%	78.20%	82.04%	68.03%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	29	0	0	3	0	4	1	0	0	0	2	0	0	2	4	2	1	0	0	0	1	0	0	0	2	1	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.17%	0.00%	0.00%	0.47%	0.00%	0.59%	0.14%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.27%	0.52%	0.30%	0.16%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	2.99%	0.38%	1.30%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	0	0	1	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.08%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	1.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1345	30	16	49	43	57	70	31	35	18	21	3	42	80	77	47	47	59	4	49	41	7	1	18	0	25	11	41	6	5	22	8	1	17	7	2	8	9	35	89	26	5	41	0	47	48	3	9	19	8	8									
		7.99%	6.38%	10.00%	7.62%	6.87%	8.35%	9.87%	4.89%	8.03%	9.23%	4.61%	1.36%	8.25%	10.90%	10.08%	7.08%	7.62%	9.93%	4.76%	12.16%	9.98%	11.86%	1.12%	12.95%	0.00%	9.40%	14.29%	7.04%	7.59%	5.62%	7.43%	9.20%	1.61%	5.50%	6.67%	1.90%	4.08%	2.23%	3.85%	12.24%	10.16%	6.25%	13.53%	0.00%	14.97%	11.27%	1.96%	13.04%	14.29%	4.79%	5.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	36	4	1	1	0	0	0	5	1	1	1	0	4	3	4	1	3	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0									
		0.21%	0.85%	0.63%	0.16%	0.00%	0.00%	0.00%	0.79%	0.23%	0.51%	0.22%	0.00%	0.79%	0.41%	0.52%	0.15%	0.49%	0.00%	0.00%	0.50%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.60%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	37	0	0	1	0	1	3	0	0	2	2	0	3	2	3	2	1	0	0	3	2	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	1	0	0	0	0									
		0.22%	0.00%	0.00%	0.16%	0.00%	0.15%	0.42%	0.00%	0.00%	1.03%	0.44%	0.00%	0.59%	0.27%	0.39%	0.30%	0.16%	0.00%	0.00%	0.74%	0.49%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.17%	0.00%	2.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.32%	0.94%	0.65%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	63	0	3	4	1	2	1	4	2	1	2	0	5	2	8	3	2	1	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	2	0	1	2	0	0	0	0	0	1	0	5	3	0	0	1	1	0									
		0.37%	0.00%	1.88%	0.62%	0.16%	0.29%	0.14%	0.63%	0.46%	0.51%	0.44%	0.00%	0.98%	0.27%	1.05%	0.45%	0.32%	0.17%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.95%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	1.59%	0.70%	0.00%	0.00%	0.75%	0.60%	0.00%									
