Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Останкинский район																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35089	1945	1776	1739	2395	1355	1826	370	2556	2022	2138	1638	2575	2433	2102	1887	2103	2217	2012									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25100	1300	1300	1300	1600	1000	1300	300	1800	1500	1500	1200	1900	1800	1500	1400	1500	1600	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12331	566	654	627	805	537	662	143	898	783	709	567	856	883	679	652	793	791	726									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	363	29	17	19	32	13	13	1	38	24	27	15	26	26	14	13	30	12	14									
6	Число погашенных избирательных бюллетеней	12406	705	629	654	763	450	625	156	864	693	764	618	1018	891	807	735	677	797	560									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	363	29	17	19	32	13	13	1	38	24	27	15	26	26	14	13	30	12	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12298	563	654	627	802	533	661	143	888	783	705	567	856	880	679	650	793	788	726									
9	Число недействительных избирательных бюллетеней	174	8	11	12	14	7	5	1	13	11	15	10	6	13	6	9	15	5	13									
10	Число действительных избирательных бюллетеней	12487	584	660	634	820	539	669	143	913	796	717	572	876	893	687	654	808	795	727									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	285	20	10	30	10	10	10	10	20	10	20	10	30	10	20	15	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	194	12	8	16	5	5	5	1	20	8	14	4	24	10	18	11	12	12	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	352	33	12	8	44	14	14	25	16	7	7	8	12	63	12	14	19	8	36									
14	Число погашенных неиспользованных открепительных удостоверений	91	8	2	14	5	5	5	9	0	2	6	6	6	0	2	4	8	8	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	1	2	1	0	3	0	5	2	2	1	4	1	3	1	1	1	9									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	431	17	18	22	29	18	31	4	26	20	27	12	41	30	18	24	37	41	16									
		3.40%	2.87%	2.68%	3.41%	3.48%	3.30%	4.60%	2.78%	2.81%	2.48%	3.69%	2.06%	4.65%	3.31%	2.60%	3.62%	4.50%	5.13%	2.16%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	231	11	14	6	20	7	9	2	17	9	15	9	17	19	18	9	12	16	21									
		1.82%	1.86%	2.09%	0.93%	2.40%	1.28%	1.34%	1.39%	1.84%	1.12%	2.05%	1.55%	1.93%	2.10%	2.60%	1.36%	1.46%	2.00%	2.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	386	18	26	18	30	12	20	3	27	23	28	14	35	27	25	21	18	25	16									
		3.05%	3.04%	3.87%	2.79%	3.60%	2.20%	2.97%	2.08%	2.92%	2.85%	3.83%	2.41%	3.97%	2.98%	3.61%	3.17%	2.19%	3.13%	2.16%									
