Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Приуральская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145					
1	"Число избирателей, внесенных в списки"	4925	1075	1107	657	941	479	484	182					
2	"Число бюллетеней, полученных участковыми комиссиями"	4900	1107	1073	675	918	485	465	177					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	949	0	151	502	180	67	0	49					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3124	880	825	60	547	287	398	127					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	121	26	15	0	38	37	5	0					
6	Число погашенных бюллетеней	706	201	82	113	153	94	62	1					
7	Число бюллетеней в переносных ящиках для голосования	1070	26	166	502	218	104	5	49					
8	Число бюллетеней в стационарных ящиках для голосования	3123	880	825	60	546	287	398	127					
9	Число недействительных бюллетеней	48	4	13	0	13	13	5	0					
10	Число действительных бюллетеней	4145	902	978	562	751	378	398	176					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	93	30	18	10	15	5	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	38	25	0	0	3	3	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	15	8	0	0	1	1	4	1					
14	Число погашенных открепительных удостоверений	55	5	18	10	12	2	8	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	134	32	31	7	24	22	16	2					
		3.19%	3.53%	3.12%	1.24%	3.14%	5.62%	3.97%	1.13%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	107	48	12	7	26	10	4	0					
		2.55%	5.29%	1.21%	1.24%	3.40%	2.55%	0.99%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	80	24	16	3	22	6	5	4					
