Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																														
Дата голосования: 04.12.2011																																														
																																														
"Наименование Избирательной комиссии:    Липецк, Правобережная"																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №877					
1	"Число избирателей, внесенных в список избирателей"	66438	827	947	692	2773	2368	2774	2419	1882	2624	2461	2583	2027	1576	1377	1409	84	1453	206	2512	2636	1651	1673	1883	402	2241	2046	2135	2062	1772	155	1735	1905	2148	2219	2505	1800	1644	725	107					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60300	750	900	800	2500	2100	2500	2200	1700	2400	2200	2300	1800	1400	1200	1300	200	1300	300	1900	2400	1500	1500	1700	500	2000	1900	1900	1900	1600	300	1600	1700	1900	1900	2200	1600	1500	650	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30679	368	442	448	1239	986	1284	1086	871	1398	1263	1131	1105	847	749	785	84	760	131	1134	1068	635	610	670	401	850	976	1048	1094	848	91	827	802	958	936	1072	655	632	289	106					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1518	14	45	117	50	56	22	29	26	34	28	43	42	30	17	33	0	28	73	44	84	71	54	50	0	41	31	26	7	29	39	23	55	62	31	36	41	41	65	1					
6	Число погашенных избирательных бюллетеней	28102	367	413	235	1211	1058	1194	1085	803	968	909	1126	653	523	434	482	116	512	96	722	1248	794	836	980	99	1109	893	826	799	723	170	750	843	880	933	1092	904	827	296	193					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1518	14	45	117	50	56	22	29	26	34	28	43	42	30	17	33	0	28	73	44	84	71	54	50	0	41	31	26	7	29	39	23	55	62	31	36	41	41	65	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30660	368	442	447	1239	986	1284	1082	871	1398	1263	1131	1102	847	748	785	84	759	131	1134	1068	635	610	670	401	850	976	1048	1087	848	91	827	802	956	936	1072	655	632	289	106					
9	Число недействительных избирательных бюллетеней	723	15	14	13	28	22	32	32	18	25	16	25	20	21	9	14	1	14	4	30	16	11	15	12	12	22	26	27	26	29	1	19	15	34	14	35	32	10	13	1					
10	Число действительных избирательных бюллетеней	31455	367	473	551	1261	1020	1274	1079	879	1407	1275	1149	1124	856	756	804	83	773	200	1148	1136	695	649	708	389	869	981	1047	1068	848	129	831	842	984	953	1073	664	663	341	106					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	580	5	5	0	25	20	25	20	15	25	25	25	20	15	15	10	0	15	0	20	25	15	15	15	0	20	20	20	20	15	0	15	15	20	20	25	15	15	5	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	351	0	3	0	20	12	20	12	14	23	15	9	17	4	15	8	0	10	0	15	13	4	10	5	0	16	7	15	18	6	0	6	4	14	11	13	7	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	577	6	2	44	14	8	12	14	0	13	7	1	4	6	5	13	23	3	20	9	2	10	4	6	223	4	15	5	3	7	15	11	5	3	7	7	8	2	20	16					
14	Число погашенных неиспользованных открепительных удостоверений	229	5	2	0	5	8	5	8	1	2	10	16	3	11	0	2	0	5	0	5	12	11	5	10	0	4	13	5	2	9	0	9	11	6	9	12	8	10	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7417	66	133	101	285	263	332	234	192	306	266	289	269	210	182	186	17	207	42	305	244	145	141	192	24	222	226	274	304	208	22	222	225	252	218	261	126	101	99	26					
		23.05%	17.28%	27.31%	17.91%	22.11%	25.24%	25.42%	21.06%	21.40%	21.37%	20.60%	24.62%	23.51%	23.95%	23.79%	22.74%	20.24%	26.30%	20.59%	25.89%	21.18%	20.54%	21.23%	26.67%	5.99%	24.92%	22.44%	25.51%	27.79%	23.72%	16.92%	26.12%	26.25%	24.75%	22.54%	23.56%	18.10%	15.01%	27.97%	24.30%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4600	59	79	98	185	183	192	151	121	164	189	192	133	101	79	98	13	92	18	141	169	93	124	90	100	113	149	149	153	120	26	119	123	151	134	174	137	137	31	20					
		14.30%	15.45%	16.22%	17.38%	14.35%	17.56%	14.70%	13.59%	13.49%	11.45%	14.64%	16.35%	11.63%	11.52%	10.33%	11.98%	15.48%	11.69%	8.82%	11.97%	14.67%	13.17%	18.67%	12.50%	24.94%	12.68%	14.80%	13.87%	13.99%	13.68%	20.00%	14.00%	14.35%	14.83%	13.86%	15.70%	19.68%	20.36%	8.76%	18.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	392	6	5	8	13	9	16	10	15	19	12	18	16	12	19	14	2	10	0	16	8	12	9	10	3	9	16	7	15	9	2	9	4	16	16	10	10	3	4	0					
		1.22%	1.57%	1.03%	1.42%	1.01%	0.86%	1.23%	0.90%	1.67%	1.33%	0.93%	1.53%	1.40%	1.37%	2.48%	1.71%	2.38%	1.27%	0.00%	1.36%	0.69%	1.70%	1.36%	1.39%	0.75%	1.01%	1.59%	0.65%	1.37%	1.03%	1.54%	1.06%	0.47%	1.57%	1.65%	0.90%	1.44%	0.45%	1.13%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	8603	84	106	136	335	250	320	320	270	435	417	288	364	257	243	266	26	194	66	318	320	191	173	165	21	244	264	279	286	225	30	224	210	247	237	319	168	183	97	25					
		26.74%	21.99%	21.77%	24.11%	25.99%	23.99%	24.50%	28.80%	30.10%	30.38%	32.30%	24.53%	31.82%	29.30%	31.76%	32.52%	30.95%	24.65%	32.35%	26.99%	27.78%	27.05%	26.05%	22.92%	5.24%	27.38%	26.22%	25.98%	26.14%	25.66%	23.08%	26.35%	24.50%	24.26%	24.51%	28.79%	24.14%	27.19%	27.40%	23.36%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1374	5	8	9	45	36	59	40	47	91	68	49	70	48	46	55	3	65	5	70	44	22	43	27	4	30	33	39	55	40	4	30	22	29	48	39	20	10	11	5					
		4.27%	1.31%	1.64%	1.60%	3.49%	3.45%	4.52%	3.60%	5.24%	6.35%	5.27%	4.17%	6.12%	5.47%	6.01%	6.72%	3.57%	8.26%	2.45%	5.94%	3.82%	3.12%	6.48%	3.75%	0.99%	3.37%	3.28%	3.63%	5.03%	4.56%	3.08%	3.53%	2.57%	2.85%	4.96%	3.52%	2.87%	1.49%	3.11%	4.67%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8907	144	141	198	397	275	346	319	226	386	309	304	269	226	181	180	20	202	69	290	343	228	155	221	237	251	287	293	245	243	45	224	256	287	292	263	200	227	98	30					
		27.68%	37.70%	28.95%	35.11%	30.80%	26.39%	26.49%	28.71%	25.20%	26.96%	23.93%	25.89%	23.51%	25.77%	23.66%	22.00%	23.81%	25.67%	33.82%	24.62%	29.77%	32.29%	23.34%	30.69%	59.10%	28.17%	28.50%	27.28%	22.39%	27.71%	34.62%	26.35%	29.87%	28.19%	30.20%	23.74%	28.74%	33.73%	27.68%	28.04%					
