Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
"Наименование Избирательной комиссии:    Липецк, Правобережная"																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209					
1	"Число избирателей, внесенных в списки избирателей"	64397	866	903	406	2146	2230	2921	2473	1792	2908	2844	2755	1573	1641	1435	1588	166	1562	133	1880	1397	1748	1225	1905	1742	429	2035	1825	2056	1828	2481	212	1805	2012	2659	2917	1603	1623	673					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	57050	800	800	500	2000	2000	2700	2200	1500	2600	2600	2500	1500	1500	1300	1400	250	1400	200	1600	1200	1600	1100	1600	1500	500	1700	1600	1800	1600	2200	300	1600	1700	2200	2500	1200	1200	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33401	405	492	238	1008	1103	1459	1281	879	1621	1543	1260	927	916	881	967	150	874	121	976	668	824	532	861	782	427	970	951	1107	1019	1419	165	991	993	1424	1499	661	725	282					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1923	17	48	86	71	74	27	37	30	53	56	185	34	38	33	41	0	40	2	39	37	91	50	90	61	0	83	60	24	6	48	37	28	83	68	54	57	43	92					
6	Число погашенных избирательных бюллетеней	21726	378	260	176	921	823	1214	882	591	926	1001	1055	539	546	386	392	100	486	77	585	495	685	518	649	657	73	647	589	669	575	733	98	581	624	708	947	482	432	226					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1923	17	48	86	71	74	27	37	30	53	56	185	34	38	33	41	0	40	2	39	37	91	50	90	61	0	83	60	24	6	48	37	28	83	68	54	57	43	92					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33397	405	492	238	1008	1103	1459	1281	879	1621	1543	1260	927	916	881	966	150	872	121	976	668	824	532	861	782	427	970	951	1107	1019	1419	165	990	993	1424	1499	661	725	282					
9	Число недействительных избирательных бюллетеней	502	7	8	3	12	15	23	16	12	20	17	40	14	4	10	13	0	14	4	17	10	6	4	13	12	35	11	18	21	17	18	1	13	9	21	17	12	12	3					
10	Число действительных избирательных бюллетеней	34818	415	532	321	1067	1162	1463	1302	897	1654	1582	1405	947	950	904	994	150	898	119	998	695	909	578	938	831	392	1042	993	1110	1008	1449	201	1005	1067	1471	1536	706	756	371					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	739	12	10	0	25	25	30	30	25	30	35	30	25	20	20	20	0	30	0	20	20	25	15	17	20	0	25	25	25	25	30	0	25	25	30	20	13	10	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	554	10	5	0	13	17	30	17	13	30	31	27	22	17	19	18	0	25	0	19	16	16	10	16	7	0	12	13	22	24	19	0	17	11	17	20	13	8	0					
