Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    район Бирюлево Западное																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52044	2274	2186	2167	2450	2387	2430	2451	2280	2414	1378	2626	2642	2573	2120	2381	2171	2378	2571	2351	2478	2626	2710									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15559	670	746	662	713	690	754	662	655	681	424	802	814	750	717	803	701	607	680	622	718	878	810									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	341	15	10	15	9	19	15	43	9	17	10	14	19	13	18	15	19	6	12	19	11	19	14									
6	Число погашенных избирательных бюллетеней	27100	1315	1244	1323	1278	1291	1231	1295	1336	1302	566	1184	1167	1237	1265	1182	1280	1387	1308	1359	1271	1103	1176									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	341	15	10	15	9	19	15	43	9	17	10	14	19	13	18	15	19	6	12	19	11	19	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15502	654	746	662	713	686	754	662	655	678	424	777	810	750	717	803	698	607	680	622	718	878	808									
9	Число недействительных избирательных бюллетеней	298	9	14	11	8	21	6	15	15	12	11	15	18	13	15	16	12	16	15	13	16	13	14									
10	Число действительных избирательных бюллетеней	15545	660	742	666	714	684	763	690	649	683	423	776	811	750	720	802	705	597	677	628	713	884	808									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	25	10	30	20	10	25	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	272	14	5	22	10	4	15	16	24	8	9	9	14	17	8	6	11	10	10	14	11	16	19									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	899	21	9	27	14	28	84	6	35	39	18	56	26	71	91	72	88	18	8	12	57	70	49									
14	Число погашенных неиспользованных открепительных удостоверений	178	11	5	8	10	6	10	4	6	12	11	11	6	3	12	14	9	10	10	6	9	4	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	60	5	4	0	2	3	2	3	2	3	4	1	0	0	1	3	3	3	5	5	8	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
