Выборы Президента Российской Федерации																																																																							
																																																																							
"Наименование Избирательной комиссии:    Курск, Сеймская"																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96					
1	"Число избирателей, внесенных в список"	121680	2281	2666	1514	1537	1794	2390	1261	1701	2373	2206	2153	2060	2527	2503	2149	2045	2470	1247	946	2086	2119	2438	1301	1802	2199	2174	2442	2298	1132	2334	2197	2543	1969	1692	1976	1528	1571	1574	1456	1732	1899	2555	2501	2501	2121	774	2314	2099	1904	2027	2046	2233	1511	1589	2108	2281	1138	2202	2331	2241	1982	665	109	163					
2	Число полученных избирательных бюллетеней	121000	2260	2540	1460	1540	1780	2480	1200	1780	2360	2220	2170	2080	2520	2500	2240	2010	2460	1240	920	2020	2120	2500	1270	1790	2290	2150	2470	2260	1120	2330	2190	2550	1960	1700	1970	1500	1520	1550	1440	1740	1860	2540	2460	2470	2180	750	2280	2070	1880	1990	2010	2220	1540	1580	1920	2230	1150	2180	2330	2210	1950	700	150	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	63814	870	1325	517	689	978	1331	679	803	1252	1254	1044	1252	1341	1415	1262	1147	1310	667	480	1131	1054	1397	692	991	1166	1268	1285	1060	643	1244	1159	1405	1011	836	1021	667	790	879	767	927	1027	1328	1218	1280	1037	345	1138	1116	967	949	947	1282	793	898	1207	1363	561	1206	1267	1244	716	659	109	148					
5	"Число избирательных бюллетеней, выданных вне помещения"	1927	49	23	20	37	22	43	49	53	24	55	44	35	57	39	13	34	31	18	35	9	13	29	29	15	85	24	35	91	11	36	22	19	31	30	8	20	47	11	13	24	29	15	72	26	30	45	26	32	32	30	43	26	28	19	29	5	10	13	22	28	84	0	0	0					
6	Число погашенных избирательных бюллетеней	55259	1341	1192	923	814	780	1106	472	924	1084	911	1082	793	1122	1046	965	829	1119	555	405	880	1053	1074	549	784	1039	858	1150	1109	466	1050	1009	1126	918	834	941	813	683	660	660	789	804	1197	1170	1164	1113	360	1116	922	881	1011	1020	912	719	663	684	862	579	961	1041	938	1150	41	41	2					
7	Число избирательных бюллетеней в переносных ящиках	1927	49	23	20	37	22	43	49	53	24	55	44	35	57	39	13	34	31	18	35	9	13	29	29	15	85	24	35	91	11	36	22	19	31	30	8	20	47	11	13	24	29	15	72	26	30	45	26	32	32	30	43	26	28	19	29	5	10	13	22	28	84	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	63799	870	1324	517	689	978	1330	679	803	1252	1254	1044	1251	1341	1411	1262	1147	1310	667	480	1130	1054	1393	692	991	1166	1268	1285	1060	643	1244	1159	1405	1011	836	1021	667	790	879	767	927	1027	1328	1218	1280	1037	345	1138	1116	967	949	947	1282	793	897	1207	1363	561	1206	1267	1243	716	658	109	148					
9	Число недействительных избирательных бюллетеней	1119	3	8	2	8	5	12	4	8	7	617	6	12	4	9	13	5	5	5	8	12	8	10	4	14	7	14	13	11	7	10	8	5	6	10	7	5	3	11	8	6	7	25	7	12	13	3	12	6	4	4	6	9	5	1	7	13	2	8	3	21	15	13	2	1					
10	Число действительных избирательных бюллетеней	64607	916	1339	535	718	995	1361	724	848	1269	692	1082	1274	1394	1441	1262	1176	1336	680	507	1127	1059	1412	717	992	1244	1278	1307	1140	647	1270	1173	1419	1036	856	1022	682	834	879	772	945	1049	1318	1283	1294	1054	387	1152	1142	995	975	984	1299	816	915	1229	1355	569	1211	1286	1250	785	645	107	147					
11	Число полученных открепительных  удостоверений	1115	20	20	15	15	20	20	15	15	30	20	20	15	30	30	20	20	30	15	15	15	15	20	15	15	15	25	15	20	20	20	15	20	20	20	15	15	15	15	15	25	15	30	15	15	15	15	15	15	15	25	15	15	20	20	15	15	15	20	20	15	15	0	0	0					
12	Число выданных открепительных удостоверений	589	6	15	2	9	9	11	4	10	15	17	11	11	15	17	13	12	17	9	5	13	10	19	6	7	10	9	11	15	15	15	10	10	11	17	9	7	4	8	7	17	6	12	5	6	5	0	10	9	6	9	5	10	8	8	10	7	8	15	7	5	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	510	16	15	5	5	7	7	6	5	14	7	10	15	10	9	4	5	9	6	4	22	3	8	6	7	18	14	0	4	5	10	1	5	7	2	4	6	13	2	4	5	6	9	9	4	13	4	9	5	4	7	3	5	3	3	33	17	2	6	10	5	5	37	0	6					
14	Число неиспользованных открепительных удостоверений	526	14	5	13	6	11	9	11	5	15	3	9	4	15	13	7	8	13	6	10	2	5	1	9	8	5	16	4	5	5	5	5	10	9	3	6	8	11	7	8	8	9	18	10	9	10	15	5	6	9	16	10	5	12	12	5	8	7	5	13	10	15	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	47	3	0	1	1	0	1	0	2	0	0	0	0	1	1	2	0	2	0	0	1	3	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	1	2	1	1	1	1	0	1	4	0	1	0	3	1	1	1	2	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																							
