Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Удомельская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  1319	УИК  1320	УИК  1321	УИК  1322	УИК  1323	УИК  1324	УИК  1325	УИК  1326	УИК  1327	УИК  1328	УИК  1329	УИК  1330	УИК  1331	УИК  1332	УИК  1333	УИК  1334	УИК  1335	УИК  1336	УИК  1337	УИК  1338	УИК  1339	УИК  1340	УИК  1341	УИК  1342	УИК  1343	УИК  1344	УИК  1345	УИК  1346	УИК  1347	УИК  1348	УИК  1349	УИК  1350					
1	"Число избирателей, внесенных в списки"	34151	2301	2614	2262	2365	2240	2080	2020	2788	2510	2511	2414	900	553	388	212	157	390	415	742	141	840	346	264	249	401	424	240	180	142	215	342	505					
2	"Число бюллетеней, полученных участковыми комиссиями"	31410	2100	2400	2050	2100	2050	1900	1850	2500	2250	2300	2150	760	550	400	210	150	380	410	720	150	820	340	230	240	390	430	240	180	140	200	330	490					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16454	831	1484	1163	1191	1060	979	1090	1283	1301	1293	1369	356	208	138	107	35	189	118	270	39	281	158	169	118	161	211	114	78	71	129	131	329					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1898	37	12	15	16	9	15	14	20	9	9	10	244	142	136	34	46	48	168	195	58	178	53	5	41	71	71	38	59	22	16	49	58					
6	Число погашенных бюллетеней	13058	1232	904	872	893	981	906	746	1197	940	998	771	160	200	126	69	69	143	124	255	53	361	129	56	81	158	148	88	43	47	55	150	103					
7	Число бюллетеней в переносных ящиках для голосования	1898	37	12	15	16	9	15	14	20	9	9	10	244	142	136	34	46	48	168	195	58	178	53	5	41	71	71	38	59	22	16	49	58					
8	Число бюллетеней в стационарных ящиках для голосования	16441	831	1484	1163	1191	1060	979	1089	1277	1300	1293	1369	356	208	138	107	35	188	118	270	39	277	158	169	118	161	211	114	78	71	129	131	329					
9	Число недействительных бюллетеней	175	9	22	4	2	9	15	14	7	11	8	0	10	6	1	4	1	5	4	6	1	5	3	1	2	1	5	2	0	0	8	4	5					
10	Число действительных бюллетеней	18164	859	1474	1174	1205	1060	979	1089	1290	1298	1294	1379	590	344	273	137	80	231	282	459	96	450	208	173	157	231	277	150	137	93	137	176	382					
