Выборы Президента Российской Федерации																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Абзелиловская 																																																																																		
																																																																																		
Итоги голосования 																																																																																		
																																																																																		
		Сумма	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626					
1	"Число избирателей, внесенных в список"	27406	319	429	115	321	231	81	951	213	388	363	285	267	1442	199	1056	67	946	761	74	229	749	186	204	221	318	424	582	205	145	632	262	115	244	170	531	224	121	175	494	1517	315	140	280	603	286	103	83	733	276	182	121	230	236	165	675	272	75	245	202	599	140	218	253	409	364	356	406	756	389	140	228	357	206	295	812					
2	Число полученных избирательных бюллетеней	27501	310	433	117	321	233	81	997	217	388	365	284	274	1406	203	1072	68	941	755	74	236	760	188	200	220	318	435	580	205	149	638	282	115	238	168	529	224	122	177	490	1480	315	143	272	538	316	103	84	744	272	184	124	233	239	164	679	276	86	245	199	644	141	223	258	420	365	356	408	755	404	148	213	353	216	290	798					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25042	277	397	114	304	198	81	932	205	375	341	259	260	1296	189	914	63	843	684	74	217	670	158	189	207	279	399	545	192	137	570	245	105	229	163	515	224	115	166	468	1237	311	134	265	482	259	101	83	688	266	175	113	180	210	131	582	264	72	237	178	497	136	203	244	374	356	349	402	687	389	140	195	334	204	264	701					
5	"Число избирательных бюллетеней, выданных вне помещения"	935	8	8	0	11	33	0	19	8	6	14	17	5	53	10	16	4	31	25	0	3	20	11	9	8	12	17	22	13	8	51	9	2	9	4	6	0	4	0	21	48	4	6	6	34	27	2	0	3	6	7	8	16	5	6	16	8	2	8	15	44	4	15	9	15	8	7	4	25	0	0	18	8	2	26	26					
6	Число погашенных избирательных бюллетеней	1523	25	28	3	6	2	0	45	4	7	10	8	9	57	4	142	1	67	46	0	16	70	19	2	5	27	19	13	0	4	17	28	8	0	1	8	0	3	11	1	195	0	3	1	22	30	0	1	53	0	2	3	37	24	27	81	4	12	0	6	103	1	5	5	31	1	0	2	43	15	8	0	11	10	0	71					
7	Число избирательных бюллетеней в переносных ящиках	935	8	8	0	11	33	0	19	8	6	14	17	5	53	10	16	4	31	25	0	3	20	11	9	8	12	17	22	13	8	51	9	2	9	4	6	0	4	0	21	48	4	6	6	34	27	2	0	3	6	7	8	16	5	6	16	8	2	8	15	44	4	15	9	15	8	7	4	25	0	0	18	8	2	26	26					
8	Число бюллетеней в стационарных ящиках для голосования	25041	277	397	114	304	198	81	932	205	375	341	259	260	1296	189	914	63	843	683	74	217	670	158	189	207	279	399	545	192	137	570	245	105	229	163	515	224	115	166	468	1237	311	134	265	482	259	101	83	688	266	175	113	180	210	131	582	264	72	237	178	497	136	203	244	374	356	349	402	687	389	140	195	334	204	264	701					
9	Число недействительных избирательных бюллетеней	315	5	3	0	2	0	0	15	0	6	20	19	2	10	2	4	0	3	32	0	2	6	1	2	4	1	13	1	0	0	2	0	3	0	0	11	1	1	1	3	13	0	0	0	0	5	1	1	3	0	0	0	6	5	0	6	29	0	4	2	0	8	2	4	3	6	0	24	1	2	2	3	5	2	0	3					
10	Число действительных избирательных бюллетеней	25661	280	402	114	313	231	81	936	213	375	335	257	263	1339	197	926	67	871	676	74	218	684	168	196	211	290	403	566	205	145	619	254	104	238	167	510	223	118	165	486	1272	315	140	271	516	281	102	82	688	272	182	121	190	210	137	592	243	74	241	191	541	132	216	249	386	358	356	382	711	387	138	210	337	204	290	724					
11	Число полученных открепительных  удостоверений	499	2	4	2	2	2	2	10	3	3	3	10	4	80	2	55	1	50	34	1	3	10	2	2	2	2	5	10	4	2	8	6	0	3	2	10	2	2	2	6	11	1	1	5	3	2	2	2	10	5	8	3	2	2	2	10	4	2	2	4	10	2	6	2	2	2	3	2	10	10	2	3	2	2	0	7					
12	Число выданных открепительных удостоверений	294	0	1	0	1	1	0	7	2	3	0	7	4	36	2	22	1	37	13	1	3	9	0	0	1	0	5	9	4	2	8	6	0	1	0	10	1	0	0	2	11	1	1	5	2	0	1	0	9	5	6	1	2	1	0	5	0	0	0	3	8	0	5	1	1	0	0	2	7	8	0	1	2	0	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	354	3	3	2	1	1	1	4	3	1	1	1	1	14	3	21	2	13	4	2	4	5	1	3	1	2	4	5	3	2	4	6	1	4	3	9	3	1	1	0	8	3	1	1	85	27	2	2	1	4	3	0	2	1	3	0	3	1	1	5	8	3	4	2	1	4	2	1	6	3	3	11	2	2	2	4					
14	Число неиспользованных открепительных удостоверений	205	2	3	2	1	1	2	3	1	0	3	3	0	44	0	33	0	13	21	0	0	1	2	2	1	2	0	1	0	0	0	0	0	2	2	0	1	2	2	4	0	0	0	0	1	2	1	2	1	0	2	2	0	1	2	5	4	2	2	1	2	2	1	1	1	2	3	0	3	2	2	2	0	2	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																		
18	. Глазьев Сергей Юрьевич	198	3	1	0	2	0	0	4	0	2	0	1	0	16	1	12	1	16	5	0	0	9	0	3	0	0	0	1	0	1	9	2	0	3	3	7	0	1	2	0	10	0	0	3	5	5	2	0	4	2	1	2	2	0	1	9	0	0	0	0	4	0	1	0	5	0	3	0	4	1	0	5	1	1	4	18					
		0.76%	1.05%	0.25%	0.00%	0.63%	0.00%	0.00%	0.42%	0.00%	0.52%	0.00%	0.36%	0.00%	1.19%	0.50%	1.29%	1.49%	1.83%	0.71%	0.00%	0.00%	1.30%	0.00%	1.52%	0.00%	0.00%	0.00%	0.18%	0.00%	0.69%	1.45%	0.79%	0.00%	1.26%	1.80%	1.34%	0.00%	0.84%	1.20%	0.00%	0.78%	0.00%	0.00%	1.11%	0.97%	1.75%	1.94%	0.00%	0.58%	0.74%	0.55%	1.65%	1.02%	0.00%	0.73%	1.51%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.46%	0.00%	1.29%	0.00%	0.84%	0.00%	0.56%	0.26%	0.00%	2.35%	0.29%	0.49%	1.38%	2.48%					
19	. Малышкин Олег Александрович	93	2	5	3	2	4	0	8	1	0	1	0	0	2	0	5	0	5	2	0	2	0	1	0	0	3	0	1	0	0	0	0	0	0	1	0	0	1	1	1	5	0	0	2	4	1	0	2	0	1	0	1	0	0	4	2	0	0	0	0	5	0	0	2	3	2	1	0	0	0	0	2	1	1	3	0					
		0.36%	0.70%	1.23%	2.63%	0.63%	1.73%	0.00%	0.84%	0.47%	0.00%	0.28%	0.00%	0.00%	0.15%	0.00%	0.54%	0.00%	0.57%	0.28%	0.00%	0.91%	0.00%	0.59%	0.00%	0.00%	1.03%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.84%	0.60%	0.20%	0.39%	0.00%	0.00%	0.74%	0.78%	0.35%	0.00%	2.41%	0.00%	0.37%	0.00%	0.83%	0.00%	0.00%	2.92%	0.33%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.79%	0.77%	0.55%	0.28%	0.00%	0.00%	0.00%	0.00%	0.94%	0.29%	0.49%	1.03%	0.00%					
20	. Миронов Сергей Михайлович	77	1	2	1	5	2	1	3	0	1	3	0	0	1	0	4	0	3	1	0	1	1	1	1	0	0	0	1	0	0	3	1	0	2	1	1	1	0	0	1	4	0	0	1	3	0	1	0	2	0	0	0	2	0	0	3	0	1	0	1	0	0	2	0	0	1	1	0	8	0	0	1	0	0	0	3					
		0.30%	0.35%	0.49%	0.88%	1.59%	0.87%	1.23%	0.32%	0.00%	0.26%	0.85%	0.00%	0.00%	0.07%	0.00%	0.43%	0.00%	0.34%	0.14%	0.00%	0.45%	0.14%	0.59%	0.51%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.48%	0.39%	0.00%	0.84%	0.60%	0.19%	0.45%	0.00%	0.00%	0.20%	0.31%	0.00%	0.00%	0.37%	0.58%	0.00%	0.97%	0.00%	0.29%	0.00%	0.00%	0.00%	1.02%	0.00%	0.00%	0.50%	0.00%	1.35%	0.00%	0.52%	0.00%	0.00%	0.92%	0.00%	0.00%	0.27%	0.28%	0.00%	1.12%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.41%					
21	. Путин Владимир Владимирович	23604	258	346	90	283	216	74	779	200	348	321	251	257	1208	187	829	62	765	628	69	198	609	152	179	198	276	388	558	205	142	596	228	104	220	139	441	201	107	144	464	1231	314	136	256	494	264	85	72	646	246	179	111	180	195	129	524	241	68	234	185	492	131	192	233	341	321	326	378	605	384	138	183	294	195	250	631					
		90.87%	90.53%	85.43%	78.95%	89.84%	93.51%	91.36%	81.91%	93.90%	91.34%	90.42%	90.94%	96.98%	89.55%	93.97%	89.14%	92.54%	87.53%	88.70%	93.24%	90.00%	88.26%	89.94%	90.40%	92.09%	94.85%	93.27%	98.41%	100.00%	97.93%	95.97%	89.76%	97.20%	92.44%	83.23%	84.64%	89.73%	89.92%	86.75%	94.89%	95.80%	99.68%	97.14%	94.46%	95.74%	92.31%	82.52%	86.75%	93.49%	90.44%	98.35%	91.74%	91.84%	90.70%	94.16%	87.63%	88.60%	91.89%	95.51%	95.85%	90.94%	93.57%	88.07%	92.09%	87.66%	88.19%	91.57%	93.10%	84.97%	98.71%	98.57%	85.92%	85.96%	94.66%	86.21%	86.80%					
22	. Хакамада Ирина Муцуовна	276	2	5	3	8	1	1	20	2	8	2	1	0	34	0	11	0	13	3	0	2	10	5	4	0	4	5	1	0	1	6	1	0	4	2	5	0	0	5	5	9	1	2	2	2	2	1	0	3	1	0	2	1	6	2	6	0	1	3	1	8	0	3	2	7	6	5	0	14	0	0	2	0	1	5	4					
		1.06%	0.70%	1.23%	2.63%	2.54%	0.43%	1.23%	2.10%	0.94%	2.10%	0.56%	0.36%	0.00%	2.52%	0.00%	1.18%	0.00%	1.49%	0.42%	0.00%	0.91%	1.45%	2.96%	2.02%	0.00%	1.37%	1.20%	0.18%	0.00%	0.69%	0.97%	0.39%	0.00%	1.68%	1.20%	0.96%	0.00%	0.00%	3.01%	1.02%	0.70%	0.32%	1.43%	0.74%	0.39%	0.70%	0.97%	0.00%	0.43%	0.37%	0.00%	1.65%	0.51%	2.79%	1.46%	1.00%	0.00%	1.35%	1.22%	0.52%	1.48%	0.00%	1.38%	0.79%	1.80%	1.65%	1.40%	0.00%	1.97%	0.00%	0.00%	0.94%	0.00%	0.49%	1.72%	0.55%					
23	. Харитонов Николай Михайлович	1305	14	40	17	9	6	5	119	10	14	6	4	6	68	8	59	4	61	36	5	15	50	9	9	13	6	8	3	0	1	4	22	0	9	21	51	20	9	13	14	8	0	2	7	3	8	12	8	32	21	2	4	5	8	1	45	0	4	4	4	31	1	16	12	29	27	18	0	78	2	0	16	38	4	25	62					
		5.02%	4.91%	9.88%	14.91%	2.86%	2.60%	6.17%	12.51%	4.69%	3.67%	1.69%	1.45%	2.26%	5.04%	4.02%	6.34%	5.97%	6.98%	5.08%	6.76%	6.82%	7.25%	5.33%	4.55%	6.05%	2.06%	1.92%	0.53%	0.00%	0.69%	0.64%	8.66%	0.00%	3.78%	12.57%	9.79%	8.93%	7.56%	7.83%	2.86%	0.62%	0.00%	1.43%	2.58%	0.58%	2.80%	11.65%	9.64%	4.63%	7.72%	1.10%	3.31%	2.55%	3.72%	0.73%	7.53%	0.00%	5.41%	1.63%	2.07%	5.73%	0.71%	7.34%	4.74%	7.46%	7.42%	5.06%	0.00%	10.96%	0.51%	0.00%	7.51%	11.11%	1.94%	8.62%	8.53%					
																																																																																		
24	Против всех	108	0	3	0	4	2	0	3	0	2	2	0	0	10	1	6	0	8	1	0	0	5	0	0	0	1	2	1	0	0	1	0	0	0	0	5	1	0	0	1	5	0	0	0	5	1	1	0	1	1	0	1	0	1	0	3	2	0	0	0	1	0	2	0	1	1	2	4	2	0	0	1	3	2	3	6					
		0.42%	0.00%	0.74%	0.00%	1.27%	0.87%	0.00%	0.32%	0.00%	0.52%	0.56%	0.00%	0.00%	0.74%	0.50%	0.65%	0.00%	0.92%	0.14%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.34%	0.48%	0.18%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.96%	0.45%	0.00%	0.00%	0.20%	0.39%	0.00%	0.00%	0.00%	0.97%	0.35%	0.97%	0.00%	0.14%	0.37%	0.00%	0.83%	0.00%	0.47%	0.00%	0.50%	0.74%	0.00%	0.00%	0.00%	0.18%	0.00%	0.92%	0.00%	0.26%	0.27%	0.56%	0.99%	0.28%	0.00%	0.00%	0.47%	0.88%	0.97%	1.03%	0.83%					
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
