Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																						
Дата голосования: 02.12.2007																						
																						
Наименование Избирательной комиссии:    Отрадная городская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97					
1	"Число избирателей, внесенных в списки избирателей"	36152	2516	2574	2706	2645	1854	2948	2697	2494	2601	2817	2710	2566	2538	2323	163					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35340	2440	2475	2570	2600	2470	2830	2510	2335	2530	2760	2640	2480	2325	2175	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22953	1480	1528	1659	1653	1802	1935	1662	1556	1745	1769	1702	1537	1601	1300	24					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1213	102	64	53	71	52	23	87	103	47	61	80	124	80	127	139					
6	Число погашенных избирательных бюллетеней	11174	858	883	858	876	616	872	761	676	738	930	858	819	644	748	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1213	102	64	53	71	52	23	87	103	47	61	80	124	80	127	139					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22914	1480	1525	1658	1652	1802	1935	1657	1552	1723	1767	1702	1536	1601	1300	24					
9	Число недействительных избирательных бюллетеней	265	16	20	18	19	20	17	20	19	14	20	17	32	14	18	1					
10	Число действительных избирательных бюллетеней	23862	1566	1569	1693	1704	1834	1941	1724	1636	1756	1808	1765	1628	1667	1409	162					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	671	40	45	45	50	50	50	50	50	50	50	50	50	50	41	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	509	19	28	34	24	40	50	38	43	48	45	44	30	40	26	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	317	25	22	21	15	34	27	30	23	19	19	12	18	16	12	24					
14	Число погашенных неиспользованных открепительных удостоверений	162	21	17	11	26	10	0	12	7	2	5	6	20	10	15	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	0	5	1	1	2	3	2	1	1	2	3	3	5	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	1.Политическая партия «Аграрная партия России»	459	23	26	24	31	31	36	43	30	47	34	38	36	30	29	1					
		1.90%	1.45%	1.64%	1.40%	1.80%	1.67%	1.84%	2.47%	1.81%	2.66%	1.86%	2.13%	2.17%	1.78%	2.03%	0.61%					
19	2.Всероссийская политическая партия «Гражданская Сила»	203	10	9	6	17	13	21	12	21	20	20	17	9	15	13	0					
		0.84%	0.63%	0.57%	0.35%	0.99%	0.70%	1.07%	0.69%	1.27%	1.13%	1.09%	0.95%	0.54%	0.89%	0.91%	0.00%					
20	3.Политическая партия «Демократическая партия России»	23	2	2	2	2	0	4	1	2	3	1	1	0	3	0	0					
		0.10%	0.13%	0.13%	0.12%	0.12%	0.00%	0.20%	0.06%	0.12%	0.17%	0.05%	0.06%	0.00%	0.18%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3717	219	242	230	263	250	254	299	275	280	317	286	281	287	218	16					
		15.41%	13.84%	15.23%	13.44%	15.26%	13.48%	12.97%	17.14%	16.62%	15.82%	17.34%	16.05%	16.93%	17.07%	15.28%	9.82%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	123	7	9	4	7	8	11	7	9	15	16	13	6	4	6	1					
		0.51%	0.44%	0.57%	0.23%	0.41%	0.43%	0.56%	0.40%	0.54%	0.85%	0.88%	0.73%	0.36%	0.24%	0.42%	0.61%					
23	6.Политическая партия «Партия социальной справедливости»	34	2	3	3	5	0	3	0	4	4	5	1	1	1	2	0					
		0.14%	0.13%	0.19%	0.18%	0.29%	0.00%	0.15%	0.00%	0.24%	0.23%	0.27%	0.06%	0.06%	0.06%	0.14%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2526	180	190	184	175	188	212	155	159	176	209	191	172	166	153	16					
		10.47%	11.38%	11.96%	10.75%	10.16%	10.14%	10.83%	8.89%	9.61%	9.94%	11.43%	10.72%	10.36%	9.88%	10.72%	9.82%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2655	175	144	186	188	222	229	178	195	175	184	203	195	218	156	7					
		11.00%	11.06%	9.06%	10.87%	10.91%	11.97%	11.70%	10.21%	11.78%	9.89%	10.07%	11.39%	11.75%	12.97%	10.93%	4.29%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	150	9	3	17	12	11	22	8	7	13	15	10	7	9	7	0					
		0.62%	0.57%	0.19%	0.99%	0.70%	0.59%	1.12%	0.46%	0.42%	0.73%	0.82%	0.56%	0.42%	0.54%	0.49%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	13804	932	929	1029	996	1090	1125	1005	924	1012	1001	989	909	925	818	120					
		57.21%	58.91%	58.46%	60.14%	57.81%	58.79%	57.46%	57.63%	55.83%	57.18%	54.76%	55.50%	54.76%	55.03%	57.32%	73.62%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	168	7	12	8	8	21	24	16	10	11	6	16	12	9	7	1					
