Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Ишимская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24865	646	231	292	215	357	683	545	320	389	177	196	300	1454	304	81	308	615	675	137	642	203	843	106	562	854	140	614	420	207	649	450	303	779	985	696	100	472	219	171	1356	1597	273	290	710	407	841	131	170	155	474	163	217	480	261									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25023	654	235	287	215	355	698	557	319	389	177	196	301	1461	303	83	326	635	684	139	654	204	845	105	559	853	139	615	420	208	650	452	301	789	1001	701	100	470	219	171	1355	1599	275	289	710	407	841	131	170	155	473	163	216	499	270									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	210	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20823	593	211	261	204	313	598	368	288	269	157	180	275	1235	283	81	301	539	541	123	585	181	723	89	501	786	129	488	327	187	555	371	257	669	701	630	88	373	169	138	1027	1288	256	262	623	363	732	125	140	139	319	146	198	316	122									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1701	37	13	12	4	29	33	21	16	85	10	8	8	130	8	0	7	36	43	6	37	15	62	9	39	32	2	72	20	13	5	6	3	83	178	36	8	27	20	20	15	15	9	8	26	8	40	0	15	11	137	10	8	75	131									
6	Число погашенных избирательных бюллетеней	2289	24	11	14	7	13	67	53	15	35	10	8	18	96	12	2	18	60	100	10	32	8	60	7	19	35	8	55	73	8	90	75	41	37	97	35	4	70	30	13	313	296	10	19	61	36	69	6	15	5	17	7	10	38	17									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1911	37	13	12	4	29	33	136	16	85	10	8	8	130	8	0	7	36	43	6	37	15	62	9	39	32	2	72	20	13	5	6	3	83	203	36	8	27	20	20	15	15	9	8	26	8	40	0	15	11	137	10	8	145	131									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20823	593	211	261	204	313	598	368	288	269	157	180	275	1235	283	81	301	539	541	123	585	181	723	89	501	786	129	488	327	187	555	371	257	669	701	630	88	373	169	138	1027	1288	256	262	623	363	732	125	140	139	319	146	198	316	122									
9	Число недействительных избирательных бюллетеней	42	0	0	1	0	0	10	1	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	22692	630	224	272	208	342	621	503	304	354	167	188	283	1365	291	81	308	562	584	129	622	195	785	98	540	818	131	560	347	200	560	377	260	752	904	666	96	394	186	155	1042	1303	265	266	649	371	772	125	155	150	456	156	206	461	253									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1104	29	10	30	20	5	30	30	25	20	10	15	10	30	10	10	30	30	30	20	30	20	20	10	10	30	20	15	20	10	20	20	20	20	30	10	5	30	30	25	30	30	15	15	30	25	30	15	10	10	30	10	5	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	282	26	10	0	0	0	17	14	1	7	0	0	1	16	1	0	21	12	6	0	10	3	5	0	2	4	0	0	2	0	5	4	5	6	19	1	0	10	2	2	7	19	1	3	4	3	1	0	2	0	0	1	0	21	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	118	1	1	3	2	2	0	2	1	2	2	3	2	5	1	0	4	0	0	0	4	2	5	2	4	3	1	3	2	0	0	0	0	6	0	0	2	2	1	3	6	6	0	2	9	4	2	2	2	2	4	1	2	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	822	3	0	30	20	5	13	16	24	13	10	15	9	14	9	10	9	18	24	20	20	17	15	10	8	26	20	15	18	10	15	16	15	14	11	9	5	20	28	23	23	11	14	12	26	22	29	15	8	10	30	9	5	9	22									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0									
