Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Новоладожская городская												
												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)												
												
		Сумма	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114					
1	"Число избирателей, внесенных в списки"	7669	1124	1905	1614	1655	1371					
2	"Число бюллетеней, полученных участковыми комиссиями"	7790	1290	2000	1500	1500	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	8	8	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3282	350	763	717	857	595					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	168	53	34	34	22	25					
6	Число погашенных бюллетеней	4332	879	1203	749	621	880					
7	Число бюллетеней в переносных ящиках для голосования	176	61	34	34	22	25					
8	Число бюллетеней в стационарных ящиках для голосования	3282	350	763	717	857	595					
9	Число недействительных бюллетеней	20	1	10	0	4	5					
10	Число действительных бюллетеней	3438	410	787	751	875	615					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	110	20	24	22	22	22					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	51	9	13	14	13	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	3	10	0	5	7					
14	Число погашенных открепительных удостоверений	59	11	11	8	9	20					
15	Число открепительных удостоверений выданных ТИК	5	0	2	1	0	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0					
												
18	"1. ""ЕДИНЕНИЕ"""	31	3	7	3	8	10					
		0.89%	0.72%	0.87%	0.39%	0.91%	1.61%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	87	11	17	23	17	19					
		2.51%	2.67%	2.13%	3.06%	1.93%	3.06%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	85	13	15	21	23	13					
		2.45%	3.16%	1.88%	2.79%	2.61%	2.09%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	102	10	24	27	26	15					
		2.94%	2.43%	3.01%	3.59%	2.95%	2.41%					
22	"5. ""За Русь Святую"""	20	1	5	2	9	3					
		0.57%	0.24%	0.62%	0.26%	1.02%	0.48%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	1	1	0	6	2					
		0.28%	0.24%	0.12%	0.0%	0.68%	0.32%					
24	"7. ""Новый курс - Автомобильная Россия"""	38	5	9	11	6	7					
		1.09%	1.21%	1.12%	1.46%	0.68%	1.12%					
25	"8. ""Народно-республиканская партия России"""	4	0	2	0	1	1					
		0.11%	0.0%	0.25%	0.0%	0.11%	0.16%					
26	"9. ""Российская экологическая партия ""Зеленые"""	7	0	2	0	4	1					
		0.20%	0.0%	0.25%	0.0%	0.45%	0.16%					
27	"10. ""Аграрная партия России"""	78	17	12	24	12	13					
		2.25%	4.13%	1.50%	3.19%	1.36%	2.09%					
28	"11. ""Истинные патриоты России"""	12	0	11	0	1	0					
		0.34%	0.0%	1.38%	0.0%	0.11%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	88	6	10	29	31	12					
		2.54%	1.45%	1.25%	3.86%	3.52%	1.93%					
30	"13. ""Демократическая партия России"""	5	0	0	3	0	2					
		0.14%	0.0%	0.0%	0.39%	0.0%	0.32%					
31	"14. ""Великая Россия - Евразийский Союз"""	3	0	0	3	0	0					
		0.08%	0.0%	0.0%	0.39%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	7	2	2	1	2	0					
		0.20%	0.48%	0.25%	0.13%	0.22%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	283	37	72	50	79	45					
		8.18%	9.00%	9.03%	6.65%	8.98%	7.25%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	5	0	2	1	1	1					
		0.14%	0.0%	0.25%	0.13%	0.11%	0.16%					
35	"18. ""ЛДПР"""	463	60	99	84	120	100					
		13.38%	14.59%	12.42%	11.18%	13.65%	16.12%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	126	21	18	19	35	33					
		3.64%	5.10%	2.25%	2.52%	3.98%	5.32%					
37	"20. ""Политическая партия ""Единая Россия"""	1602	168	397	354	407	276					
		46.32%	40.87%	49.81%	47.13%	46.30%	44.51%					
38	"21. ""Российская Конституционно-демократическая партия"""	11	1	4	2	2	2					
		0.31%	0.24%	0.50%	0.26%	0.22%	0.32%					
39	"22. ""Развитие предпринимательства"""	26	6	6	6	6	2					
		0.75%	1.45%	0.75%	0.79%	0.68%	0.32%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	276	40	59	72	61	44					
		7.98%	9.73%	7.40%	9.58%	6.93%	7.09%					
												
41	Против всех	69	8	13	16	18	14					
		1.99%	1.94%	1.63%	2.13%	2.04%	2.25%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
