Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Юбилейная городская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325					
1	"Число избирателей, внесенных в списки избирателей"	27292	2682	2768	2754	2773	2545	2820	2824	2686	2715	2725					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22300	2200	2200	2300	2300	2100	2300	2300	2200	2200	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15029	1446	1521	1575	1541	1576	1585	1530	1251	1533	1471					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	208	16	28	33	12	27	5	18	26	23	20					
6	Число погашенных избирательных бюллетеней	7061	738	651	692	746	497	710	752	922	644	709					
7	Число избирательных бюллетеней в переносных ящиках для голосования	208	16	28	33	12	27	5	18	26	23	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15014	1443	1519	1574	1540	1575	1585	1526	1251	1533	1468					
9	Число недействительных избирательных бюллетеней	176	13	25	18	18	21	21	13	13	14	20					
10	Число действительных избирательных бюллетеней	15046	1446	1522	1589	1534	1581	1569	1531	1264	1542	1468					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	690	65	80	60	50	65	80	70	70	70	80					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	501	48	47	50	42	59	58	51	48	43	55					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	233	20	31	16	21	25	24	20	25	26	25					
14	Число погашенных неиспользованных открепительных удостоверений	189	17	33	10	8	6	22	19	22	27	25					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	2	0	1	3	2	3	1	1	0	1					
16	Число утраченных избирательных бюллетеней	2	0	0	0	1	0	0	0	1	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	479	33	41	47	55	70	49	48	38	50	48					
		3.15%	2.26%	2.65%	2.92%	3.54%	4.37%	3.08%	3.11%	2.98%	3.21%	3.23%					
19	2.Всероссийская политическая партия «Гражданская Сила»	478	46	34	49	60	54	56	57	28	46	48					
		3.14%	3.15%	2.20%	3.05%	3.87%	3.37%	3.52%	3.69%	2.19%	2.96%	3.23%					
20	3.Политическая партия «Демократическая партия России»	30	2	2	3	2	2	4	7	2	3	3					
		0.20%	0.14%	0.13%	0.19%	0.13%	0.12%	0.25%	0.45%	0.16%	0.19%	0.20%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3859	419	378	475	362	513	371	365	294	376	306					
		25.35%	28.72%	24.43%	29.56%	23.32%	32.02%	23.33%	23.64%	23.02%	24.16%	20.56%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	388	29	15	54	51	43	48	37	26	44	41					
		2.55%	1.99%	0.97%	3.36%	3.29%	2.68%	3.02%	2.40%	2.04%	2.83%	2.76%					
23	6.Политическая партия «Партия социальной справедливости»	39	2	10	5	5	1	5	7	1	1	2					
		0.26%	0.14%	0.65%	0.31%	0.32%	0.06%	0.31%	0.45%	0.08%	0.06%	0.13%					
24	7.Политическая партия «Либерально-демократическая партия России»	1038	88	156	78	95	70	134	81	92	139	105					
		6.82%	6.03%	10.08%	4.85%	6.12%	4.37%	8.43%	5.25%	7.20%	8.93%	7.06%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1054	85	124	115	90	119	118	124	77	96	106					
		6.92%	5.83%	8.02%	7.16%	5.80%	7.43%	7.42%	8.03%	6.03%	6.17%	7.12%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	292	33	24	28	34	41	44	26	15	18	29					
		1.92%	2.26%	1.55%	1.74%	2.19%	2.56%	2.77%	1.68%	1.17%	1.16%	1.95%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6715	618	699	661	706	620	676	700	646	694	695					
		44.11%	42.36%	45.18%	41.13%	45.49%	38.70%	42.52%	45.34%	50.59%	44.60%	46.71%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	674	91	39	74	74	48	64	79	45	75	85					
		4.43%	6.24%	2.52%	4.60%	4.77%	2.99%	4.03%	5.12%	3.52%	4.82%	5.71%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
