Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Камешкирская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9665	382	108	111	254	675	91	316	188	326	673	583	49	91	293	197	62	203	294	1832	805	776	759	597									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9950	390	115	110	250	690	99	320	195	345	680	605	51	95	290	215	60	215	315	1850	870	790	770	630									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5808	309	48	82	230	363	33	242	141	217	410	373	31	84	185	157	33	126	207	821	427	481	493	315									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1301	41	46	21	18	97	36	45	36	38	89	91	11	0	60	13	23	46	39	127	138	72	155	59									
6	Число погашенных избирательных бюллетеней	2841	40	21	7	2	230	30	33	18	90	181	141	9	11	45	45	4	43	69	902	305	237	122	256									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1301	41	46	21	18	97	36	45	36	38	89	91	11	0	60	13	23	46	39	127	138	72	155	59									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5807	309	48	82	230	363	33	242	141	217	410	373	31	84	185	157	33	126	207	820	427	481	493	315									
9	Число недействительных избирательных бюллетеней	90	0	0	0	0	0	0	0	0	1	8	7	0	0	0	7	0	1	1	17	10	1	9	28									
10	Число действительных избирательных бюллетеней	7018	350	94	103	248	460	69	287	177	254	491	457	42	84	245	163	56	171	245	930	555	552	639	346									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	216	8	2	2	5	14	2	6	4	7	14	12	1	2	6	9	1	8	16	37	17	16	15	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	150	2	1	0	1	6	0	4	0	7	10	6	0	0	4	9	0	8	16	32	13	14	5	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	2	1	1	3	1	0	4	0	1	7	4	1	1	0	1	2	5	2	16	4	4	9	2									
14	Число погашенных неиспользованных открепительных удостоверений	66	6	1	2	4	8	2	2	4	0	4	6	1	2	2	0	1	0	0	5	4	2	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	0	0	0	0	0	0	2	1	1	3	0	0	0	0	0	0	8	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	0	1	0	0	0	0	0	0	1	2	2	0	0	1	1	0	0	1	10	3	2	6	2									
		0.45%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.40%	0.43%	0.00%	0.00%	0.41%	0.59%	0.00%	0.00%	0.41%	1.06%	0.53%	0.36%	0.93%	0.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	109	0	1	0	0	1	0	0	3	7	19	0	0	0	3	2	1	4	3	25	11	3	19	7									
		1.53%	0.00%	1.06%	0.00%	0.00%	0.22%	0.00%	0.00%	1.69%	2.75%	3.81%	0.00%	0.00%	0.00%	1.22%	1.18%	1.79%	2.33%	1.22%	2.64%	1.95%	0.54%	2.93%	1.87%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	42	1	1	0	0	1	1	0	0	2	0	0	0	0	1	1	0	0	1	16	5	0	8	4									
		0.59%	0.29%	1.06%	0.00%	0.00%	0.22%	1.45%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.41%	0.59%	0.00%	0.00%	0.41%	1.69%	0.88%	0.00%	1.23%	1.07%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5584	315	85	94	240	398	61	248	170	208	380	389	39	76	196	136	52	146	219	546	355	473	457	301									
		78.56%	90.00%	90.43%	91.26%	96.77%	86.52%	88.41%	86.41%	96.05%	81.57%	76.15%	83.84%	92.86%	90.48%	80.00%	80.00%	92.86%	84.88%	89.02%	57.66%	62.83%	85.53%	70.52%	80.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	0	2	1									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.31%	0.27%									
