Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    район Марьино																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454					
1	"Число избирателей, внесенных в список"	148595	2700	2071	2483	2660	2713	2424	2607	2560	2603	2389	2205	2325	2728	2649	2581	2170	2700	2058	2460	2426	2583	2776	2634	2635	2749	2076	2399	2858	2715	2762	2624	2014	2094	2900	2805	2681	2685	3095	2929	2395	2039	2160	1980	2138	2353	2068	2380	2387	2511	2367	2496	2343	2326	2505	2333	1626	2860	2947	2911	1944					
2	Число полученных избирательных бюллетеней	142300	2600	2000	2400	2600	2600	2300	2500	2400	2500	2400	2100	2200	2500	2500	2600	2100	2600	2000	2400	2300	2500	2600	2600	2600	2800	2000	2200	2800	2500	2600	2500	2000	2000	2800	2700	2500	2600	2800	2700	2300	2000	2100	2000	2000	2300	2000	2300	2300	2300	2300	2300	2200	2300	2400	2000	1400	2900	2800	2800	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	102171	1690	1536	1341	1476	1551	1808	1584	1883	1478	1317	1206	1355	1517	1994	1678	1703	1545	1262	1454	1905	1976	1822	2012	1602	1683	1689	1315	1936	1904	1653	2061	1480	1205	1898	2149	1729	1869	2556	2529	1931	1120	1262	1483	1635	1480	1236	1905	1918	1685	1960	1730	1635	1830	2125	1766	1048	2128	2327	2078	1538					
5	"Число избирательных бюллетеней, выданных вне помещения"	1772	12	13	31	44	40	37	34	14	24	25	24	40	40	15	35	20	37	26	26	45	25	23	46	60	24	16	41	36	72	17	49	20	33	12	16	21	14	12	26	17	44	37	41	47	22	25	44	20	8	31	19	17	55	86	10	5	17	31	10	41					
6	Число погашенных избирательных бюллетеней	38357	898	451	1028	1080	1009	455	882	503	998	1058	870	805	943	491	887	377	1018	712	920	350	499	755	542	938	1093	295	844	828	524	930	390	500	762	890	535	750	717	232	145	352	836	801	476	318	798	739	351	362	607	309	551	548	415	189	224	347	755	442	712	321					
7	Число избирательных бюллетеней в переносных ящиках	1772	12	13	31	44	40	37	34	14	24	25	24	40	40	15	35	20	37	26	26	45	25	23	46	60	24	16	41	36	72	17	49	20	33	12	16	21	14	12	26	17	44	37	41	47	22	25	44	20	8	31	19	17	55	86	10	5	17	31	10	41					
8	Число бюллетеней в стационарных ящиках для голосования	101724	1690	1536	1341	1467	1551	1771	1584	1883	1478	1317	1206	1355	1517	1994	1678	1703	1471	1262	1453	1905	1973	1799	2012	1598	1683	1687	1312	1936	1900	1596	2002	1400	1201	1894	2147	1729	1869	2556	2529	1931	1120	1262	1483	1635	1480	1236	1901	1913	1674	1929	1711	1632	1826	2125	1766	1044	2128	2327	2078	1538					
9	Число недействительных избирательных бюллетеней	618	8	8	4	11	12	16	13	13	4	17	4	11	9	14	6	0	5	14	13	6	14	10	15	10	6	9	5	17	8	11	13	3	8	15	9	25	6	8	0	52	0	4	6	16	29	8	7	4	5	6	12	11	7	18	4	4	10	9	14	12					
10	Число действительных избирательных бюллетеней	102878	1694	1541	1368	1500	1579	1792	1605	1884	1498	1325	1226	1384	1548	1995	1707	1723	1503	1274	1466	1944	1984	1812	2043	1648	1701	1694	1348	1955	1964	1602	2038	1417	1226	1891	2154	1725	1877	2560	2555	1896	1164	1295	1518	1666	1473	1253	1938	1929	1677	1954	1718	1638	1874	2193	1772	1045	2135	2349	2074	1567					
