Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Кугарчинская																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24075	888	2506	1521	1171	720	77	306	254	83	182	462	303	348	536	337	132	118	412	195	401	490	158	257	182	118	245	463	1120	985	1179	58	266	180	277	319	102	222	263	94	291	611	120	274	826	126	140	123	163	131	623	216	140	94	227	119	446	247	206	100	134	166	117	118	204	183									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23991	850	2400	1500	1100	730	83	306	247	86	190	468	304	345	540	335	132	117	416	197	400	500	162	263	185	121	250	470	1140	990	1200	59	266	172	277	318	117	224	266	96	288	610	117	276	840	126	138	124	164	133	626	219	144	96	229	119	448	251	206	100	132	164	114	120	205	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16870	459	1065	744	548	297	50	250	211	51	127	343	225	285	482	322	127	114	344	189	337	287	135	189	137	109	140	370	819	842	962	41	192	92	215	203	79	173	229	86	248	481	67	228	748	126	101	85	92	124	462	162	114	83	193	86	393	236	187	89	100	125	72	95	168	135									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1596	28	45	36	1	39	11	35	33	32	27	49	30	35	27	7	5	0	47	0	41	35	11	18	16	9	31	30	44	32	40	6	25	16	43	106	23	32	29	3	14	35	27	46	23	0	22	12	15	5	54	33	6	4	17	24	35	6	19	9	21	25	9	17	29	12									
6	Число погашенных избирательных бюллетеней	5525	363	1290	720	551	394	22	21	3	3	36	76	49	25	31	6	0	3	25	8	22	178	16	56	32	3	79	70	277	116	198	12	49	64	19	9	15	19	8	7	26	94	23	2	69	0	15	27	57	4	110	24	24	9	19	9	20	9	0	2	11	14	33	8	8	33									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1596	28	45	36	1	39	11	35	33	32	27	49	30	35	27	7	5	0	47	0	41	35	11	18	16	9	31	30	44	32	40	6	25	16	43	106	23	32	29	3	14	35	27	46	23	0	22	12	15	5	54	33	6	4	17	24	35	6	19	9	21	25	9	17	29	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16863	459	1065	744	548	294	50	250	211	51	127	343	225	285	482	322	127	114	344	189	337	287	135	189	135	109	140	370	817	842	962	41	192	92	215	203	79	173	229	86	248	481	67	228	748	126	101	85	92	124	462	162	114	83	193	86	393	236	187	89	100	125	72	95	168	135									
9	Число недействительных избирательных бюллетеней	198	15	23	22	8	8	0	0	0	0	3	2	1	4	0	0	0	3	0	0	2	8	0	0	5	0	0	0	3	2	8	0	3	6	0	0	0	4	0	0	6	10	1	0	0	0	0	0	12	0	20	9	0	0	0	0	0	0	0	0	0	0	7	3	0	0									
10	Число действительных избирательных бюллетеней	18261	472	1087	758	541	325	61	285	244	83	151	390	254	316	509	329	132	111	391	189	376	314	146	207	146	118	171	400	858	872	994	47	214	102	258	309	102	201	258	89	256	506	93	274	771	126	123	97	95	129	496	186	120	87	210	110	428	242	206	98	121	150	74	109	197	147									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	463	30	30	30	30	20	0	4	2	3	5	10	10	5	5	3	1	1	5	3	5	10	3	5	5	0	0	20	30	30	21	2	4	1	0	3	2	2	2	1	1	10	1	1	15	1	5	2	1	9	31	1	1	1	1	1	15	5	2	1	3	1	6	1	3	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	322	13	26	23	13	20	0	4	0	3	5	3	0	0	2	1	1	0	0	0	0	10	3	2	0	0	0	14	30	21	21	2	2	0	0	0	0	2	0	0	0	3	0	1	15	1	5	2	0	9	31	0	0	1	1	0	15	5	2	0	3	0	6	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	138	4	15	6	8	3	3	5	2	4	0	1	2	3	0	2	1	2	0	0	2	1	0	1	1	0	1	1	1	1	0	3	2	2	0	2	2	3	0	3	3	3	3	3	0	2	4	1	1	1	4	1	0	3	1	2	2	0	4	2	4	1	1	0	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	141	17	4	7	17	0	0	0	2	0	0	7	10	5	3	2	0	1	5	3	5	0	0	3	5	0	0	6	0	9	0	0	2	1	0	3	2	0	2	1	1	7	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	93	1	15	7	4	3	0	0	2	0	1	1	0	0	0	0	0	0	0	0	7	5	0	1	0	0	2	1	1	0	5	0	1	2	0	0	0	1	0	0	11	1	0	0	0	0	0	0	0	0	3	4	1	0	0	3	0	1	0	1	1	0	3	0	4	0									
		0.50%	0.21%	1.35%	0.90%	0.73%	0.90%	0.00%	0.00%	0.82%	0.00%	0.65%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.85%	1.55%	0.00%	0.48%	0.00%	0.00%	1.17%	0.25%	0.12%	0.00%	0.50%	0.00%	0.46%	1.85%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	4.20%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	2.05%	0.83%	0.00%	0.00%	2.73%	0.00%	0.41%	0.00%	1.02%	0.83%	0.00%	3.70%	0.00%	2.03%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	750	24	84	36	34	25	4	0	15	0	2	10	3	0	0	0	4	3	0	0	24	18	0	13	11	0	6	4	42	6	33	6	6	10	0	0	0	14	0	0	18	15	7	0	69	3	1	0	4	0	31	9	12	2	61	5	0	2	0	10	8	21	5	6	18	6									
		4.06%	4.93%	7.57%	4.62%	6.19%	7.51%	6.56%	0.00%	6.15%	0.00%	1.30%	2.55%	1.18%	0.00%	0.00%	0.00%	3.03%	2.63%	0.00%	0.00%	6.35%	5.59%	0.00%	6.28%	7.28%	0.00%	3.51%	1.00%	4.88%	0.69%	3.29%	12.77%	2.76%	9.26%	0.00%	0.00%	0.00%	6.83%	0.00%	0.00%	6.87%	2.91%	7.45%	0.00%	8.95%	2.38%	0.81%	0.00%	3.74%	0.00%	6.01%	4.62%	10.00%	2.30%	29.05%	4.55%	0.00%	0.83%	0.00%	10.20%	6.61%	14.00%	6.17%	5.36%	9.14%	4.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	238	29	35	18	13	10	0	0	8	0	0	6	0	0	0	0	0	2	0	0	6	6	0	2	2	0	3	0	9	7	11	2	1	4	0	0	0	4	0	0	16	12	0	0	0	0	0	0	1	0	4	10	3	1	0	1	0	1	0	6	1	0	1	0	3	0									
		1.29%	5.95%	3.15%	2.31%	2.37%	3.00%	0.00%	0.00%	3.28%	0.00%	0.00%	1.53%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	1.59%	1.86%	0.00%	0.97%	1.32%	0.00%	1.75%	0.00%	1.05%	0.80%	1.10%	4.26%	0.46%	3.70%	0.00%	0.00%	0.00%	1.95%	0.00%	0.00%	6.11%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.78%	5.13%	2.50%	1.15%	0.00%	0.91%	0.00%	0.41%	0.00%	6.12%	0.83%	0.00%	1.23%	0.00%	1.52%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12373	245	425	390	216	153	41	270	152	50	119	265	208	261	497	296	95	83	335	151	232	142	92	133	96	114	109	320	559	598	729	37	170	56	244	287	96	119	238	70	67	341	74	236	442	105	105	83	58	82	290	93	69	76	147	78	309	189	194	73	83	105	43	95	123	120									
		67.03%	50.31%	38.29%	50.00%	39.34%	45.95%	67.21%	94.74%	62.30%	60.24%	77.27%	67.60%	81.57%	81.56%	97.64%	89.97%	71.97%	72.81%	85.68%	79.89%	61.38%	44.10%	63.01%	64.25%	63.58%	96.61%	63.74%	80.00%	64.92%	68.42%	72.75%	78.72%	78.34%	51.85%	94.57%	92.88%	94.12%	58.05%	92.25%	78.65%	25.57%	66.09%	78.72%	86.13%	57.33%	83.33%	85.37%	85.57%	54.21%	63.57%	56.20%	47.69%	57.50%	87.36%	70.00%	70.91%	72.20%	78.10%	94.17%	74.49%	68.60%	70.00%	53.09%	84.82%	62.44%	81.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	112	4	18	13	10	2	2	0	2	0	1	4	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	3	2	4	0	1	2	0	0	0	3	0	0	12	2	0	0	0	3	0	0	1	0	0	10	0	0	0	1	0	0	0	1	2	0	1	2	2	1									
		0.61%	0.82%	1.62%	1.67%	1.82%	0.60%	3.28%	0.00%	0.82%	0.00%	0.65%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.35%	0.23%	0.40%	0.00%	0.46%	1.85%	0.00%	0.00%	0.00%	1.46%	0.00%	0.00%	4.58%	0.39%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.93%	0.00%	0.00%	5.13%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	1.02%	1.65%	0.00%	1.23%	1.79%	1.02%	0.68%									
24	"6. Политическая партия ""Гражданская Платформа"""	38	0	3	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	0	0	1	0	1	0									
		0.21%	0.00%	0.27%	0.13%	0.18%	0.30%	1.64%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.19%	5.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	0.51%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1275	65	208	129	95	52	3	0	27	0	10	19	4	0	0	0	3	1	0	0	34	77	0	18	12	0	35	16	68	16	70	0	5	6	0	0	0	25	0	2	21	52	2	7	57	2	2	3	8	21	46	9	3	0	1	6	0	4	1	2	12	0	7	3	5	1									
		6.91%	13.35%	18.74%	16.54%	17.30%	15.62%	4.92%	0.00%	11.07%	0.00%	6.49%	4.85%	1.57%	0.00%	0.00%	0.00%	2.27%	0.88%	0.00%	0.00%	8.99%	23.91%	0.00%	8.70%	7.95%	0.00%	20.47%	4.00%	7.90%	1.83%	6.99%	0.00%	2.30%	5.56%	0.00%	0.00%	0.00%	12.20%	0.00%	2.25%	8.02%	10.08%	2.13%	2.55%	7.39%	1.59%	1.63%	3.09%	7.48%	16.28%	8.91%	4.62%	2.50%	0.00%	0.48%	5.45%	0.00%	1.65%	0.49%	2.04%	9.92%	0.00%	8.64%	2.68%	2.54%	0.68%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	57	3	4	1	3	2	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	19	2	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	1	0	0	2	0	0	0	0	0									
		0.31%	0.62%	0.36%	0.13%	0.55%	0.60%	0.00%	0.00%	0.41%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	1.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.25%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	5.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	1.65%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	50	0	9	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.27%	0.00%	0.81%	0.38%	1.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.49%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.09%	0.62%	0.18%	0.13%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	1.03%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	71	3	8	1	5	4	0	0	2	0	0	1	0	0	0	0	0	4	0	0	0	3	0	0	1	0	0	0	4	5	6	1	0	1	0	0	0	1	0	0	7	4	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	2									
		0.38%	0.62%	0.72%	0.13%	0.91%	1.20%	0.00%	0.00%	0.82%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	3.51%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.46%	0.57%	0.60%	2.13%	0.00%	0.93%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	2.67%	0.78%	2.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.97%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	1.36%									
