Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Булунская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75					
1	"Число избирателей, внесенных в списки избирателей"	5545	930	675	1001	986	256	577	284	225	116	495					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4996	700	629	700	747	220	750	350	250	150	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	442	38	0	2	0	76	68	40	19	12	187					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3620	573	383	574	709	130	470	222	194	101	264					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	245	17	36	54	38	14	39	22	3	3	19					
6	Число погашенных избирательных бюллетеней	689	72	210	70	0	0	173	66	34	34	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	687	55	36	56	38	90	107	62	22	15	206					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3620	573	383	574	709	130	470	222	194	101	264					
9	Число недействительных избирательных бюллетеней	46	8	1	5	8	10	8	0	1	0	5					
10	Число действительных избирательных бюллетеней	4261	620	418	625	739	210	569	284	215	116	465					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	225	40	30	30	20	20	35	15	10	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	34	4	1	2	13	0	7	1	3	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	21	2	5	1	11	1	0	0	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	191	36	29	28	7	20	28	14	7	10	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	2	3	3	0	0	5	2	1	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	32	0	2	5	10	4	6	1	1	0	3					
		0.74%	0.00%	0.48%	0.79%	1.34%	1.82%	1.04%	0.35%	0.46%	0.00%	0.64%					
19	2.Всероссийская политическая партия «Гражданская Сила»	25	3	1	6	6	0	3	2	1	1	2					
		0.58%	0.48%	0.24%	0.95%	0.80%	0.00%	0.52%	0.70%	0.46%	0.86%	0.43%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	1	0	0	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	295	28	18	40	67	17	44	20	18	14	29					
		6.85%	4.46%	4.30%	6.35%	8.97%	7.73%	7.63%	7.04%	8.33%	12.07%	6.17%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	34	7	2	5	0	2	11	1	2	3	1					
		0.79%	1.11%	0.48%	0.79%	0.00%	0.91%	1.91%	0.35%	0.93%	2.59%	0.21%					
23	6.Политическая партия «Партия социальной справедливости»	8	1	0	1	2	0	1	0	2	0	1					
		0.19%	0.16%	0.00%	0.16%	0.27%	0.00%	0.17%	0.00%	0.93%	0.00%	0.21%					
24	7.Политическая партия «Либерально-демократическая партия России»	245	57	19	48	87	6	7	7	1	1	12					
		5.69%	9.08%	4.53%	7.62%	11.65%	2.73%	1.21%	2.46%	0.46%	0.86%	2.55%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	346	56	39	47	39	17	57	31	33	2	25					
		8.03%	8.92%	9.31%	7.46%	5.22%	7.73%	9.88%	10.92%	15.28%	1.72%	5.32%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	19	2	3	3	3	0	4	1	2	0	1					
		0.44%	0.32%	0.72%	0.48%	0.40%	0.00%	0.69%	0.35%	0.93%	0.00%	0.21%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3241	464	334	465	519	164	435	221	155	95	389					
		75.25%	73.89%	79.71%	73.81%	69.48%	74.55%	75.39%	77.82%	71.76%	81.90%	82.77%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	15	2	0	4	6	0	1	0	0	0	2					
		0.35%	0.32%	0.00%	0.63%	0.80%	0.00%	0.17%	0.00%	0.00%	0.00%	0.43%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
